ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
439,"6,02","72,92",1162,"6,92","167,92",658,"5,94","110,77",7943,"6,90","1151,16",619,"5,47","113,16",4157,"4,14","1004,11",194,"2,50","77,60",241,"1,29","186,82",20,"0,25","80,00",20,"0,08","250,00"
394,"5,51","71,51",1195,"7,11","168,07",473,"4,22","112,09",8138,"7,49","1086,52",650,"5,72","113,64",4562,"4,46","1022,87",142,"1,80","78,89",252,"1,28","196,88",29,"0,34","85,29",28,"0,10","280,00"
429,"6,05","70,91",1006,"5,85","171,97",680,"6,17","110,21",5681,"5,21","1090,40",526,"4,97","105,84",4920,"4,83","1018,63",194,"2,61","74,33",196,"0,96","204,17",27,"0,33","81,82",28,"0,11","254,55"
471,"6,51","72,35",1156,"6,76","171,01",707,"6,16","114,77",8166,"7,36","1109,51",610,"5,40","112,96",4837,"4,83","1001,45",198,"2,68","73,88",245,"1,30","188,46",27,"0,32","84,38",29,"0,12","241,67"
472,"6,48","72,84",1184,"7,13","166,06",455,"4,23","107,57",8055,"7,54","1068,30",656,"5,90","111,19",4565,"4,61","990,24",140,"1,87","74,87",253,"1,31","193,13",28,"0,33","84,85",27,"0,09","300,00"
308,"4,32","71,30",1198,"6,98","171,63",717,"6,22","115,27",7949,"7,24","1097,93",620,"5,95","104,20",4891,"4,76","1027,52",190,"2,69","70,63",236,"1,19","198,32",28,"0,35","80,00",29,"0,11","263,64"
471,"6,53","72,13",1195,"6,90","173,19",696,"6,15","113,17",8239,"7,42","1110,38",442,"3,96","111,62",4632,"4,74","977,22",202,"2,75","73,45",231,"1,17","197,44",25,"0,31","80,65",27,"0,10","270,00"
471,"6,52","72,24",1236,"7,03","175,82",550,"4,92","111,79",8142,"7,49","1087,05",638,"5,84","109,25",4817,"4,67","1031,48",195,"2,66","73,31",250,"1,29","193,80",28,"0,31","90,32",29,"0,12","241,67"
303,"4,45","68,09",1156,"7,02","164,67",684,"6,23","109,79",7903,"7,04","1122,59",617,"5,66","109,01",4869,"4,87","999,79",200,"2,60","76,92",252,"1,31","192,37",27,"0,32","84,38",27,"0,11","245,45"
479,"6,47","74,03",1229,"6,95","176,83",728,"6,15","118,37",7635,"6,76","1129,44",446,"3,88","114,95",4587,"4,69","978,04",200,"2,61","76,63",169,"0,90","187,78",28,"0,32","87,50",28,"0,11","254,55"
467,"6,50","71,85",1237,"7,04","175,71",687,"5,98","114,88",8318,"7,50","1109,07",644,"5,95","108,24",4886,"4,72","1035,17",193,"2,62","73,66",255,"1,30","196,15",27,"0,32","84,38",28,"0,10","280,00"
319,"4,37","73,00",1148,"6,97","164,71",705,"6,06","116,34",8257,"7,62","1083,60",635,"5,95","106,72",4910,"4,81","1020,79",187,"2,48","75,40",249,"1,29","193,02",28,"0,33","84,85",29,"0,11","263,64"
468,"6,51","71,89",1218,"7,03","173,26",693,"6,32","109,65",5724,"5,07","1128,99",426,"3,97","107,30",4577,"4,54","1008,15",195,"2,66","73,31",166,"0,84","197,62",28,"0,31","90,32",27,"0,11","245,45"
467,"6,39","73,08",1238,"7,11","174,12",676,"5,92","114,19",8124,"7,45","1090,47",640,"5,73","111,69",4935,"4,83","1021,74",206,"2,69","76,58",252,"1,28","196,88",27,"0,31","87,10",27,"0,08","337,50"
344,"5,11","67,32",1161,"6,70","173,28",661,"5,82","113,57",8194,"7,55","1085,30",643,"5,82","110,48",4873,"4,79","1017,33",142,"1,86","76,34",253,"1,27","199,21",27,"0,34","79,41",28,"0,10","280,00"
455,"6,39","71,21",1096,"6,49","168,88",677,"6,44","105,12",5560,"5,10","1090,20",501,"4,53","110,60",4562,"4,55","1002,64",192,"2,69","71,38",164,"0,85","192,94",27,"0,31","87,10",29,"0,11","263,64"
465,"6,43","72,32",1230,"7,17","171,55",718,"6,08","118,09",8050,"7,51","1071,90",644,"5,88","109,52",4455,"4,45","1001,12",203,"2,66","76,32",254,"1,29","196,90",28,"0,31","90,32",27,"0,10","270,00"
436,"6,19","70,44",1206,"7,12","169,38",469,"4,16","112,74",8492,"7,44","1141,40",665,"5,93","112,14",4923,"4,90","1004,69",132,"1,84","71,74",253,"1,28","197,66",28,"0,35","80,00",29,"0,10","290,00"
474,"6,49","73,04",801,"4,76","168,28",703,"6,08","115,62",5620,"5,04","1115,08",614,"5,51","111,43",4893,"4,87","1004,72",199,"2,58","77,13",194,"0,98","197,96",26,"0,31","83,87",29,"0,11","263,64"
474,"6,49","73,04",1230,"7,22","170,36",705,"6,30","111,90",8013,"7,57","1058,52",646,"5,82","111,00",3378,"3,35","1008,36",203,"2,71","74,91",247,"1,26","196,03",29,"0,33","87,88",27,"0,10","270,00"
431,"6,12","70,42",1260,"7,15","176,22",493,"4,18","117,94",8095,"7,54","1073,61",663,"5,85","113,33",5005,"4,90","1021,43",141,"1,72","81,98",253,"1,32","191,67",28,"0,34","82,35",29,"0,10","290,00"
441,"6,02","73,26",825,"4,76","173,32",698,"6,11","114,24",6451,"5,83","1106,52",595,"5,38","110,59",4872,"4,85","1004,54",202,"2,72","74,26",240,"1,15","208,70",24,"0,29","82,76",29,"0,09","322,22"
471,"6,49","72,57",1168,"7,16","163,13",683,"6,28","108,76",8076,"7,29","1107,82",595,"5,45","109,17",3419,"3,24","1055,25",199,"2,67","74,53",250,"1,23","203,25",27,"0,32","84,38",28,"0,10","280,00"
472,"6,55","72,06",1248,"7,10","175,77",450,"4,24","106,13",8170,"7,52","1086,44",662,"5,85","113,16",4895,"4,92","994,92",160,"2,07","77,29",259,"1,28","202,34",27,"0,31","87,10",29,"0,10","290,00"
314,"4,39","71,53",823,"4,81","171,10",710,"6,21","114,33",8006,"7,10","1127,61",642,"5,89","109,00",4831,"4,80","1006,46",199,"2,70","73,70",228,"1,23","185,37",28,"0,35","80,00",28,"0,11","254,55"
481,"6,50","74,00",1232,"7,18","171,59",701,"6,24","112,34",8002,"7,37","1085,75",428,"3,97","107,81",3322,"3,33","997,60",198,"2,57","77,04",227,"1,16","195,69",27,"0,31","87,10",28,"0,10","280,00"
470,"6,48","72,53",1213,"7,12","170,37",554,"4,92","112,60",8294,"7,54","1100,00",634,"5,74","110,45",5019,"4,87","1030,60",192,"2,51","76,49",252,"1,31","192,37",28,"0,34","82,35",29,"0,09","322,22"
310,"4,30","72,09",968,"5,68","170,42",694,"5,88","118,03",7870,"7,18","1096,10",644,"5,72","112,59",4869,"4,84","1005,99",198,"2,69","73,61",237,"1,32","179,55",28,"0,32","87,50",27,"0,11","245,45"
477,"6,47","73,72",1198,"6,94","172,62",683,"6,01","113,64",7474,"6,90","1083,19",429,"4,02","106,72",3790,"3,93","964,38",206,"2,67","77,15",169,"0,87","194,25",27,"0,30","90,00",28,"0,10","280,00"
469,"6,50","72,15",1227,"7,21","170,18",690,"5,99","115,19",8340,"7,63","1093,05",643,"5,86","109,73",4860,"4,75","1023,16",181,"2,41","75,10",253,"1,37","184,67",27,"0,34","79,41",30,"0,12","250,00"
306,"4,39","69,70",1177,"6,88","171,08",699,"6,15","113,66",8283,"7,43","1114,80",655,"5,80","112,93",4909,"4,68","1048,93",185,"2,48","74,60",249,"1,26","197,62",27,"0,33","81,82",27,"0,10","270,00"
471,"6,48","72,69",1219,"7,12","171,21",694,"6,29","110,33",5319,"5,03","1057,46",447,"3,85","116,10",4664,"4,57","1020,57",200,"2,59","77,22",167,"0,89","187,64",28,"0,32","87,50",27,"0,11","245,45"
