ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
439;1162;658;7943;619;4157;194;241;20;20
394;1195;473;8138;650;4562;142;252;29;28
429;1006;680;5681;526;4920;194;196;27;28
471;1156;707;8166;610;4837;198;245;27;29
472;1184;455;8055;656;4565;140;253;28;27
308;1198;717;7949;620;4891;190;236;28;29
471;1195;696;8239;442;4632;202;231;25;27
471;1236;550;8142;638;4817;195;250;28;29
303;1156;684;7903;617;4869;200;252;27;27
479;1229;728;7635;446;4587;200;169;28;28
467;1237;687;8318;644;4886;193;255;27;28
319;1148;705;8257;635;4910;187;249;28;29
468;1218;693;5724;426;4577;195;166;28;27
467;1238;676;8124;640;4935;206;252;27;27
344;1161;661;8194;643;4873;142;253;27;28
455;1096;677;5560;501;4562;192;164;27;29
465;1230;718;8050;644;4455;203;254;28;27
436;1206;469;8492;665;4923;132;253;28;29
474;801;703;5620;614;4893;199;194;26;29
474;1230;705;8013;646;3378;203;247;29;27
431;1260;493;8095;663;5005;141;253;28;29
441;825;698;6451;595;4872;202;240;24;29
471;1168;683;8076;595;3419;199;250;27;28
472;1248;450;8170;662;4895;160;259;27;29
314;823;710;8006;642;4831;199;228;28;28
481;1232;701;8002;428;3322;198;227;27;28
470;1213;554;8294;634;5019;192;252;28;29
310;968;694;7870;644;4869;198;237;28;27
477;1198;683;7474;429;3790;206;169;27;28
469;1227;690;8340;643;4860;181;253;27;30
306;1177;699;8283;655;4909;185;249;27;27
471;1219;694;5319;447;4664;200;167;28;27
471;1215;658;8378;632;4943;209;251;28;27
365;1138;665;7969;664;4995;138;255;26;29
452;1128;692;5596;494;4655;198;161;29;27
471;1237;692;8251;619;4467;200;252;26;29
447;1192;474;8230;642;4966;139;251;27;29
463;837;692;5526;602;4935;202;192;29;27
480;1231;708;8070;635;3357;205;246;27;27
445;1207;471;8247;645;4862;136;254;26;29
437;847;660;6655;600;4893;203;233;27;27
468;1238;718;7752;592;3371;204;254;27;29
476;1235;464;8117;663;4904;161;254;29;28
311;798;694;7867;642;4912;195;227;27;28
478;1217;692;7988;424;3372;207;231;28;28
474;1222;566;8099;645;4915;197;252;27;28
325;970;665;7429;646;4924;185;251;28;29
455;1180;694;7266;423;3961;209;173;28;28
464;1242;671;8206;639;4814;188;252;27;27
319;1156;687;8198;654;4888;173;248;28;29
461;1220;701;5590;442;4720;208;168;27;28
479;1257;676;8333;661;4798;206;252;27;27
352;1156;657;8139;642;4902;134;250;28;27
463;1089;679;5540;504;4683;209;167;27;29
448;1262;719;8260;643;4402;206;247;26;28
456;1225;468;8208;640;4880;133;251;26;27
457;800;717;5422;592;4860;201;192;28;29
454;1240;696;8176;638;3185;207;244;28;29
438;1198;474;8195;638;4759;137;246;19;27
417;819;720;6263;572;4905;197;230;28;27
456;1230;684;8106;612;3290;207;248;29;29
466;1201;460;8488;664;4860;164;244;18;28
309;852;703;7790;634;4855;193;229;28;29
469;1201;698;8056;433;3372;207;234;28;27
460;1239;542;8234;647;4830;196;247;19;25
309;972;703;7705;642;4893;200;246;28;29
469;1165;703;7613;435;3807;203;173;28;30
467;1242;680;8297;655;4746;192;251;22;29
321;1192;693;8122;637;4950;182;242;28;27
464;1172;714;5509;436;4711;206;171;27;26
478;1226;659;8133;631;4808;210;256;27;27
380;1174;614;8246;643;4790;129;237;29;29
441;1116;707;5537;496;4625;205;165;27;29
460;1175;680;8366;638;4398;208;250;27;27
450;1173;480;8096;639;4868;140;244;27;29
440;791;684;5530;584;4864;202;192;28;29
473;1213;692;8374;652;3144;207;250;28;26
447;1210;479;8057;605;4759;140;252;27;30
413;843;702;6603;614;4985;202;231;28;28
443;1219;698;8119;587;3244;200;251;29;28
486;1157;467;8284;646;4811;165;249;27;29
311;846;682;7699;642;4797;195;216;27;28
462;1167;690;8175;428;3334;201;233;28;28
449;1185;533;8120;648;4779;199;244;27;29
296;960;689;7807;645;4856;202;253;28;27
463;1109;729;7704;447;3879;208;173;28;26
458;1205;666;7982;632;4672;195;254;28;29
304;1164;698;8283;647;4834;185;236;27;29
474;1193;692;5573;431;4695;200;167;27;27
457;1154;643;8114;648;4755;203;249;28;29
365;1102;644;8343;625;4881;130;244;29;29
454;1102;696;5680;499;4612;206;172;26;27
468;1199;661;8468;626;4536;207;254;26;30
453;1175;478;8324;627;4711;134;248;28;29
442;804;697;5750;612;4893;208;201;28;27
469;1169;705;8391;646;3162;198;251;27;28
443;1231;459;8340;633;4793;138;250;28;28
421;789;701;6647;597;5023;200;234;28;28
463;1197;701;8037;595;3348;208;255;26;29
463;1170;470;8223;620;4658;159;245;28;27
