ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
26;20;26;26;14;17;13;9
27;25;21;27;18;15;13;14
21;27;27;22;18;18;9;13
26;27;27;27;17;18;13;11
26;26;24;27;18;18;13;13
26;27;25;26;18;17;12;12
26;27;27;27;17;18;14;12
27;26;27;27;18;18;13;13
25;27;25;26;18;18;11;13
27;26;27;27;17;18;14;12
26;26;27;28;18;17;13;13
25;27;26;25;18;18;11;13
27;26;26;28;17;19;13;12
27;27;26;27;18;17;13;14
24;27;27;24;18;18;12;13
25;26;26;27;17;18;13;12
26;27;26;27;17;17;14;14
27;27;27;26;18;19;12;12
25;25;27;27;18;18;13;12
27;28;25;27;17;16;13;13
26;27;27;26;18;17;12;13
26;24;27;28;18;19;13;13
26;26;24;27;17;18;13;13
26;27;25;25;18;17;13;13
26;27;27;25;18;18;13;12
27;26;27;28;18;18;13;13
25;27;26;27;18;18;12;13
27;26;26;26;17;18;13;12
26;26;27;27;18;17;13;13
25;27;26;27;18;18;12;13
27;26;26;26;17;18;14;11
27;27;26;28;18;18;13;12
24;27;27;26;18;18;11;13
25;26;26;27;16;18;12;13
27;27;26;27;17;17;13;13
26;27;27;26;18;18;12;13
26;25;27;27;18;19;13;12
26;27;25;27;18;16;13;13
26;27;27;26;18;17;11;13
26;25;27;27;17;19;13;12
27;26;25;28;18;18;12;13
25;27;27;25;18;19;13;13
26;26;27;25;17;18;12;12
27;26;24;28;18;16;13;13
26;27;26;27;18;18;13;13
26;27;26;26;17;18;13;13
27;26;27;27;18;17;13;13
25;27;26;27;18;18;11;13
26;26;27;26;17;18;13;12
27;27;26;27;18;18;13;13
