rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
244,"0,29","841,38",236,"0,33","715,15",226,"0,27","837,04",249,"0,30","830,00",236,"0,34","694,12",161,"0,21","766,67",242,"0,27","896,30",157,"0,20","785,00",222,"0,26","853,85",150,"0,62","241,94",178,"0,77","231,17",177,"0,78","226,92",36,"0,10","360,00",37,"0,13","284,62",29,"0,08","362,50"
181,"0,21","861,90",187,"0,24","779,17",246,"0,28","878,57",259,"0,34","761,76",258,"0,37","697,30",259,"0,36","719,44",258,"0,29","889,66",256,"0,33","775,76",241,"0,32","753,12",191,"0,77","248,05",128,"0,54","237,04",174,"0,71","245,07",28,"0,06","466,67",37,"0,11","336,36",34,"0,09","377,78"
231,"0,27","855,56",243,"0,33","736,36",165,"0,19","868,42",216,"0,25","864,00",222,"0,33","672,73",260,"0,34","764,71",217,"0,25","868,00",256,"0,32","800,00",258,"0,30","860,00",188,"0,81","232,10",188,"0,83","226,51",179,"0,74","241,89",37,"0,08","462,50",24,"0,07","342,86",37,"0,09","411,11"
244,"0,31","787,10",244,"0,33","739,39",245,"0,31","790,32",243,"0,34","714,71",256,"0,38","673,68",174,"0,25","696,00",238,"0,29","820,69",177,"0,24","737,50",256,"0,30","853,33",180,"0,70","257,14",187,"0,83","225,30",190,"0,77","246,75",37,"0,10","370,00",36,"0,10","360,00",36,"0,10","360,00"
245,"0,27","907,41",227,"0,32","709,38",246,"0,29","848,28",259,"0,33","784,85",258,"0,41","629,27",259,"0,36","719,44",257,"0,31","829,03",251,"0,34","738,24",244,"0,30","813,33",174,"0,71","245,07",133,"0,58","229,31",191,"0,79","241,77",35,"0,09","388,89",35,"0,10","350,00",35,"0,10","350,00"
234,"0,28","835,71",225,"0,30","750,00",170,"0,20","850,00",259,"0,33","784,85",241,"0,35","688,57",259,"0,36","719,44",257,"0,30","856,67",257,"0,33","778,79",257,"0,34","755,88",192,"0,78","246,15",187,"0,75","249,33",182,"0,75","242,67",36,"0,10","360,00",34,"0,11","309,09",36,"0,09","400,00"
245,"0,30","816,67",245,"0,36","680,56",240,"0,30","800,00",247,"0,34","726,47",236,"0,35","674,29",180,"0,23","782,61",174,"0,19","915,79",243,"0,28","867,86",252,"0,31","812,90",192,"0,78","246,15",190,"0,84","226,19",190,"0,82","231,71",36,"0,10","360,00",37,"0,10","370,00",35,"0,09","388,89"
242,"0,30","806,67",244,"0,31","787,10",245,"0,30","816,67",260,"0,32","812,50",257,"0,42","611,90",253,"0,33","766,67",258,"0,31","832,26",254,"0,36","705,56",249,"0,27","922,22",127,"0,50","254,00",183,"0,79","231,65",188,"0,77","244,16",34,"0,10","340,00",37,"0,12","308,33",35,"0,10","350,00"
238,"0,29","820,69",165,"0,24","687,50",234,"0,25","936,00",254,"0,33","769,70",258,"0,41","629,27",259,"0,34","761,76",257,"0,29","886,21",256,"0,33","775,76",258,"0,31","832,26",190,"0,80","237,50",189,"0,81","233,33",182,"0,78","233,33",34,"0,08","425,00",35,"0,10","350,00",35,"0,10","350,00"
245,"0,32","765,62",244,"0,31","787,10",244,"0,26","938,46",251,"0,33","760,61",174,"0,24","725,00",248,"0,35","708,57",173,"0,19","910,53",238,"0,32","743,75",248,"0,32","775,00",192,"0,72","266,67",190,"0,83","228,92",191,"0,81","235,80",35,"0,09","388,89",36,"0,11","327,27",35,"0,08","437,50"
236,"0,27","874,07",243,"0,36","675,00",246,"0,31","793,55",261,"0,31","841,94",257,"0,37","694,59",258,"0,33","781,82",258,"0,30","860,00",235,"0,32","734,38",253,"0,31","816,13",130,"0,51","254,90",179,"0,75","238,67",185,"0,74","250,00",38,"0,10","380,00",35,"0,09","388,89",36,"0,08","450,00"
242,"0,29","834,48",164,"0,25","656,00",229,"0,28","817,86",251,"0,30","836,67",257,"0,37","694,59",259,"0,35","740,00",257,"0,31","829,03",257,"0,35","734,29",257,"0,31","829,03",190,"0,78","243,59",173,"0,80","216,25",187,"0,78","239,74",35,"0,08","437,50",33,"0,09","366,67",37,"0,11","336,36"
244,"0,31","787,10",244,"0,32","762,50",227,"0,27","840,74",254,"0,31","819,35",174,"0,26","669,23",244,"0,33","739,39",173,"0,22","786,36",255,"0,36","708,33",244,"0,31","787,10",190,"0,79","240,51",191,"0,81","235,80",188,"0,78","241,03",37,"0,09","411,11",35,"0,10","350,00",33,"0,09","366,67"
233,"0,28","832,14",244,"0,31","787,10",245,"0,27","907,41",260,"0,35","742,86",257,"0,37","694,59",238,"0,29","820,69",258,"0,31","832,26",172,"0,23","747,83",256,"0,31","825,81",129,"0,52","248,08",190,"0,86","220,93",182,"0,75","242,67",36,"0,09","400,00",36,"0,11","327,27",35,"0,09","388,89"
245,"0,25","980,00",163,"0,24","679,17",244,"0,30","813,33",247,"0,33","748,48",258,"0,37","697,30",259,"0,37","700,00",257,"0,35","734,29",256,"0,34","752,94",256,"0,31","825,81",189,"0,80","236,25",127,"0,58","218,97",188,"0,76","247,37",36,"0,09","400,00",36,"0,09","400,00",37,"0,11","336,36"
245,"0,31","790,32",244,"0,31","787,10",165,"0,17","970,59",259,"0,32","809,38",173,"0,25","692,00",260,"0,33","787,88",201,"0,24","837,50",256,"0,34","752,94",241,"0,27","892,59",192,"0,75","256,00",191,"0,81","235,80",189,"0,78","242,31",36,"0,08","450,00",35,"0,10","350,00",33,"0,08","412,50"
229,"0,25","916,00",242,"0,38","636,84",246,"0,29","848,28",260,"0,34","764,71",258,"0,37","697,30",175,"0,24","729,17",253,"0,33","766,67",172,"0,25","688,00",237,"0,32","740,62",150,"0,61","245,90",189,"0,85","222,35",177,"0,79","224,05",35,"0,09","388,89",36,"0,10","360,00",34,"0,09","377,78"
227,"0,24","945,83",190,"0,25","760,00",244,"0,28","871,43",243,"0,27","900,00",257,"0,38","676,32",258,"0,34","758,82",257,"0,32","803,12",255,"0,36","708,33",256,"0,29","882,76",186,"0,77","241,56",128,"0,54","237,04",172,"0,76","226,32",35,"0,09","388,89",36,"0,09","400,00",37,"0,09","411,11"
245,"0,30","816,67",239,"0,33","724,24",166,"0,21","790,48",239,"0,29","824,14",202,"0,30","673,33",260,"0,34","764,71",244,"0,27","903,70",256,"0,33","775,76",257,"0,33","778,79",193,"0,77","250,65",191,"0,78","244,87",189,"0,82","230,49",37,"0,10","370,00",34,"0,10","340,00",35,"0,10","350,00"
245,"0,27","907,41",244,"0,29","841,38",244,"0,28","871,43",260,"0,33","787,88",252,"0,38","663,16",175,"0,22","795,45",257,"0,30","856,67",172,"0,22","781,82",172,"0,25","688,00",180,"0,76","236,84",192,"0,79","243,04",189,"0,82","230,49",34,"0,10","340,00",34,"0,11","309,09",33,"0,09","366,67"
165,"0,17","970,59",231,"0,34","679,41",244,"0,32","762,50",260,"0,33","787,88",258,"0,39","661,54",259,"0,37","700,00",257,"0,32","803,12",256,"0,31","825,81",258,"0,35","737,14",191,"0,80","238,75",128,"0,52","246,15",127,"0,54","235,19",36,"0,09","400,00",36,"0,10","360,00",35,"0,09","388,89"
245,"0,27","907,41",242,"0,31","780,65",164,"0,19","863,16",175,"0,20","875,00",245,"0,35","700,00",259,"0,32","809,38",240,"0,27","888,89",255,"0,35","728,57",256,"0,34","752,94",192,"0,74","259,46",190,"0,83","228,92",189,"0,78","242,31",37,"0,09","411,11",33,"0,10","330,00",33,"0,07","471,43"
245,"0,29","844,83",244,"0,34","717,65",246,"0,26","946,15",260,"0,32","812,50",256,"0,38","673,68",175,"0,23","760,87",238,"0,28","850,00",200,"0,27","740,74",173,"0,22","786,36",179,"0,74","241,89",191,"0,85","224,71",190,"0,78","243,59",34,"0,09","377,78",36,"0,10","360,00",34,"0,10","340,00"
166,"0,20","830,00",227,"0,32","709,38",245,"0,29","844,83",259,"0,33","784,85",257,"0,40","642,50",258,"0,34","758,82",257,"0,29","886,21",250,"0,34","735,29",258,"0,31","832,26",175,"0,81","216,05",149,"0,65","229,23",127,"0,52","244,23",34,"0,09","377,78",35,"0,10","350,00",36,"0,08","450,00"
244,"0,29","841,38",224,"0,31","722,58",192,"0,25","768,00",175,"0,22","795,45",241,"0,37","651,35",259,"0,35","740,00",258,"0,30","860,00",256,"0,34","752,94",256,"0,33","775,76",191,"0,78","244,87",185,"0,84","220,24",190,"0,78","243,59",36,"0,09","400,00",36,"0,10","360,00",34,"0,09","377,78"
244,"0,28","871,43",244,"0,30","813,33",239,"0,28","853,57",260,"0,33","787,88",236,"0,37","637,84",204,"0,26","784,62",174,"0,21","828,57",242,"0,37","654,05",173,"0,22","786,36",192,"0,78","246,15",188,"0,85","221,18",189,"0,81","233,33",37,"0,10","370,00",36,"0,11","327,27",37,"0,10","370,00"
