ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
196,"1,43","137,06",225,"0,84","267,86",214,"1,07","200,00",245,"0,33","742,42",99,"0,85","116,47",166,"0,86","193,02",23,"0,16","143,75",17,"0,04","425,00"
195,"1,42","137,32",210,"0,70","300,00",226,"1,07","211,21",260,"0,31","838,71",159,"1,36","116,91",170,"0,83","204,82",23,"0,16","143,75",24,"0,07","342,86"
195,"1,42","137,32",238,"0,82","290,24",150,"0,78","192,31",218,"0,28","778,57",158,"1,31","120,61",137,"0,68","201,47",15,"0,11","136,36",23,"0,07","328,57"
212,"1,49","142,28",241,"0,84","286,90",224,"1,15","194,78",241,"0,28","860,71",107,"0,97","110,31",161,"0,83","193,98",23,"0,16","143,75",22,"0,06","366,67"
210,"1,46","143,84",226,"0,80","282,50",225,"1,14","197,37",260,"0,33","787,88",157,"1,34","117,16",171,"0,86","198,84",23,"0,15","153,33",24,"0,07","342,86"
202,"1,33","151,88",219,"0,79","277,22",149,"0,84","177,38",260,"0,32","812,50",158,"1,37","115,33",165,"0,89","185,39",21,"0,13","161,54",24,"0,07","342,86"
211,"1,52","138,82",242,"0,82","295,12",226,"1,09","207,34",176,"0,24","733,33",150,"1,32","113,64",163,"0,86","189,53",22,"0,14","157,14",21,"0,05","420,00"
206,"1,54","133,77",241,"0,83","290,36",225,"1,12","200,89",259,"0,33","784,85",158,"1,31","120,61",167,"0,88","189,77",23,"0,16","143,75",23,"0,08","287,50"
203,"1,41","143,97",162,"0,59","274,58",154,"0,77","200,00",260,"0,35","742,86",158,"1,33","118,80",160,"0,81","197,53",23,"0,16","143,75",23,"0,08","287,50"
211,"1,47","143,54",240,"0,85","282,35",224,"1,08","207,41",174,"0,23","756,52",148,"1,30","113,85",165,"0,81","203,70",22,"0,15","146,67",23,"0,06","383,33"
204,"1,46","139,73",240,"0,82","292,68",222,"1,20","185,00",260,"0,34","764,71",147,"1,24","118,55",169,"0,89","189,89",24,"0,15","160,00",25,"0,07","357,14"
203,"1,50","135,33",162,"0,57","284,21",213,"1,07","199,07",260,"0,33","787,88",161,"1,41","114,18",160,"0,80","200,00",23,"0,15","153,33",23,"0,07","328,57"
210,"1,54","136,36",238,"0,93","255,91",224,"1,12","200,00",175,"0,24","729,17",162,"1,31","123,66",168,"0,88","190,91",22,"0,14","157,14",22,"0,06","366,67"
203,"1,39","146,04",240,"0,82","292,68",226,"1,10","205,45",259,"0,33","784,85",150,"1,29","116,28",169,"0,85","198,82",24,"0,17","141,18",23,"0,07","328,57"
210,"1,41","148,94",163,"0,56","291,07",207,"1,08","191,67",260,"0,33","787,88",160,"1,32","121,21",156,"0,82","190,24",23,"0,15","153,33",23,"0,08","287,50"
210,"1,51","139,07",239,"0,88","271,59",206,"1,05","196,19",202,"0,25","808,00",157,"1,38","113,77",157,"0,76","206,58",22,"0,15","146,67",23,"0,08","287,50"
199,"1,35","147,41",240,"0,86","279,07",225,"1,17","192,31",256,"0,32","800,00",150,"1,35","111,11",169,"0,84","201,19",22,"0,17","129,41",24,"0,08","300,00"
194,"1,38","140,58",190,"0,67","283,58",224,"1,11","201,80",259,"0,32","809,38",156,"1,35","115,56",170,"0,90","188,89",22,"0,15","146,67",24,"0,07","342,86"
209,"1,52","137,50",233,"0,86","270,93",151,"0,77","196,10",246,"0,30","820,00",154,"1,36","113,24",112,"0,61","183,61",23,"0,16","143,75",23,"0,06","383,33"
210,"1,51","139,07",239,"0,88","271,59",225,"1,09","206,42",261,"0,34","767,65",151,"1,34","112,69",169,"0,87","194,25",22,"0,15","146,67",23,"0,08","287,50"
139,"1,05","132,38",229,"0,81","282,72",223,"1,12","199,11",259,"0,34","761,76",160,"1,37","116,79",170,"0,88","193,18",22,"0,15","146,67",24,"0,08","300,00"
211,"1,45","145,52",237,"0,89","266,29",150,"0,79","189,87",241,"0,33","730,30",153,"1,31","116,79",113,"0,56","201,79",22,"0,16","137,50",21,"0,06","350,00"
209,"1,46","143,15",239,"0,87","274,71",225,"1,11","202,70",241,"0,30","803,33",158,"1,35","117,04",169,"0,87","194,25",23,"0,16","143,75",25,"0,07","357,14"
142,"1,01","140,59",228,"0,78","292,31",222,"1,11","200,00",259,"0,34","761,76",159,"1,36","116,91",169,"0,81","208,64",20,"0,14","142,86",24,"0,06","400,00"
211,"1,50","140,67",241,"0,87","277,01",153,"0,75","204,00",260,"0,33","787,88",147,"1,28","114,84",115,"0,61","188,52",22,"0,15","146,67",22,"0,06","366,67"
211,"1,48","142,57",239,"0,84","284,52",224,"1,12","200,00",175,"0,22","795,45",158,"1,39","113,67",166,"0,91","182,42",22,"0,14","157,14",24,"0,08","300,00"
