rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1298;1250;1351;1827;1164;1528;1764;1676;1736;326;413;494;42;42;42
1412;1383;1387;1990;1862;1837;1300;1760;1861;536;495;371;42;33;43
961;938;1044;1711;1895;2016;1810;1218;1611;541;549;528;29;41;34
1383;1351;1318;1948;1274;1947;1865;1808;1690;381;535;528;43;44;44
1417;1385;1382;1983;1895;1300;1810;1793;1892;541;360;504;42;45;44
952;951;1392;1850;1869;1953;1826;1210;1880;535;549;549;30;41;41
1423;1333;1352;1836;1331;1961;1865;1812;1251;522;539;548;43;45;44
1415;1372;1399;1982;1837;1324;1760;1803;1897;542;359;506;44;44;44
940;1311;1398;1971;1881;1991;1709;1255;1876;540;532;505;29;42;41
1430;1356;1343;1362;1811;1941;1882;1746;1244;517;545;548;44;43;42
1401;1369;1365;1964;1882;1321;1893;1810;1872;498;361;543;43;43;44
1278;1311;1364;1982;1868;1982;1248;1741;1887;547;551;369;38;42;44
1339;1257;1361;1326;1789;2002;1886;1777;1257;545;548;538;44;43;42
1402;1370;1372;1985;1719;1547;1872;1793;1891;366;409;549;43;42;44
1406;1381;1356;1993;1876;1911;1245;1701;1872;532;530;365;41;43;43
1386;917;1384;1320;1895;1958;1880;1638;1474;537;535;543;44;43;43
1399;1375;1404;2002;1254;1860;1893;1777;1844;369;505;545;43;40;44
1353;1360;1297;2019;1900;1955;1271;1823;1876;533;547;363;40;43;43
1376;895;1284;1538;1887;1929;1887;1212;1775;541;536;524;41;44;44
1410;1339;1401;1949;1287;1840;1866;1792;1863;364;503;544;43;41;43
1342;1357;1385;1976;1864;1782;1498;1808;1892;541;502;431;44;44;42
1411;875;958;1907;1895;1950;1798;1225;1784;550;534;525;42;43;44
1408;1376;1412;1954;1290;1954;1886;1784;1731;430;537;543;43;40;44
1327;1341;1417;2000;1898;1338;1800;1793;1887;517;361;516;43;41;42
1291;1051;979;1853;1902;1969;1860;1202;1867;539;541;542;42;44;45
1412;1309;1399;1807;1513;1946;1889;1782;1280;530;543;535;43;43;44
1414;1344;1392;1990;1829;1314;1762;1799;1880;524;361;504;42;42;41
951;1263;956;1971;1877;1983;1724;1423;1858;548;537;509;43;43;40
1425;1342;1375;1332;1835;1958;1898;1738;1259;510;535;544;43;43;44
1413;1349;1405;2006;1839;1311;1877;1789;1876;541;369;541;42;42;44
962;1264;1117;1995;1913;1957;1263;1720;1833;550;542;363;43;43;42
1418;1234;1362;1371;1784;1984;1890;1746;1272;514;527;553;43;42;45
1420;1355;1397;2018;1734;1572;1857;1809;1900;492;425;530;40;42;43
962;1345;1375;1963;1921;1911;1271;1709;1856;550;537;371;40;42;43
1429;904;1389;1355;1914;1939;1875;1617;1494;549;539;545;44;41;44
1415;1347;1407;1980;1284;1925;1893;1810;1787;364;523;551;43;43;42
1127;1332;1321;1942;1925;1944;1261;1802;1867;538;540;360;29;43;44
1408;913;1265;1558;1939;1935;1886;1213;1805;549;532;541;43;40;44
1414;1369;1409;1966;1293;1823;1887;1786;1864;353;502;552;43;44;42
1369;1351;1409;1992;1941;1811;1480;1806;1868;529;505;425;29;43;44
1402;928;926;1925;1909;1971;1853;1216;1774;546;541;542;44;41;45
1411;1391;1398;2010;1253;1962;1894;1781;1715;368;533;552;43;40;41
1343;1339;1410;1987;1889;1339;1772;1807;1884;539;356;508;30;43;44
1299;1063;947;1888;1907;1949;1864;1217;1861;544;544;551;43;43;45
1424;1333;1399;1849;1468;1966;1898;1788;1254;419;540;540;43;41;40
1409;1347;1441;1986;1801;1329;1791;1817;1884;540;372;503;35;43;42
947;1283;942;2004;1879;1929;1742;1419;1886;546;534;504;43;44;44
1415;1371;1432;1346;1832;1971;1887;1728;1273;521;544;531;43;42;44
1438;1371;1415;1951;1912;1312;1869;1801;1881;549;366;537;42;43;43
965;1265;1105;1968;1888;1944;1290;1745;1861;537;547;362;43;42;44
