mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
105,"1,04","100,96",129,"0,21","614,29",110,"1,10","100,00",122,"0,21","580,95",55,"0,82","67,07",79,"0,44","179,55",21,"0,28","75,00",22,"0,09","244,44"
81,"0,77","105,19",111,"0,17","652,94",86,"0,84","102,38",89,"0,13","684,62",74,"1,01","73,27",74,"0,41","180,49",14,"0,18","77,78",21,"0,10","210,00"
109,"1,04","104,81",124,"0,17","729,41",110,"1,15","95,65",131,"0,22","595,45",78,"1,15","67,83",87,"0,50","174,00",22,"0,28","78,57",17,"0,07","242,86"
110,"1,14","96,49",133,"0,18","738,89",112,"1,09","102,75",132,"0,21","628,57",80,"1,12","71,43",84,"0,51","164,71",23,"0,28","82,14",22,"0,09","244,44"
109,"1,06","102,83",133,"0,18","738,89",105,"1,06","99,06",92,"0,13","707,69",77,"1,00","77,00",80,"0,46","173,91",17,"0,22","77,27",23,"0,10","230,00"
109,"1,14","95,61",126,"0,19","663,16",112,"1,11","100,90",129,"0,18","716,67",79,"1,13","69,91",80,"0,45","177,78",22,"0,27","81,48",22,"0,09","244,44"
111,"1,16","95,69",133,"0,22","604,55",111,"1,15","96,52",132,"0,21","628,57",80,"1,08","74,07",84,"0,49","171,43",23,"0,28","82,14",21,"0,09","233,33"
107,"1,08","99,07",131,"0,22","595,45",103,"1,00","103,00",126,"0,17","741,18",77,"1,01","76,24",86,"0,49","175,51",20,"0,26","76,92",22,"0,09","244,44"
112,"1,09","102,75",128,"0,20","640,00",105,"1,01","103,96",131,"0,19","689,47",81,"1,09","74,31",80,"0,47","170,21",22,"0,28","78,57",23,"0,10","230,00"
112,"1,09","102,75",132,"0,21","628,57",111,"1,10","100,91",132,"0,19","694,74",77,"1,11","69,37",88,"0,49","179,59",22,"0,26","84,62",21,"0,09","233,33"
104,"1,12","92,86",129,"0,20","645,00",112,"1,06","105,66",124,"0,17","729,41",78,"1,12","69,64",84,"0,49","171,43",20,"0,25","80,00",22,"0,08","275,00"
101,"1,09","92,66",130,"0,21","619,05",107,"0,99","108,08",121,"0,17","711,76",79,"1,12","70,54",82,"0,49","167,35",22,"0,27","81,48",22,"0,09","244,44"
113,"1,07","105,61",132,"0,20","660,00",111,"1,14","97,37",132,"0,20","660,00",77,"1,03","74,76",87,"0,51","170,59",23,"0,31","74,19",23,"0,09","255,56"
112,"1,15","97,39",127,"0,17","747,06",111,"1,03","107,77",132,"0,20","660,00",80,"1,06","75,47",83,"0,47","176,60",19,"0,25","76,00",23,"0,09","255,56"
75,"0,77","97,40",132,"0,19","694,74",106,"1,11","95,50",89,"0,12","741,67",80,"1,13","70,80",82,"0,48","170,83",22,"0,28","78,57",20,"0,09","222,22"
113,"1,09","103,67",133,"0,21","633,33",112,"1,06","105,66",132,"0,20","660,00",77,"1,03","74,76",87,"0,52","167,31",21,"0,26","80,77",23,"0,09","255,56"
111,"1,11","100,00",125,"0,18","694,44",109,"1,02","106,86",132,"0,20","660,00",81,"1,08","75,00",83,"0,47","176,60",22,"0,27","81,48",23,"0,10","230,00"
75,"0,76","98,68",122,"0,18","677,78",109,"1,11","98,20",89,"0,14","635,71",81,"1,09","74,31",86,"0,49","175,51",22,"0,28","78,57",20,"0,10","200,00"
112,"1,09","102,75",133,"0,19","700,00",110,"1,16","94,83",132,"0,19","694,74",74,"0,99","74,75",87,"0,51","170,59",22,"0,30","73,33",22,"0,10","220,00"
112,"1,13","99,12",133,"0,21","633,33",105,"1,11","94,59",132,"0,21","628,57",74,"1,08","68,52",81,"0,46","176,09",21,"0,26","80,77",22,"0,10","220,00"
75,"0,81","92,59",89,"0,14","635,71",110,"1,12","98,21",89,"0,13","684,62",81,"1,11","72,97",86,"0,48","179,17",22,"0,27","81,48",22,"0,09","244,44"
113,"1,08","104,63",133,"0,21","633,33",112,"1,11","100,90",132,"0,18","733,33",82,"1,06","77,36",86,"0,48","179,17",22,"0,28","78,57",22,"0,10","220,00"
112,"1,07","104,67",133,"0,22","604,55",103,"1,11","92,79",132,"0,20","660,00",77,"1,09","70,64",80,"0,49","163,27",21,"0,28","75,00",22,"0,09","244,44"
88,"0,87","101,15",89,"0,14","635,71",102,"1,01","100,99",104,"0,16","650,00",81,"1,11","72,97",80,"0,46","173,91",21,"0,29","72,41",22,"0,11","200,00"
110,"1,05","104,76",133,"0,19","700,00",111,"1,13","98,23",129,"0,20","645,00",79,"1,07","73,83",84,"0,50","168,00",22,"0,28","78,57",22,"0,09","244,44"
113,"1,08","104,63",133,"0,18","738,89",112,"1,10","101,82",131,"0,21","623,81",77,"1,11","69,37",84,"0,51","164,71",20,"0,26","76,92",21,"0,10","210,00"
107,"1,04","102,88",90,"0,12","750,00",75,"0,73","102,74",127,"0,17","747,06",80,"1,03","77,67",59,"0,33","178,79",23,"0,27","85,19",20,"0,08","250,00"
111,"1,16","95,69",133,"0,23","578,26",112,"1,04","107,69",131,"0,20","655,00",78,"1,10","70,91",86,"0,49","175,51",22,"0,28","78,57",22,"0,10","220,00"
111,"1,11","100,00",133,"0,18","738,89",112,"1,05","106,67",131,"0,21","623,81",79,"1,09","72,48",86,"0,49","175,51",19,"0,24","79,17",23,"0,10","230,00"
104,"1,15","90,43",105,"0,17","617,65",75,"0,73","102,74",125,"0,18","694,44",80,"1,10","72,73",57,"0,34","167,65",20,"0,25","80,00",21,"0,10","210,00"
104,"0,97","107,22",130,"0,20","650,00",111,"1,08","102,78",132,"0,20","660,00",77,"1,02","75,49",85,"0,51","166,67",23,"0,29","79,31",22,"0,10","220,00"
110,"1,23","89,43",133,"0,20","665,00",111,"1,11","100,00",132,"0,22","600,00",80,"1,08","74,07",86,"0,51","168,63",21,"0,26","80,77",21,"0,10","210,00"
112,"1,14","98,25",127,"0,18","705,56",74,"0,76","97,37",122,"0,20","610,00",80,"1,11","72,07",58,"0,34","170,59",21,"0,26","80,77",21,"0,08","262,50"
75,"0,82","91,46",132,"0,20","660,00",112,"1,11","100,90",123,"0,18","683,33",75,"1,01","74,26",87,"0,48","181,25",23,"0,29","79,31",21,"0,09","233,33"
110,"1,25","88,00",133,"0,21","633,33",112,"1,09","102,75",132,"0,21","628,57",80,"1,09","73,39",86,"0,50","172,00",21,"0,27","77,78",21,"0,09","233,33"
111,"1,20","92,50",125,"0,21","595,24",88,"0,87","101,15",132,"0,20","660,00",80,"1,08","74,07",66,"0,38","173,68",21,"0,27","77,78",24,"0,11","218,18"
75,"0,78","96,15",121,"0,20","605,00",109,"1,08","100,93",125,"0,19","657,89",75,"0,99","75,76",85,"0,50","170,00",22,"0,29","75,86",22,"0,09","244,44"
113,"1,08","104,63",133,"0,20","665,00",111,"1,07","103,74",131,"0,22","595,45",75,"1,02","73,53",86,"0,50","172,00",21,"0,26","80,77",22,"0,10","220,00"
113,"1,14","99,12",133,"0,20","665,00",106,"1,05","100,95",131,"0,18","727,78",81,"1,07","75,70",81,"0,46","176,09",22,"0,28","78,57",20,"0,08","250,00"
76,"0,77","98,70",89,"0,14","635,71",111,"1,08","102,78",127,"0,17","747,06",82,"1,09","75,23",80,"0,45","177,78",21,"0,27","77,78",22,"0,09","244,44"
111,"1,13","98,23",133,"0,21","633,33",111,"1,11","100,00",132,"0,19","694,74",75,"1,06","70,75",86,"0,50","172,00",20,"0,26","76,92",22,"0,10","220,00"
112,"1,09","102,75",133,"0,19","700,00",104,"1,06","98,11",128,"0,18","711,11",81,"1,07","75,70",86,"0,53","162,26",22,"0,28","78,57",20,"0,09","222,22"
88,"0,90","97,78",89,"0,14","635,71",101,"1,03","98,06",129,"0,20","645,00",80,"1,10","72,73",57,"0,32","178,12",22,"0,29","75,86",22,"0,09","244,44"
110,"1,14","96,49",133,"0,18","738,89",112,"1,14","98,25",132,"0,18","733,33",78,"1,12","69,64",85,"0,47","180,85",20,"0,27","74,07",22,"0,09","244,44"
113,"1,07","105,61",133,"0,22","604,55",110,"1,12","98,21",126,"0,18","700,00",80,"1,10","72,73",86,"0,52","165,38",22,"0,29","75,86",21,"0,09","233,33"
108,"1,01","106,93",89,"0,13","684,62",75,"0,73","102,74",130,"0,21","619,05",79,"1,06","74,53",58,"0,33","175,76",21,"0,26","80,77",23,"0,08","287,50"
113,"1,07","105,61",133,"0,20","665,00",112,"1,16","96,55",132,"0,19","694,74",77,"1,08","71,30",87,"0,49","177,55",21,"0,26","80,77",21,"0,09","233,33"
112,"1,08","103,70",133,"0,21","633,33",111,"1,05","105,71",125,"0,21","595,24",80,"1,10","72,73",86,"0,49","175,51",23,"0,29","79,31",21,"0,09","233,33"
