ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
230,"3,34","68,86",223,"1,51","147,68",206,"1,86","110,75",463,"0,60","771,67",277,"2,51","110,36",439,"0,61","719,67",83,"1,08","76,85",116,"0,66","175,76",25,"0,28","89,29",27,"0,10","270,00"
247,"3,52","70,17",362,"2,39","151,46",271,"2,57","105,45",344,"0,47","731,91",291,"2,77","105,05",475,"0,68","698,53",132,"1,83","72,13",141,"0,78","180,77",17,"0,21","80,95",26,"0,11","236,36"
209,"3,03","68,98",364,"2,43","149,79",297,"2,80","106,07",480,"0,67","716,42",196,"1,81","108,29",409,"0,53","771,70",134,"1,76","76,14",149,"0,83","179,52",27,"0,31","87,10",20,"0,07","285,71"
224,"3,29","68,09",252,"1,66","151,81",297,"2,74","108,39",493,"0,66","746,97",289,"2,75","105,09",437,"0,57","766,67",91,"1,21","75,21",153,"0,81","188,89",27,"0,30","90,00",27,"0,10","270,00"
247,"3,50","70,57",353,"2,32","152,16",203,"1,81","112,15",471,"0,66","713,64",284,"2,77","102,53",476,"0,66","721,21",135,"1,77","76,27",100,"0,57","175,44",23,"0,31","74,19",27,"0,11","245,45"
248,"3,50","70,86",363,"2,36","153,81",295,"2,85","103,51",489,"0,64","764,06",189,"1,84","102,72",476,"0,66","721,21",134,"1,76","76,14",150,"0,80","187,50",27,"0,32","84,38",26,"0,09","288,89"
167,"2,39","69,87",343,"2,32","147,84",299,"2,76","108,33",493,"0,68","725,00",289,"2,76","104,71",322,"0,41","785,37",93,"1,20","77,50",151,"0,84","179,76",26,"0,29","89,66",28,"0,11","254,55"
245,"3,49","70,20",359,"2,44","147,13",201,"1,92","104,69",465,"0,60","775,00",289,"2,72","106,25",479,"0,62","772,58",132,"1,76","75,00",102,"0,54","188,89",24,"0,29","82,76",26,"0,10","260,00"
251,"3,52","71,31",362,"2,43","148,97",292,"2,81","103,91",450,"0,60","750,00",207,"1,85","111,89",479,"0,61","785,25",136,"1,77","76,84",149,"0,83","179,52",28,"0,31","90,32",27,"0,10","270,00"
171,"2,35","72,77",343,"2,17","158,06",292,"2,87","101,74",492,"0,65","756,92",283,"2,66","106,39",321,"0,45","713,33",128,"1,69","75,74",150,"0,84","178,57",26,"0,30","86,67",26,"0,10","260,00"
249,"3,45","72,17",336,"2,19","153,42",203,"1,88","107,98",493,"0,68","725,00",293,"2,70","108,52",477,"0,68","701,47",134,"1,74","77,01",105,"0,56","187,50",24,"0,28","85,71",27,"0,11","245,45"
246,"3,56","69,10",361,"2,41","149,79",295,"2,84","103,87",331,"0,46","719,57",275,"2,60","105,77",478,"0,65","735,38",133,"1,73","76,88",149,"0,85","175,29",25,"0,29","86,21",24,"0,10","240,00"
166,"2,40","69,17",358,"2,49","143,78",297,"2,73","108,79",494,"0,65","760,00",280,"2,78","100,72",323,"0,41","787,80",124,"1,64","75,61",154,"0,81","190,12",27,"0,33","81,82",24,"0,10","240,00"
252,"3,47","72,62",248,"1,55","160,00",231,"2,26","102,21",495,"0,63","785,71",289,"2,74","105,47",479,"0,63","760,32",125,"1,67","74,85",118,"0,70","168,57",25,"0,29","86,21",28,"0,09","311,11"
246,"3,57","68,91",364,"2,35","154,89",288,"2,75","104,73",331,"0,49","675,51",280,"2,48","112,90",480,"0,62","774,19",131,"1,78","73,60",151,"0,81","186,42",24,"0,30","80,00",26,"0,11","236,36"
192,"2,77","69,31",356,"2,51","141,83",297,"2,85","104,21",492,"0,67","734,33",287,"2,84","101,06",377,"0,54","698,15",136,"1,80","75,56",152,"0,83","183,13",27,"0,32","84,38",19,"0,07","271,43"
241,"3,45","69,86",244,"1,58","154,43",288,"2,61","110,34",492,"0,68","723,53",286,"2,72","105,15",464,"0,62","748,39",92,"1,22","75,41",146,"0,77","189,61",26,"0,31","83,87",27,"0,11","245,45"
