rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1240,"1,14","1087,72",1646,"1,76","935,23",1126,"1,05","1072,38",2084,"1,92","1085,42",2341,"2,41","971,37",3291,"3,21","1025,23",2752,"2,35","1171,06",2467,"2,34","1054,27",2602,"2,31","1126,41",621,"2,51","247,41",488,"2,19","222,83",519,"2,17","239,17",39,"0,09","433,33",38,"0,10","380,00",39,"0,09","433,33"
1388,"1,28","1084,38",894,"0,95","941,05",2094,"1,89","1107,94",3341,"2,98","1121,14",2247,"2,60","864,23",3029,"2,90","1044,48",2378,"2,16","1100,93",2664,"2,74","972,26",2622,"2,26","1160,18",288,"1,20","240,00",383,"1,63","234,97",429,"1,71","250,88",32,"0,08","400,00",37,"0,10","370,00",32,"0,08","400,00"
1142,"1,00","1142,00",1557,"1,56","998,08",1777,"1,53","1161,44",2334,"2,18","1070,64",4099,"4,70","872,13",2736,"2,81","973,67",2389,"1,93","1237,82",2283,"2,31","988,31",2655,"2,38","1115,55",505,"2,10","240,48",543,"2,39","227,20",567,"2,34","242,31",41,"0,10","410,00",32,"0,09","355,56",39,"0,10","390,00"
2081,"1,98","1051,01",1088,"1,13","962,83",1887,"1,87","1009,09",2896,"2,70","1072,59",2893,"3,19","906,90",3560,"3,65","975,34",1621,"1,32","1228,03",1472,"1,54","955,84",2338,"2,13","1097,65",582,"2,45","237,55",609,"2,57","236,96",512,"2,04","250,98",41,"0,10","410,00",40,"0,10","400,00",40,"0,10","400,00"
1234,"1,29","956,59",1468,"1,44","1019,44",1412,"1,28","1103,12",2602,"2,33","1116,74",2190,"2,32","943,97",2844,"2,69","1057,25",1813,"1,53","1184,97",2106,"2,06","1022,33",2597,"2,16","1202,31",444,"1,82","243,96",516,"2,21","233,48",444,"1,84","241,30",38,"0,09","422,22",37,"0,10","370,00",37,"0,09","411,11"
1182,"1,06","1115,09",2207,"2,37","931,22",1931,"1,85","1043,78",1654,"1,43","1156,64",2547,"3,17","803,47",1748,"1,75","998,86",2598,"2,14","1214,02",1881,"1,94","969,59",2568,"2,15","1194,42",522,"2,14","243,93",576,"2,42","238,02",498,"2,13","233,80",39,"0,10","390,00",38,"0,10","380,00",40,"0,09","444,44"
2064,"1,90","1086,32",1367,"1,42","962,68",1493,"1,37","1089,78",2630,"2,35","1119,15",1945,"2,08","935,10",2962,"2,81","1054,09",2293,"1,90","1206,84",2325,"2,41","964,73",2615,"2,39","1094,14",428,"1,80","237,78",531,"2,30","230,87",551,"2,27","242,73",41,"0,10","410,00",38,"0,10","380,00",43,"0,10","430,00"
1658,"1,54","1076,62",1332,"1,38","965,22",1509,"1,39","1085,61",1792,"1,69","1060,36",2418,"2,84","851,41",2889,"2,73","1058,24",1842,"1,58","1165,82",1328,"1,26","1053,97",2662,"2,42","1100,00",518,"2,21","234,39",558,"2,39","233,47",467,"1,90","245,79",43,"0,10","430,00",42,"0,11","381,82",40,"0,11","363,64"
1784,"1,55","1150,97",1958,"1,90","1030,53",2036,"1,86","1094,62",1654,"1,62","1020,99",2746,"3,38","812,43",2215,"2,31","958,87",2469,"1,92","1285,94",1836,"1,82","1008,79",2941,"2,44","1205,33",539,"2,25","239,56",399,"1,76","226,70",554,"2,22","249,55",40,"0,11","363,64",40,"0,11","363,64",38,"0,10","380,00"
1818,"1,63","1115,34",1785,"1,95","915,38",1718,"1,61","1067,08",2469,"2,28","1082,89",2270,"2,45","926,53",2612,"2,50","1044,80",3348,"2,88","1162,50",3413,"3,27","1043,73",3223,"2,92","1103,77",546,"2,26","241,59",500,"2,12","235,85",566,"2,33","242,92",38,"0,09","422,22",27,"0,07","385,71",41,"0,09","455,56"
2047,"1,85","1106,49",1528,"1,75","873,14",1610,"1,49","1080,54",1559,"1,54","1012,34",1849,"2,18","848,17",3845,"3,85","998,70",2877,"2,44","1179,10",1174,"1,20","978,33",3742,"3,09","1211,00",577,"2,38","242,44",456,"1,90","240,00",398,"1,65","241,21",41,"0,10","410,00",42,"0,12","350,00",39,"0,10","390,00"
1355,"1,11","1220,72",1477,"1,54","959,09",1899,"1,87","1015,51",2183,"1,93","1131,09",2707,"3,50","773,43",3256,"3,46","941,04",3368,"2,73","1233,70",1883,"1,93","975,65",2882,"2,31","1247,62",556,"2,33","238,63",396,"1,84","215,22",524,"2,20","238,18",39,"0,10","390,00",41,"0,11","372,73",38,"0,10","380,00"
1686,"1,53","1101,96",1911,"1,92","995,31",1588,"1,64","968,29",3296,"2,83","1164,66",2133,"2,64","807,95",3324,"3,31","1004,23",2242,"1,82","1231,87",1823,"1,82","1001,65",1794,"1,52","1180,26",543,"2,30","236,09",548,"2,33","235,19",594,"2,42","245,45",42,"0,10","420,00",27,"0,07","385,71",42,"0,10","420,00"
1762,"1,63","1080,98",1805,"1,90","950,00",2040,"1,91","1068,06",2614,"2,43","1075,72",2015,"2,24","899,55",2618,"2,47","1059,92",2607,"2,12","1229,72",1941,"1,98","980,30",1814,"1,57","1155,41",589,"2,44","241,39",524,"2,25","232,89",490,"2,13","230,05",40,"0,09","444,44",37,"0,10","370,00",41,"0,10","410,00"
868,"0,77","1127,27",1744,"1,97","885,28",1763,"1,60","1101,88",2970,"2,55","1164,71",2708,"2,90","933,79",3861,"3,87","997,67",2328,"1,98","1175,76",2182,"2,23","978,48",2309,"1,87","1234,76",584,"2,42","241,32",402,"1,74","231,03",549,"2,19","250,68",42,"0,09","466,67",40,"0,12","333,33",38,"0,09","422,22"
1078,"0,92","1171,74",1610,"1,69","952,66",1967,"1,86","1057,53",2244,"2,00","1122,00",2206,"2,60","848,46",2851,"2,81","1014,59",1996,"1,63","1224,54",2223,"2,23","996,86",2674,"2,24","1193,75",484,"2,07","233,82",493,"2,19","225,11",537,"2,31","232,47",40,"0,10","400,00",28,"0,08","350,00",42,"0,10","420,00"
1502,"1,33","1129,32",1524,"1,68","907,14",1708,"1,62","1054,32",1899,"1,73","1097,69",2753,"3,22","854,97",2454,"2,32","1057,76",2906,"2,47","1176,52",2132,"2,11","1010,43",1405,"1,20","1170,83",417,"1,68","248,21",420,"1,83","229,51",603,"2,39","252,30",40,"0,10","400,00",36,"0,09","400,00",41,"0,11","372,73"
1302,"1,17","1112,82",1361,"1,37","993,43",1377,"1,26","1092,86",2105,"1,88","1119,68",2402,"3,20","750,62",2023,"1,90","1064,74",2242,"1,89","1186,24",2116,"2,19","966,21",2653,"2,17","1222,58",497,"2,10","236,67",360,"1,50","240,00",378,"1,55","243,87",40,"0,10","400,00",42,"0,11","381,82",35,"0,09","388,89"
920,"0,89","1033,71",1331,"1,43","930,77",1699,"1,54","1103,25",742,"0,67","1107,46",1910,"2,34","816,24",3158,"3,33","948,35",2011,"1,65","1218,79",2223,"2,14","1038,79",2179,"1,78","1224,16",563,"2,33","241,63",494,"2,04","242,16",513,"2,12","241,98",41,"0,11","372,73",32,"0,08","400,00",42,"0,11","381,82"
1669,"1,47","1135,37",1568,"1,74","901,15",1872,"1,72","1088,37",2752,"2,45","1123,27",2011,"2,37","848,52",2574,"2,53","1017,39",3284,"2,88","1140,28",2387,"2,30","1037,83",3644,"3,14","1160,51",452,"1,91","236,65",619,"2,63","235,36",406,"1,79","226,82",40,"0,10","400,00",40,"0,11","363,64",40,"0,10","400,00"
