ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
264,"3,56","74,16",527,"3,07","171,66",430,"3,85","111,69",1585,"1,50","1056,67",485,"4,48","108,26",1322,"1,39","951,08",113,"1,55","72,90",226,"1,20","188,33",27,"0,32","84,38",30,"0,11","272,73"
361,"4,88","73,98",663,"3,92","169,13",365,"3,27","111,62",712,"0,66","1078,79",626,"5,81","107,75",1916,"1,92","997,92",180,"2,34","76,92",147,"0,77","190,91",24,"0,27","88,89",29,"0,11","263,64"
307,"4,24","72,41",486,"2,95","164,75",383,"3,56","107,58",1635,"1,54","1061,69",317,"2,85","111,23",1087,"1,09","997,25",195,"2,67","73,03",194,"1,00","194,00",29,"0,33","87,88",20,"0,07","285,71"
403,"5,50","73,27",815,"4,85","168,04",532,"4,83","110,14",2310,"2,22","1040,54",541,"5,04","107,34",1804,"1,81","996,69",171,"2,21","77,38",203,"1,03","197,09",28,"0,32","87,50",29,"0,11","263,64"
425,"5,82","73,02",767,"4,79","160,13",620,"5,54","111,91",1203,"1,14","1055,26",480,"4,43","108,35",1436,"1,49","963,76",168,"2,18","77,06",170,"0,85","200,00",26,"0,30","86,67",30,"0,11","272,73"
285,"3,95","72,15",761,"4,64","164,01",484,"4,41","109,75",2227,"2,17","1026,27",395,"3,57","110,64",1172,"1,20","976,67",179,"2,35","76,17",226,"1,16","194,83",27,"0,31","87,10",27,"0,10","270,00"
376,"5,22","72,03",1055,"6,30","167,46",534,"4,90","108,98",2344,"2,17","1080,18",391,"3,59","108,91",1563,"1,50","1042,00",204,"2,55","80,00",255,"1,28","199,22",26,"0,30","86,67",29,"0,10","290,00"
360,"4,98","72,29",906,"5,53","163,83",534,"4,92","108,54",1452,"1,50","968,00",515,"4,66","110,52",1966,"2,00","983,00",130,"1,65","78,79",191,"1,00","191,00",28,"0,33","84,85",30,"0,11","272,73"
396,"5,55","71,35",851,"5,01","169,86",472,"4,29","110,02",1838,"1,76","1044,32",535,"4,86","110,08",1458,"1,57","928,66",156,"2,04","76,47",203,"1,07","189,72",27,"0,31","87,10",26,"0,10","260,00"
336,"4,56","73,68",733,"4,31","170,07",527,"4,81","109,56",1761,"1,69","1042,01",535,"4,94","108,30",1333,"1,30","1025,38",201,"2,65","75,85",220,"1,11","198,20",28,"0,33","84,85",28,"0,10","280,00"
377,"5,17","72,92",722,"4,38","164,84",538,"4,84","111,16",1164,"1,08","1077,78",410,"3,81","107,61",1577,"1,63","967,48",132,"1,70","77,65",236,"1,19","198,32",27,"0,32","84,38",29,"0,10","290,00"
360,"4,89","73,62",456,"2,71","168,27",475,"4,28","110,98",1710,"1,55","1103,23",455,"4,03","112,90",1333,"1,33","1002,26",182,"2,35","77,45",230,"1,16","198,28",28,"0,31","90,32",26,"0,09","288,89"
342,"4,62","74,03",804,"4,79","167,85",559,"5,13","108,97",1633,"1,49","1095,97",457,"4,05","112,84",1261,"1,23","1025,20",198,"2,49","79,52",213,"1,05","202,86",28,"0,33","84,85",27,"0,10","270,00"
261,"3,53","73,94",632,"4,00","158,00",581,"5,27","110,25",1119,"1,09","1026,61",441,"4,13","106,78",1584,"1,52","1042,11",138,"1,78","77,53",244,"1,22","200,00",27,"0,33","81,82",29,"0,11","263,64"
371,"5,06","73,32",864,"5,08","170,08",573,"5,26","108,94",2600,"2,43","1069,96",455,"3,98","114,32",1434,"1,45","988,97",200,"2,67","74,91",149,"0,75","198,67",28,"0,33","84,85",29,"0,11","263,64"
440,"6,22","70,74",521,"3,11","167,52",524,"4,75","110,32",2075,"2,06","1007,28",363,"3,35","108,36",1150,"1,17","982,91",185,"2,39","77,41",208,"1,00","208,00",28,"0,32","87,50",29,"0,10","290,00"
277,"3,78","73,28",717,"4,34","165,21",446,"4,02","110,95",1505,"1,40","1075,00",528,"4,79","110,23",1029,"1,01","1018,81",116,"1,53","75,82",227,"1,15","197,39",27,"0,30","90,00",29,"0,11","263,64"
411,"5,69","72,23",738,"4,52","163,27",429,"3,99","107,52",1640,"1,56","1051,28",517,"4,67","110,71",1028,"1,02","1007,84",194,"2,47","78,54",116,"0,62","187,10",26,"0,31","83,87",25,"0,10","250,00"
