rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1101;607;1253;1118;1392;1073;914;819;767;226;321;367;25;35;41
735;1162;856;1517;946;1223;595;788;1104;352;520;540;37;33;43
630;801;608;1247;832;960;1250;1189;733;358;394;538;42;41;28
691;882;684;978;1442;1678;1516;890;1094;370;513;511;36;41;42
753;954;866;1128;990;1369;866;1329;1085;578;350;327;40;42;41
947;831;722;651;1279;1334;1260;957;925;328;412;468;35;41;38
1238;825;868;750;2078;1325;1410;1380;1487;434;350;423;40;41;40
798;755;841;1599;1931;1708;1117;1403;851;455;432;306;42;40;39
851;919;579;1111;1641;838;1152;1112;647;514;388;384;44;39;38
1317;843;1239;1010;1150;1540;756;1130;653;426;385;385;40;40;38
806;1114;722;1719;992;859;988;849;1396;325;515;396;41;36;42
916;1048;757;1429;1677;1632;1399;1078;966;340;309;425;44;36;41
319;920;1003;981;1246;1337;1339;845;1042;500;449;404;38;41;39
951;632;1165;1073;1573;909;1436;1020;1105;408;404;341;39;39;39
782;1033;600;1312;1277;1065;1843;1492;1528;545;400;545;43;41;39
724;552;993;1147;1360;1632;1627;864;1833;312;396;505;42;38;39
902;1250;754;2208;696;821;975;735;1111;277;573;370;40;37;40
814;898;989;1505;1307;671;702;1476;1818;459;365;476;38;38;37
772;387;878;1285;1536;1636;1235;1072;1004;379;483;495;34;40;39
1069;1495;899;1042;638;1265;906;885;1619;221;533;569;37;42;41
701;1088;1040;896;1123;1139;1054;914;944;405;342;384;43;39;39
885;512;1246;1457;1716;1400;1046;1448;1009;500;318;455;40;37;36
992;1064;1261;1208;804;1088;1247;897;1781;280;446;327;42;40;42
849;712;666;950;1812;1241;1368;1224;584;387;370;419;41;39;42
801;392;726;1203;1490;818;929;921;818;310;574;359;40;41;38
1231;468;1260;1543;1262;1542;1395;1225;906;378;460;276;42;40;40
628;849;919;1454;1109;1096;1411;1165;1190;437;396;292;42;40;38
1115;1085;1081;899;1557;1123;1414;1211;866;533;426;367;34;37;38
640;699;969;615;651;1508;723;1249;744;337;365;304;34;40;41
1072;877;939;1084;1596;1684;979;838;2062;472;521;270;41;36;40
738;902;1326;728;1223;1226;1789;1143;1282;499;423;431;43;39;36
484;908;914;1017;806;957;1152;1009;1172;392;349;364;39;37;35
1039;1052;447;1274;784;1914;1535;973;1391;429;457;228;39;41;37
1012;733;1017;886;1369;884;1396;1066;690;544;438;424;42;40;34
375;1012;1052;1007;953;1539;1032;1347;1093;526;452;312;41;37;42
1398;750;952;1063;1094;911;1284;1103;1215;457;306;385;42;38;32
885;1175;1390;1193;1062;1517;1392;1247;836;451;450;393;40;39;40
802;1013;1418;1610;821;1361;1065;839;1065;509;332;347;42;41;40
954;967;1103;1239;952;1546;1485;1233;1163;455;480;278;43;32;36
1286;815;811;1295;1036;1945;1222;1488;988;387;402;493;42;34;41
912;892;670;986;1060;1047;665;1032;1723;373;411;307;42;39;39
920;1465;788;1071;1738;900;1409;678;1037;361;281;429;38;39;32
817;1133;780;1600;1250;1008;1611;1128;1247;415;524;399;41;39;33
895;1152;1320;898;1372;1814;1355;871;1022;473;313;450;43;36;39
1055;1098;751;1637;1792;950;1029;1136;1390;530;333;428;43;30;38
924;700;891;777;645;1250;1507;1345;736;387;389;498;39;36;37
925;891;1156;454;1160;1146;1496;1190;733;452;460;315;42;40;38
830;628;688;1196;1050;1484;1078;1188;1977;543;422;408;40;41;36
952;1273;443;1386;1697;646;679;1715;1035;425;443;420;38;38;39
865;964;1389;1203;1598;1176;1235;980;734;347;521;491;41;39;40
