ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
497,"3,60","138,06",881,"2,84","310,21",626,"3,01","207,97",1281,"1,02","1255,88",239,"2,12","112,74",276,"1,41","195,74",24,"0,15","160,00",16,"0,06","266,67"
549,"4,21","130,40",1170,"3,58","326,82",642,"2,89","222,15",783,"0,70","1118,57",282,"2,54","111,02",390,"2,00","195,00",25,"0,16","156,25",25,"0,07","357,14"
705,"4,88","144,47",737,"2,30","320,43",840,"3,98","211,06",1115,"0,95","1173,68",223,"2,18","102,29",305,"1,55","196,77",19,"0,13","146,15",24,"0,08","300,00"
311,"2,33","133,48",737,"2,28","323,25",580,"2,91","199,31",1028,"0,94","1093,62",328,"2,95","111,19",276,"1,39","198,56",25,"0,17","147,06",23,"0,07","328,57"
613,"4,79","127,97",911,"2,83","321,91",622,"3,00","207,33",751,"0,60","1251,67",260,"2,32","112,07",296,"1,38","214,49",24,"0,15","160,00",25,"0,07","357,14"
648,"4,58","141,48",533,"1,61","331,06",511,"2,49","205,22",1042,"0,88","1184,09",312,"2,80","111,43",314,"1,53","205,23",21,"0,15","140,00",26,"0,08","325,00"
389,"3,05","127,54",1308,"4,13","316,71",616,"3,04","202,63",1909,"1,48","1289,86",258,"2,40","107,50",383,"1,85","207,03",24,"0,17","141,18",23,"0,06","383,33"
560,"4,05","138,27",783,"2,36","331,78",1017,"4,88","208,40",763,"0,57","1338,60",280,"2,46","113,82",227,"1,07","212,15",20,"0,14","142,86",26,"0,07","371,43"
614,"4,69","130,92",770,"2,30","334,78",506,"2,50","202,40",1195,"0,99","1207,07",316,"2,88","109,72",270,"1,32","204,55",22,"0,16","137,50",24,"0,07","342,86"
555,"4,16","133,41",639,"2,02","316,34",585,"2,76","211,96",947,"0,79","1198,73",279,"2,46","113,41",351,"1,73","202,89",23,"0,16","143,75",24,"0,06","400,00"
526,"3,90","134,87",954,"2,86","333,57",578,"2,67","216,48",1196,"0,96","1245,83",245,"2,35","104,26",357,"1,81","197,24",23,"0,16","143,75",26,"0,08","325,00"
615,"4,24","145,05",981,"3,07","319,54",719,"3,26","220,55",1238,"0,95","1303,16",187,"1,81","103,31",282,"1,48","190,54",21,"0,13","161,54",24,"0,07","342,86"
504,"3,58","140,78",705,"2,12","332,55",501,"2,36","212,29",666,"0,52","1280,77",270,"2,40","112,50",221,"1,16","190,52",21,"0,15","140,00",22,"0,07","314,29"
478,"3,50","136,57",1119,"3,52","317,90",862,"4,07","211,79",1082,"0,81","1335,80",281,"2,55","110,20",340,"1,68","202,38",25,"0,17","147,06",24,"0,07","342,86"
463,"3,08","150,32",1039,"3,22","322,67",538,"2,57","209,34",950,"0,78","1217,95",174,"1,47","118,37",410,"2,04","200,98",21,"0,17","123,53",27,"0,07","385,71"
590,"4,37","135,01",1002,"3,08","325,32",807,"3,95","204,30",1218,"1,00","1218,00",288,"2,55","112,94",409,"1,98","206,57",22,"0,14","157,14",24,"0,06","400,00"
552,"3,89","141,90",983,"3,00","327,67",681,"3,25","209,54",988,"0,78","1266,67",313,"2,87","109,06",292,"1,47","198,64",23,"0,15","153,33",25,"0,07","357,14"
800,"5,66","141,34",1007,"3,21","313,71",352,"1,71","205,85",955,"0,73","1308,22",83,"0,74","112,16",374,"1,89","197,88",24,"0,17","141,18",26,"0,07","371,43"
577,"4,32","133,56",795,"2,51","316,73",679,"3,30","205,76",1928,"1,49","1293,96",298,"2,63","113,31",348,"1,83","190,16",22,"0,16","137,50",25,"0,07","357,14"
611,"4,50","135,78",844,"2,68","314,93",799,"4,10","194,88",908,"0,72","1261,11",280,"2,52","111,11",351,"1,73","202,89",24,"0,17","141,18",25,"0,08","312,50"
537,"3,65","147,12",1120,"3,46","323,70",363,"1,80","201,67",750,"0,60","1250,00",190,"1,67","113,77",342,"1,76","194,32",23,"0,16","143,75",25,"0,07","357,14"
500,"3,76","132,98",994,"3,13","317,57",770,"3,82","201,57",764,"0,60","1273,33",283,"2,47","114,57",247,"1,34","184,33",24,"0,16","150,00",25,"0,08","312,50"
575,"3,99","144,11",736,"2,24","328,57",661,"3,41","193,84",1250,"1,01","1237,62",284,"2,60","109,23",256,"1,32","193,94",26,"0,17","152,94",24,"0,07","342,86"
759,"5,64","134,57",606,"1,98","306,06",486,"2,37","205,06",1858,"1,62","1146,91",197,"1,85","106,49",298,"1,57","189,81",23,"0,16","143,75",26,"0,08","325,00"
442,"3,30","133,94",618,"1,96","315,31",744,"3,74","198,93",1229,"1,00","1229,00",278,"2,46","113,01",427,"2,07","206,28",24,"0,16","150,00",23,"0,07","328,57"
571,"4,05","140,99",1074,"3,23","332,51",699,"3,54","197,46",703,"0,55","1278,18",313,"2,86","109,44",355,"1,85","191,89",25,"0,16","156,25",27,"0,08","337,50"
600,"4,43","135,44",954,"2,94","324,49",621,"3,20","194,06",1109,"0,87","1274,71",291,"2,54","114,57",313,"1,57","199,36",22,"0,14","157,14",24,"0,07","342,86"
580,"4,24","136,79",558,"1,59","350,94",601,"2,94","204,42",883,"0,73","1209,59",258,"2,44","105,74",346,"1,56","221,79",23,"0,16","143,75",22,"0,06","366,67"
520,"3,77","137,93",879,"2,64","332,95",566,"2,51","225,50",1543,"1,16","1330,17",247,"2,16","114,35",264,"1,27","207,87",19,"0,12","158,33",26,"0,07","371,43"
561,"4,20","133,57",1268,"3,95","321,01",404,"1,88","214,89",1666,"1,30","1281,54",299,"2,68","111,57",381,"1,91","199,48",23,"0,15","153,33",23,"0,07","328,57"
515,"3,99","129,07",1175,"3,63","323,69",480,"2,17","221,20",892,"0,72","1238,89",249,"2,22","112,16",228,"1,19","191,60",23,"0,16","143,75",23,"0,07","328,57"
549,"4,27","128,57",1007,"3,08","326,95",773,"3,73","207,24",782,"0,63","1241,27",264,"2,27","116,30",354,"1,66","213,25",24,"0,16","150,00",26,"0,09","288,89"
611,"4,24","144,10",869,"2,64","329,17",576,"2,66","216,54",1418,"1,06","1337,74",232,"2,13","108,92",426,"2,14","199,07",22,"0,15","146,67",25,"0,08","312,50"
467,"3,72","125,54",1151,"3,46","332,66",795,"3,93","202,29",1336,"1,02","1309,80",306,"2,70","113,33",307,"1,45","211,72",22,"0,17","129,41",23,"0,07","328,57"
616,"4,80","128,33",909,"2,81","323,49",711,"3,36","211,61",1647,"1,23","1339,02",284,"2,65","107,17",279,"1,40","199,29",25,"0,17","147,06",25,"0,07","357,14"
370,"2,64","140,15",821,"2,51","327,09",528,"2,52","209,52",1191,"0,91","1308,79",279,"2,60","107,31",382,"1,93","197,93",23,"0,16","143,75",25,"0,09","277,78"
512,"3,86","132,64",1066,"3,18","335,22",778,"3,65","213,15",917,"0,71","1291,55",254,"2,26","112,39",277,"1,44","192,36",23,"0,17","135,29",26,"0,07","371,43"
665,"4,78","139,12",1017,"3,11","327,01",687,"3,27","210,09",965,"0,87","1109,20",259,"2,67","97,00",350,"1,70","205,88",24,"0,17","141,18",25,"0,07","357,14"
599,"4,49","133,41",541,"1,64","329,88",434,"2,09","207,66",928,"0,74","1254,05",305,"2,93","104,10",318,"1,61","197,52",22,"0,17","129,41",26,"0,07","371,43"
499,"3,50","142,57",1074,"3,23","332,51",519,"2,54","204,33",679,"0,56","1212,50",299,"2,75","108,73",375,"1,66","225,90",23,"0,15","153,33",24,"0,07","342,86"
511,"3,53","144,76",825,"2,47","334,01",648,"3,09","209,71",1238,"0,97","1276,29",279,"2,58","108,14",296,"1,47","201,36",25,"0,18","138,89",26,"0,08","325,00"
580,"3,92","147,96",909,"2,83","321,20",684,"3,13","218,53",893,"0,71","1257,75",286,"2,67","107,12",347,"1,68","206,55",23,"0,17","135,29",26,"0,08","325,00"
508,"3,48","145,98",1478,"4,51","327,72",683,"3,35","203,88",1364,"1,08","1262,96",313,"3,04","102,96",349,"1,71","204,09",23,"0,16","143,75",24,"0,06","400,00"
614,"4,17","147,24",868,"2,75","315,64",538,"2,56","210,16",1209,"0,98","1233,67",306,"2,94","104,08",252,"1,21","208,26",24,"0,17","141,18",26,"0,07","371,43"
416,"2,84","146,48",562,"1,72","326,74",616,"2,87","214,63",395,"0,34","1161,76",294,"2,76","106,52",363,"1,77","205,08",25,"0,16","156,25",27,"0,08","337,50"
648,"4,27","151,76",598,"1,73","345,66",689,"3,32","207,53",1160,"0,92","1260,87",334,"2,81","118,86",255,"1,34","190,30",21,"0,14","150,00",23,"0,07","328,57"
610,"4,07","149,88",943,"2,98","316,44",776,"3,66","212,02",1801,"1,33","1354,14",286,"2,63","108,75",252,"1,23","204,88",24,"0,17","141,18",24,"0,08","300,00"
581,"4,05","143,46",723,"2,17","333,18",994,"4,62","215,15",1301,"1,01","1288,12",283,"2,46","115,04",352,"1,82","193,41",23,"0,16","143,75",25,"0,07","357,14"
