ed25519,P-256,,ed25519,x25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
4151,"5,54","749,28",3818,"4,70","812,34",2060,"6,83","301,61",2650,"3,80","697,37",4528,"5,70","794,39"
4475,"6,03","742,12",4492,"5,50","816,73",2125,"7,14","297,62",4317,"6,26","689,62",4205,"5,33","788,93"
3924,"5,19","756,07",4751,"6,11","777,58",1500,"4,78","313,81",4303,"6,13","701,96",4859,"6,08","799,18"
4421,"5,98","739,30",4871,"6,14","793,32",2232,"7,19","310,43",2972,"4,42","672,40",4944,"6,16","802,60"
4400,"6,01","732,11",3185,"4,02","792,29",2141,"7,17","298,61",4240,"6,04","701,99",4550,"5,73","794,07"
4136,"5,76","718,06",4720,"5,97","790,62",1502,"4,86","309,05",4177,"6,19","674,80",4446,"5,63","789,70"
4166,"5,70","730,88",4765,"5,97","798,16",2212,"7,13","310,24",4069,"5,95","683,87",4810,"6,11","787,23"
4334,"6,07","714,00",3147,"4,00","786,75",2237,"7,08","315,96",4363,"6,24","699,20",4917,"6,05","812,73"
4598,"5,96","771,48",4764,"5,90","807,46",1501,"5,03","298,41",4120,"6,36","647,80",3280,"4,07","805,90"
3042,"4,06","749,26",4802,"5,98","803,01",2152,"6,91","311,43",4029,"5,83","691,08",4937,"6,15","802,76"
4471,"6,13","729,36",3272,"4,12","794,17",2158,"7,32","294,81",4036,"5,68","710,56",4908,"6,11","803,27"
4444,"6,03","736,98",4630,"5,93","780,78",2222,"6,82","325,81",4172,"6,33","659,08",3321,"4,13","804,12"
3098,"4,11","753,77",4829,"6,00","804,83",2357,"7,19","327,82",4376,"6,26","699,04",4909,"6,09","806,08"
4513,"6,10","739,84",3829,"4,77","802,73",2204,"7,14","308,68",2901,"4,16","697,36",4948,"6,26","790,42"
4424,"6,07","728,83",4696,"6,01","781,36",2231,"6,80","328,09",4132,"6,17","669,69",3245,"4,09","793,40"
3159,"4,14","763,04",4909,"6,06","810,07",2171,"6,65","326,47",4216,"6,13","687,77",4960,"6,10","813,11"
4451,"6,11","728,48",4513,"5,61","804,46",2201,"7,08","310,88",2926,"4,15","705,06",4876,"6,10","799,34"
4372,"6,15","710,89",4795,"5,96","804,53",2343,"7,14","328,15",4178,"6,19","674,96",3869,"4,79","807,72"
3613,"4,80","752,71",4760,"6,09","781,61",1524,"4,85","314,23",4302,"6,26","687,22",4872,"6,00","812,00"
4439,"5,97","743,55",4286,"5,72","749,30",2316,"7,21","321,22",2984,"4,19","712,17",4888,"6,15","794,80"
4389,"6,10","719,51",4604,"5,39","854,17",2275,"7,18","316,85",4202,"6,40","656,56",4647,"5,82","798,45"
4367,"5,75","759,48",4953,"5,93","835,24",1568,"4,84","323,97",4329,"6,22","695,98",4610,"6,00","768,33"
4415,"6,04","730,96",4983,"5,96","836,07",2344,"7,19","326,01",3404,"5,00","680,80",4595,"6,01","764,56"
4387,"6,03","727,53",3336,"4,18","798,09",2266,"7,17","316,04",4126,"6,04","683,11",4477,"5,74","779,97"
4287,"5,72","749,48",4790,"6,09","786,54",1620,"4,81","336,80",4341,"6,24","695,67",4333,"5,67","764,20"
4235,"5,58","758,96",4834,"6,01","804,33",2368,"7,21","328,43",4155,"5,91","703,05",4538,"6,10","743,93"
4419,"6,12","722,06",3347,"4,14","808,45",2198,"7,11","309,14",4125,"6,12","674,02",4736,"6,15","770,08"
4580,"6,11","749,59",4721,"6,09","775,21",1731,"5,55","311,89",4307,"6,19","695,80",3220,"4,09","787,29"
3013,"4,19","719,09",4822,"6,12","787,91",2229,"7,04","316,62",4118,"5,93","694,44",4703,"6,06","776,07"
4346,"6,00","724,33",3220,"4,06","793,10",2168,"7,21","300,69",3948,"5,63","701,24",4678,"6,15","760,65"
4535,"6,04","750,83",4875,"6,18","788,83",2093,"6,81","307,34",4320,"6,29","686,80",3268,"4,09","799,02"
3159,"4,14","763,04",4864,"6,13","793,47",2201,"7,21","305,27",4269,"6,27","680,86",4525,"6,07","745,47"
4374,"6,01","727,79",3895,"4,73","823,47",2269,"7,21","314,70",2981,"4,21","708,08",4726,"5,98","790,30"
4462,"6,14","726,71",4844,"5,88","823,81",2095,"6,69","313,15",4410,"6,31","698,89",3289,"4,13","796,37"
3135,"4,12","760,92",5004,"6,06","825,74",2015,"6,51","309,52",4315,"6,34","680,60",4697,"6,13","766,23"
4413,"6,12","721,08",4723,"5,72","825,70",2227,"7,13","312,34",2730,"4,08","669,12",4737,"6,00","789,50"
4502,"6,04","745,36",4895,"6,09","803,78",2193,"7,14","307,14",4188,"6,32","662,66",3779,"4,87","775,98"
