secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
741,"6,80","108,97",602,"4,02","149,75",563,"6,27","89,79",868,"6,12","141,83",1074,"6,07","176,94"
744,"6,86","108,45",1033,"6,61","156,28",495,"5,88","84,18",940,"6,59","142,64",719,"4,38","164,16"
480,"4,62","103,90",1058,"6,58","160,79",600,"6,85","87,59",763,"5,42","140,77",1141,"6,56","173,93"
739,"6,85","107,88",696,"4,54","153,30",599,"6,87","87,19",858,"6,23","137,72",1135,"6,57","172,75"
730,"6,80","107,35",974,"6,41","151,95",541,"6,20","87,26",935,"6,74","138,72",726,"4,28","169,63"
481,"4,49","107,13",1010,"6,73","150,07",547,"6,28","87,10",912,"6,53","139,66",1044,"6,43","162,36"
735,"6,74","109,05",961,"6,35","151,34",576,"6,62","87,01",628,"4,46","140,81",1053,"6,69","157,40"
725,"7,03","103,13",995,"6,59","150,99",587,"6,86","85,57",954,"6,53","146,09",759,"4,44","170,95"
555,"5,35","103,74",1018,"6,58","154,71",405,"4,54","89,21",956,"6,61","144,63",1023,"6,37","160,60"
701,"6,64","105,57",944,"6,28","150,32",603,"6,75","89,33",638,"4,42","144,34",1061,"6,60","160,76"
728,"6,87","105,97",905,"6,19","146,20",594,"6,77","87,74",985,"6,70","147,01",1037,"6,21","166,99"
673,"6,57","102,44",1026,"6,72","152,68",404,"4,59","88,02",958,"6,56","146,04",1020,"6,43","158,63"
703,"6,77","103,84",994,"6,63","149,92",582,"6,75","86,22",632,"4,40","143,64",1091,"6,63","164,56"
719,"6,98","103,01",668,"4,57","146,17",572,"6,88","83,14",977,"6,59","148,25",1032,"6,14","168,08"
664,"6,46","102,79",1017,"6,66","152,70",387,"4,48","86,38",971,"6,57","147,79",938,"5,94","157,91"
653,"6,30","103,65",1007,"6,64","151,66",595,"6,78","87,76",729,"5,08","143,50",1085,"6,41","169,27"
755,"6,83","110,54",688,"4,43","155,30",597,"6,90","86,52",955,"6,43","148,52",1044,"6,52","160,12"
734,"6,86","107,00",1079,"6,67","161,77",457,"5,32","85,90",954,"6,59","144,76",706,"4,39","160,82"
492,"4,56","107,89",1032,"6,67","154,72",573,"6,79","84,39",865,"6,24","138,62",1041,"6,61","157,49"
738,"6,92","106,65",705,"4,46","158,07",586,"6,79","86,30",889,"6,08","146,22",1112,"6,61","168,23"
720,"6,87","104,80",1060,"6,69","158,45",539,"6,50","82,92",975,"6,67","146,18",718,"4,48","160,27"
499,"4,59","108,71",1064,"6,63","160,48",597,"6,59","90,59",941,"6,64","141,72",1059,"6,52","162,42"
748,"6,81","109,84",780,"5,16","151,16",597,"6,79","87,92",650,"4,41","147,39",1088,"6,51","167,13"
732,"6,92","105,78",1043,"6,35","164,25",548,"6,39","85,76",974,"6,55","148,70",702,"4,36","161,01"
496,"4,64","106,90",1043,"6,63","157,32",531,"6,16","86,20",961,"6,54","146,94",1038,"6,47","160,43"
739,"6,94","106,48",999,"6,35","157,32",569,"6,71","84,80",635,"4,45","142,70",1073,"6,54","164,07"
744,"6,85","108,61",1024,"6,64","154,22",581,"6,85","84,82",946,"6,63","142,68",828,"5,14","161,09"
566,"5,30","106,79",1054,"6,68","157,78",395,"4,64","85,13",982,"6,60","148,79",1041,"6,43","161,90"
729,"6,76","107,84",1007,"6,29","160,10",593,"6,75","87,85",602,"4,45","135,28",1052,"6,54","160,86"
753,"6,92","108,82",960,"6,12","156,86",590,"6,79","86,89",975,"6,64","146,84",1001,"6,33","158,14"
688,"6,59","104,40",1055,"6,59","160,09",390,"4,59","84,97",969,"6,65","145,71",1030,"6,34","162,46"
730,"6,79","107,51",992,"6,65","149,17",582,"6,86","84,84",738,"5,23","141,11",1074,"6,45","166,51"
745,"6,85","108,76",708,"4,52","156,64",593,"6,66","89,04",925,"6,45","143,41",990,"6,18","160,19"
670,"6,46","103,72",1082,"6,72","161,01",388,"4,55","85,27",973,"6,58","147,87",955,"5,84","163,53"
673,"6,32","106,49",1084,"6,73","161,07",590,"6,80","86,76",897,"6,34","141,48",1107,"6,53","169,53"
750,"6,76","110,95",668,"4,48","149,11",572,"6,78","84,37",975,"6,57","148,40",1135,"6,58","172,49"
