secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
741;602;563;868;1074
744;1033;495;940;719
480;1058;600;763;1141
739;696;599;858;1135
730;974;541;935;726
481;1010;547;912;1044
735;961;576;628;1053
725;995;587;954;759
555;1018;405;956;1023
701;944;603;638;1061
728;905;594;985;1037
673;1026;404;958;1020
703;994;582;632;1091
719;668;572;977;1032
664;1017;387;971;938
653;1007;595;729;1085
755;688;597;955;1044
734;1079;457;954;706
492;1032;573;865;1041
738;705;586;889;1112
720;1060;539;975;718
499;1064;597;941;1059
748;780;597;650;1088
732;1043;548;974;702
496;1043;531;961;1038
739;999;569;635;1073
744;1024;581;946;828
566;1054;395;982;1041
729;1007;593;602;1052
753;960;590;975;1001
688;1055;390;969;1030
730;992;582;738;1074
745;708;593;925;990
670;1082;388;973;955
673;1084;590;897;1107
750;668;572;975;1135
711;1102;458;978;707
465;999;569;874;1064
730;675;593;868;1055
736;1107;543;980;687
485;981;581;935;1068
732;781;603;642;1103
723;967;557;993;695
493;1008;539;943;1077
760;974;592;630;1097
755;989;573;952;839
553;1014;401;992;1048
719;941;563;619;1085
770;890;589;931;1039
676;1034;403;941;1023
726;1004;600;706;1078
718;672;587;941;1017
662;1059;374;984;967
674;1006;620;908;1054
757;682;589;941;1016
725;1029;445;983;715
491;1007;578;911;1111
726;678;589;871;1065
705;1037;549;967;720
475;1018;583;934;1065
726;750;601;649;1097
706;1017;565;939;702
470;1062;534;980;1041
726;950;574;620;1096
723;997;582;991;846
569;1054;412;988;1044
707;948;606;623;1114
721;925;591;975;1032
665;1057;402;961;1033
738;978;587;754;1071
733;685;572;948;991
661;1020;389;995;975
659;1030;581;907;1076
730;691;611;943;1033
712;1035;462;967;702
460;1009;600;895;1090
729;677;612;880;1069
708;1026;561;951;701
479;1039;608;954;1067
705;803;605;646;1071
722;1005;545;958;684
463;1060;560;980;1050
735;966;620;622;1070
728;1001;606;992;829
550;1037;413;985;1018
706;953;601;630;1089
724;936;600;976;1002
680;1060;400;989;1007
700;1009;602;746;1091
731;685;605;950;975
657;1017;398;974;1048
658;1040;609;919;1041
715;688;604;948;923
712;1016;458;959;906
480;1014;598;925;1030
723;669;617;833;995
738;1026;564;963;669
483;1039;604;919;1076
729;789;620;594;1167
715;1003;558;933;710
