secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
309;195;485
353;277;459
229;295;493
341;284;553
344;290;546
240;302;358
332;276;545
340;267;541
321;289;345
340;299;535
343;198;543
329;293;357
319;290;536
342;200;541
350;292;414
232;303;522
350;192;551
345;295;514
231;289;526
333;236;546
346;283;509
228;296;488
336;286;554
362;294;532
264;305;360
344;276;550
338;264;544
323;298;361
340;303;537
339;199;550
332;289;373
303;289;535
338;191;543
349;295;421
214;306;539
345;195;559
360;296;514
214;303;541
345;220;535
350;285;484
228;287;496
333;273;546
347;293;532
281;289;355
333;278;545
350;279;532
338;296;367
301;288;527
350;189;545
354;295;361
223;293;557
346;193;551
346;286;423
236;300;543
340;195;554
343;291;519
227;291;526
336;234;530
352;284;507
280;298;488
330;280;536
343;283;535
336;294;373
343;269;528
349;263;545
330;298;378
334;295;541
354;197;551
334;298;360
306;297;542
338;193;538
338;298;422
230;294;538
350;199;552
344;294;513
229;300;535
338;228;566
350;295;509
235;295;498
336;280;549
331;279;532
268;294;370
322;279;551
337;269;551
335;300;365
333;296;540
355;204;559
317;294;366
315;298;540
340;201;548
342;294;425
228;300;519
349;195;556
348;306;524
232;298;547
325;232;537
342;291;511
232;299;500
335;274;545
348;297;536
