ed25519 - P-256;ed25519 - x25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
6100;4856;2325;5958;7431
6749;7974;2127;6010;5391
4644;8024;2481;5307;7959
6727;5472;2429;5539;8081
6438;7779;2328;5942;5298
4478;7880;2336;6163;7818
6571;7637;2396;4084;8009
6514;8360;2461;6033;5674
4444;8111;1733;6292;7821
6609;7514;2426;4077;8073
6413;7696;2508;5960;7802
6208;8223;1593;6250;7714
6739;8109;2288;4234;8026
6474;5593;2282;5997;7681
6185;7809;1645;6073;7248
6131;8116;2306;4718;8120
6372;5356;2321;5888;7985
6679;8076;1898;5919;5484
4480;7820;2293;5690;7732
6691;5304;2393;5454;7887
6628;7928;2215;6097;4873
4666;7921;2315;5934;7621
6768;6245;2360;3946;7663
6465;7715;2288;6072;5201
4552;7788;2194;6083;7709
6688;7737;2306;4094;7823
6537;7954;2316;5847;6136
5205;7886;1569;6013;7382
6627;7359;2269;3958;7773
6638;7272;2379;6094;7571
6294;7785;1639;6147;7610
6643;8068;2280;4843;7764
6440;5318;2353;5931;7272
6235;7709;1532;5949;7110
6182;7731;2344;5965;7861
6479;5430;2332;5898;7951
6452;7833;1848;5939;5218
4570;7637;2268;5975;7679
6627;5396;2402;5603;7610
6412;8113;2262;6188;5232
4472;7885;2311;6377;7538
6616;6353;2353;4244;7864
6414;7821;2371;6255;5108
4506;7903;2234;6275;7883
6659;7664;2423;4208;7984
6406;8092;2570;6294;6350
5211;7820;1682;6363;7617
6531;7775;2391;4208;7973
6615;7436;2538;6229;7631
6307;7680;1725;6187;7732
6703;8087;2399;5094;7928
6665;5258;2553;6185;7307
6272;7909;1671;6115;7529
6178;7970;2367;6186;7851
6585;5415;2528;6231;7205
6613;7895;2068;6039;7115
4508;7930;2428;6110;7777
6611;5653;2304;5636;7806
6468;8056;2263;6031;5127
4311;7989;2394;6396;7808
6635;6411;2333;4135;7772
6407;7746;2273;6208;5136
4488;7964;2065;6327;7946
6590;7694;2346;3931;7590
6566;7928;2437;5990;5193
5245;7749;1539;6317;7719
6426;7344;2352;4199;7813
6554;7223;2415;6147;6130
6173;7826;1655;6340;7657
6587;8190;2266;5023;7671
6480;5567;2365;6040;7509
6232;7849;1620;6186;7659
6068;7975;2336;5988;7873
6486;5345;2327;6071;7264
6533;7914;1964;6112;6907
4622;7846;2373;5782;7709
6465;5344;2433;5494;7735
6598;7860;2445;5938;5242
4480;7862;2432;6036;7810
6558;6433;2456;4000;7803
6395;7641;2432;6183;5203
4415;8013;2260;6072;7705
6405;7618;2387;4219;7743
6559;8085;2571;6041;5393
5279;8003;1661;6267;7859
6464;7552;2421;4184;7644
6357;7323;2566;5974;6198
6136;7793;1710;6053;7678
6659;8147;2440;4723;7782
6553;5368;2549;5837;7492
6169;7704;1635;6007;7706
6290;8136;2532;5766;7818
6386;5396;2528;6062;7377
6952;7947;1948;5931;7200
4608;8120;2453;5733;7725
6687;5524;2528;5679;8083
6682;7827;2338;6123;5315
4570;8042;2453;6064;7947
6512;6402;2521;4152;8093
6833;7773;2336;6029;5284
