secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
443;345;710
404;356;1205
460;301;1219
473;334;841
445;353;1197
425;355;1200
474;342;836
466;362;1181
316;351;1203
473;330;1156
465;361;1202
317;352;1199
477;339;1169
468;357;1109
313;335;1194
472;365;1224
477;349;790
364;339;1196
463;341;1216
474;363;827
450;372;1184
469;247;1222
463;360;788
451;372;1219
425;243;1205
460;346;939
478;367;1179
313;246;1209
448;352;1155
475;371;1191
312;292;1187
469;351;1169
480;373;1099
310;337;1196
471;365;1246
465;365;780
364;326;1235
449;328;1214
450;368;812
445;359;1233
465;249;1210
449;364;803
448;358;1214
435;239;1172
464;358;969
467;358;1187
315;247;1197
456;369;1190
474;372;1162
312;287;1207
465;358;1155
459;364;1057
312;343;1228
466;348;1212
451;368;778
366;352;1214
440;332;1164
460;367;802
443;362;1227
446;240;1167
450;363;819
426;365;1208
390;245;1165
464;367;978
458;363;1149
313;254;1176
462;368;1182
436;349;1166
299;289;1210
459;357;1130
450;364;1074
305;354;1216
454;362;1181
447;345;804
360;344;1233
447;333;1204
442;366;814
439;365;1227
463;235;1144
454;362;827
431;363;1186
407;252;1159
440;369;955
456;362;1138
290;248;1207
458;364;1174
470;361;1134
308;289;1220
432;350;1128
453;358;1126
309;352;1217
451;361;1187
453;370;815
344;339;1227
457;319;1200
454;368;816
426;362;1227
460;240;1189
449;363;809
430;350;1231
