ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
1901;1884;821;1438;1949
1807;2046;1215;1681;1351
1761;1657;1223;1818;1884
1734;1885;829;1822;2015
1861;2029;1212;1225;1736
1922;1895;1237;1809;2011
1722;1887;887;1802;2018
1798;2033;1199;1227;1873
1809;2033;1205;1813;1875
1761;1315;1118;1777;1882
1916;1911;1206;1239;1866
1785;2006;1206;1821;1352
1870;1374;1115;1831;2013
1785;2039;1100;1424;1886
1709;2024;1325;1814;1301
1793;1369;1323;1830;1904
1944;2025;886;1757;1899
1675;2025;1187;1843;1258
1684;1592;1184;1857;1891
1833;1915;785;1740;2017
1832;1906;1192;1627;1481
1214;1928;1190;1788;1804
1927;2034;786;1795;1866
1834;2029;1221;1184;1784
1215;1904;1226;1750;2012
1804;1778;927;1761;1890
1824;2032;1180;1202;1788
1294;2043;1253;1865;1741
1900;1366;1163;1852;2013
1937;2023;1236;1244;2021
1518;2041;1220;1744;1365
1905;1379;1180;1766;2028
1942;2035;1163;1426;2022
1738;1925;1254;1708;1366
1867;1374;1245;1792;2024
1793;2040;849;1772;2023
1672;2024;1258;1747;1368
1649;1593;1254;1782;2023
1947;1904;837;1655;2016
1946;1923;1231;1604;1496
1298;1928;1243;1867;1986
1947;1934;849;1743;2017
1814;2033;1245;1184;1920
1232;1903;1235;1760;2023
1848;1885;978;1773;2014
1814;2040;1247;1171;1752
1197;1932;1272;1776;1765
1844;1289;1194;1779;1879
1814;2022;1269;1231;1913
1410;2031;1246;1758;1368
