secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
420;323;823
269;302;736
392;300;818
402;348;829
268;325;768
392;311;788
426;320;859
367;320;844
383;337;577
393;351;864
400;334;851
389;316;573
423;324;809
399;313;856
265;324;585
392;347;848
401;309;852
272;299;640
403;324;817
396;325;847
259;222;774
398;324;816
429;326;860
306;232;810
385;341;769
395;348;836
369;220;858
397;325;582
394;332;847
364;263;854
356;321;572
393;335;866
391;332;816
264;329;579
392;343;846
395;315;847
269;312;662
390;333;826
393;329;847
271;227;789
397;333;856
389;346;845
318;221;794
416;328;776
394;346;852
375;231;859
424;329;591
415;329;843
401;270;842
389;322;576
