ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
128,"0,16","800,00",132,"0,17","776,47",102,"0,32","318,75",83,"0,12","691,67",97,"0,14","692,86"
90,"0,12","750,00",112,"0,14","800,00",128,"0,40","320,00",133,"0,20","665,00",123,"0,15","820,00"
133,"0,21","633,33",124,"0,15","826,67",129,"0,41","314,63",133,"0,20","665,00",133,"0,18","738,89"
133,"0,20","665,00",134,"0,17","788,24",122,"0,37","329,73",90,"0,14","642,86",134,"0,17","788,24"
90,"0,13","692,31",134,"0,15","893,33",129,"0,40","322,50",133,"0,20","665,00",126,"0,17","741,18"
133,"0,19","700,00",127,"0,14","907,14",129,"0,40","322,50",133,"0,21","633,33",133,"0,16","831,25"
133,"0,20","665,00",134,"0,16","837,50",120,"0,37","324,32",91,"0,13","700,00",132,"0,17","776,47"
116,"0,15","773,33",132,"0,17","776,47",120,"0,39","307,69",132,"0,18","733,33",127,"0,15","846,67"
132,"0,17","776,47",128,"0,15","853,33",128,"0,44","290,91",132,"0,21","628,57",134,"0,17","788,24"
133,"0,16","831,25",134,"0,16","837,50",128,"0,44","290,91",126,"0,18","700,00",130,"0,17","764,71"
126,"0,17","741,18",131,"0,15","873,33",87,"0,28","310,71",133,"0,21","633,33",129,"0,18","716,67"
122,"0,17","717,65",130,"0,17","764,71",127,"0,46","276,09",133,"0,19","700,00",133,"0,19","700,00"
133,"0,18","738,89",133,"0,16","831,25",128,"0,46","278,26",124,"0,19","652,63",128,"0,16","800,00"
133,"0,18","738,89",128,"0,16","800,00",86,"0,28","307,14",124,"0,17","729,41",131,"0,17","770,59"
90,"0,12","750,00",133,"0,15","886,67",129,"0,41","314,63",133,"0,19","700,00",134,"0,17","788,24"
133,"0,21","633,33",133,"0,18","738,89",128,"0,40","320,00",133,"0,19","700,00",125,"0,18","694,44"
134,"0,18","744,44",126,"0,15","840,00",86,"0,29","296,55",90,"0,12","750,00",133,"0,19","700,00"
90,"0,12","750,00",122,"0,15","813,33",128,"0,46","278,26",133,"0,21","633,33",133,"0,20","665,00"
133,"0,18","738,89",134,"0,17","788,24",128,"0,41","312,20",133,"0,21","633,33",124,"0,18","688,89"
134,"0,20","670,00",134,"0,16","837,50",100,"0,32","312,50",90,"0,13","692,31",123,"0,17","723,53"
90,"0,12","750,00",89,"0,12","741,67",126,"0,45","280,00",132,"0,22","600,00",134,"0,18","744,44"
133,"0,17","782,35",134,"0,18","744,44",128,"0,41","312,20",134,"0,19","705,26",133,"0,17","782,35"
133,"0,19","700,00",134,"0,15","893,33",121,"0,42","288,10",89,"0,13","684,62",90,"0,12","750,00"
106,"0,15","706,67",90,"0,11","818,18",128,"0,43","297,67",134,"0,18","744,44",133,"0,16","831,25"
130,"0,17","764,71",133,"0,17","782,35",128,"0,45","284,44",132,"0,22","600,00",133,"0,17","782,35"
133,"0,18","738,89",134,"0,17","788,24",119,"0,37","321,62",104,"0,15","693,33",90,"0,12","750,00"
128,"0,17","752,94",90,"0,11","818,18",119,"0,39","305,13",132,"0,18","733,33",133,"0,17","782,35"
132,"0,17","776,47",134,"0,16","837,50",128,"0,46","278,26",133,"0,20","665,00",134,"0,16","837,50"
133,"0,17","782,35",134,"0,17","788,24",129,"0,41","314,63",126,"0,17","741,18",89,"0,13","684,62"
126,"0,16","787,50",106,"0,13","815,38",121,"0,43","281,40",133,"0,23","578,26",134,"0,17","788,24"
122,"0,17","717,65",130,"0,15","866,67",128,"0,40","320,00",132,"0,21","628,57",133,"0,17","782,35"
