secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
100,"1,45","68,97",61,"1,00","61,00",112,"0,72","155,56"
105,"1,53","68,63",100,"1,54","64,94",122,"0,78","156,41"
79,"1,12","70,54",101,"1,53","66,01",100,"0,66","151,52"
98,"1,31","74,81",69,"1,02","67,65",115,"0,72","159,72"
104,"1,53","67,97",98,"1,48","66,22",122,"0,79","154,43"
106,"1,42","74,65",99,"1,68","58,93",121,"0,73","165,75"
71,"1,02","69,61",95,"1,54","61,69",117,"0,75","156,00"
105,"1,56","67,31",100,"1,52","65,79",122,"0,82","148,78"
104,"1,61","64,60",98,"1,63","60,12",118,"0,70","168,57"
71,"0,96","73,96",93,"1,55","60,00",120,"0,78","153,85"
104,"1,61","64,60",91,"1,51","60,26",121,"0,78","155,13"
106,"1,42","74,65",102,"1,55","65,81",116,"0,75","154,67"
71,"1,01","70,30",102,"1,52","67,11",122,"0,72","169,44"
105,"1,57","66,88",67,"1,13","59,29",122,"0,77","158,44"
105,"1,50","70,00",100,"1,51","66,23",114,"0,73","156,16"
81,"1,20","67,50",100,"1,51","66,23",112,"0,71","157,75"
103,"1,46","70,55",68,"1,02","66,67",122,"0,79","154,43"
106,"1,48","71,62",99,"1,71","57,89",122,"0,75","162,67"
100,"1,39","71,94",101,"1,64","61,59",82,"0,49","167,35"
105,"1,48","70,95",68,"1,03","66,02",122,"0,80","152,50"
106,"1,51","70,20",100,"1,63","61,35",122,"0,74","164,86"
99,"1,40","70,71",100,"1,69","59,17",83,"0,50","166,00"
97,"1,35","71,85",80,"1,21","66,12",122,"0,74","164,86"
106,"1,43","74,13",99,"1,58","62,66",121,"0,79","153,16"
106,"1,48","71,62",100,"1,66","60,24",83,"0,50","166,00"
71,"0,97","73,20",96,"1,61","59,63",122,"0,73","167,12"
106,"1,54","68,83",101,"1,52","66,45",121,"0,82","147,56"
106,"1,48","71,62",99,"1,60","61,88",97,"0,58","167,24"
71,"0,96","73,96",95,"1,45","65,52",119,"0,71","167,61"
106,"1,47","72,11",102,"1,52","67,11",123,"0,74","166,22"
106,"1,45","73,10",100,"1,65","60,61",116,"0,74","156,76"
70,"1,04","67,31",92,"1,63","56,44",121,"0,76","159,21"
105,"1,57","66,88",94,"1,59","59,12",122,"0,74","164,86"
105,"1,50","70,00",100,"1,58","63,29",116,"0,70","165,71"
83,"1,17","70,94",100,"1,69","59,17",112,"0,68","164,71"
104,"1,44","72,22",95,"1,50","63,33",122,"0,80","152,50"
103,"1,59","64,78",101,"1,65","61,21",121,"0,77","157,14"
99,"1,50","66,00",100,"1,50","66,67",82,"0,54","151,85"
105,"1,45","72,41",97,"1,57","61,78",122,"0,80","152,50"
106,"1,42","74,65",102,"1,51","67,55",121,"0,80","151,25"
98,"1,40","70,00",96,"1,61","59,63",81,"0,55","147,27"
95,"1,47","64,63",100,"1,49","67,11",122,"0,74","164,86"
105,"1,61","65,22",102,"1,52","67,11",122,"0,80","152,50"
106,"1,42","74,65",97,"1,47","65,99",82,"0,48","170,83"
72,"0,97","74,23",100,"1,60","62,50",122,"0,74","164,86"
106,"1,41","75,18",102,"1,54","66,23",121,"0,80","151,25"
105,"1,47","71,43",94,"1,48","63,51",96,"0,59","162,71"
71,"1,03","68,93",94,"1,40","67,14",119,"0,73","163,01"
104,"1,61","64,60",102,"1,53","66,67",121,"0,84","144,05"
104,"1,56","66,67",101,"1,50","67,33",115,"0,81","141,98"
