secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
348;388;292;252;356
268;416;308;400;405
345;281;230;403;427
347;419;287;272;424
331;416;302;400;411
316;294;308;406;430
347;408;208;348;422
349;419;307;407;421
234;402;305;406;431
350;417;208;376;418
342;420;306;369;426
232;395;305;400;433
348;377;207;403;409
349;418;306;269;434
235;425;304;401;434
345;281;239;404;408
346;422;302;271;398
277;419;306;403;433
341;282;293;402;433
343;419;307;268;290
331;421;308;403;433
340;281;287;400;435
343;418;283;316;295
327;421;305;399;430
316;330;313;402;433
344;406;209;378;292
345;418;309;407;431
235;401;309;408;432
346;414;210;378;337
345;418;310;373;426
233;395;310;397;434
352;380;211;399;409
348;420;307;269;432
235;416;313;403;437
350;283;242;400;402
349;418;306;270;404
276;416;307;407;436
335;281;292;402;432
346;422;306;274;295
333;416;310;403;432
345;284;288;403;430
350;419;285;318;289
328;417;309;403;436
316;330;310;405;436
347;407;212;381;292
345;418;307;403;433
232;397;310;407;432
345;413;209;380;337
348;417;311;378;428
237;397;314;402;434
