secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
214,"1,50","142,67",306,"1,20","255,00",248,"2,02","122,77",314,"1,36","230,88",216,"0,78","276,92"
254,"1,71","148,54",228,"0,80","285,00",257,"2,09","122,97",315,"1,30","242,31",331,"1,06","312,26"
276,"1,89","146,03",313,"1,25","250,40",171,"1,48","115,54",239,"1,00","239,00",333,"1,07","311,21"
276,"1,91","144,50",321,"1,29","248,84",254,"2,17","117,05",284,"1,29","220,16",225,"0,70","321,43"
187,"1,29","144,96",305,"1,23","247,97",255,"2,14","119,16",308,"1,38","223,19",325,"1,19","273,11"
279,"1,80","155,00",318,"1,17","271,79",171,"1,43","119,58",311,"1,32","235,61",323,"1,22","264,75"
274,"1,89","144,97",319,"1,31","243,51",256,"2,11","121,33",207,"0,95","217,89",282,"0,98","287,76"
184,"1,30","141,54",297,"1,24","239,52",255,"2,08","122,60",312,"1,32","236,36",320,"1,18","271,19"
278,"1,83","151,91",294,"1,08","272,22",173,"1,42","121,83",308,"1,41","218,44",326,"1,18","276,27"
276,"1,90","145,26",321,"1,26","254,76",258,"2,06","125,24",206,"0,98","210,20",307,"1,09","281,65"
185,"1,28","144,53",321,"1,26","254,76",257,"2,09","122,97",307,"1,45","211,72",297,"1,05","282,86"
277,"1,89","146,56",214,"0,87","245,98",224,"1,77","126,55",308,"1,42","216,90",326,"1,14","285,96"
277,"1,89","146,56",319,"1,24","257,26",249,"2,12","117,45",211,"0,91","231,87",323,"1,21","266,94"
217,"1,48","146,62",318,"1,29","246,51",254,"2,16","117,59",309,"1,42","217,61",220,"0,77","285,71"
272,"1,86","146,24",214,"0,87","245,98",237,"2,07","114,49",308,"1,44","213,89",325,"1,15","282,61"
275,"1,85","148,65",321,"1,19","269,75",232,"1,97","117,77",242,"1,12","216,07",324,"1,21","267,77"
260,"1,83","142,08",317,"1,30","243,85",254,"2,16","117,59",299,"1,38","216,67",219,"0,77","284,42"
268,"1,95","137,44",215,"0,84","255,95",257,"2,08","123,56",308,"1,41","218,44",326,"1,13","288,50"
273,"1,93","141,45",315,"1,31","240,46",173,"1,42","121,83",295,"1,37","215,33",331,"1,09","303,67"
256,"1,80","142,22",317,"1,28","247,66",256,"2,13","120,19",304,"1,38","220,29",220,"0,80","275,00"
252,"1,76","143,18",249,"1,04","239,42",256,"2,07","123,67",307,"1,43","214,69",324,"1,16","279,31"
274,"1,96","139,80",309,"1,27","243,31",174,"1,39","125,18",290,"1,33","218,05",326,"1,16","281,03"
274,"1,90","144,21",317,"1,30","243,85",257,"2,09","122,97",281,"1,31","214,50",258,"0,90","286,67"
185,"1,29","143,41",303,"1,21","250,41",258,"2,06","125,24",307,"1,40","219,29",316,"1,16","272,41"
276,"1,88","146,81",316,"1,27","248,82",174,"1,38","126,09",307,"1,47","208,84",324,"1,17","276,92"
274,"1,94","141,24",318,"1,27","250,39",257,"2,10","122,38",207,"0,95","217,89",312,"1,11","281,08"
185,"1,31","141,22",297,"1,25","237,60",256,"2,11","121,33",307,"1,44","213,19",321,"1,17","274,36"
275,"1,93","142,49",294,"1,06","277,36",202,"1,64","123,17",306,"1,45","211,03",325,"1,17","277,78"
272,"1,95","139,49",318,"1,28","248,44",250,"2,03","123,15",208,"0,96","216,67",307,"1,10","279,09"
185,"1,31","141,22",317,"1,30","243,85",255,"2,08","122,60",308,"1,41","218,44",296,"1,08","274,07"
280,"1,81","154,70",218,"0,79","275,95",244,"2,02","120,79",305,"1,48","206,08",326,"1,18","276,27"
281,"1,82","154,40",323,"1,20","269,17",252,"2,07","121,74",206,"0,97","212,37",326,"1,14","285,96"
220,"1,40","157,14",318,"1,28","248,44",256,"2,09","122,49",307,"1,42","216,20",219,"0,80","273,75"
269,"1,84","146,20",219,"0,79","277,22",240,"2,00","120,00",305,"1,44","211,81",330,"1,09","302,75"
273,"1,90","143,68",320,"1,27","251,97",234,"1,91","122,51",244,"1,13","215,93",326,"1,14","285,96"
264,"1,78","148,31",321,"1,19","269,75",258,"2,05","125,85",306,"1,26","242,86",221,"0,73","302,74"
272,"1,90","143,16",214,"0,86","248,84",257,"2,10","122,38",308,"1,39","221,58",326,"1,15","283,48"
271,"1,95","138,97",318,"1,27","250,39",171,"1,43","119,58",296,"1,33","222,56",326,"1,15","283,48"
259,"1,81","143,09",323,"1,18","273,73",256,"2,13","120,19",305,"1,41","216,31",218,"0,80","272,50"
252,"1,75","144,00",249,"1,03","241,75",257,"2,10","122,38",307,"1,44","213,19",325,"1,17","277,78"
271,"1,98","136,87",316,"1,19","265,55",171,"1,42","120,42",292,"1,31","222,90",323,"1,19","271,43"
278,"1,76","157,95",319,"1,25","255,20",252,"2,18","115,60",281,"1,28","219,53",257,"0,92","279,35"
185,"1,29","143,41",302,"1,23","245,53",255,"2,11","120,85",306,"1,46","209,59",317,"1,11","285,59"
274,"1,93","141,97",315,"1,25","252,00",172,"1,40","122,86",309,"1,39","222,30",326,"1,17","278,63"
279,"1,80","155,00",318,"1,27","250,39",254,"2,13","119,25",207,"0,96","215,62",311,"1,13","275,22"
185,"1,30","142,31",298,"1,21","246,28",254,"2,13","119,25",308,"1,40","220,00",322,"1,13","284,96"
275,"1,89","145,50",296,"1,07","276,64",201,"1,71","117,54",308,"1,39","221,58",326,"1,17","278,63"
275,"1,92","143,23",318,"1,30","244,62",249,"2,03","122,66",207,"0,96","215,62",306,"1,10","278,18"
186,"1,28","145,31",317,"1,29","245,74",257,"2,07","124,15",311,"1,34","232,09",297,"1,06","280,19"
274,"1,90","144,21",213,"0,87","244,83",243,"2,05","118,54",306,"1,43","213,99",325,"1,15","282,61"
