secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
701,"4,19","167,30",1230,"4,27","288,06",738,"5,65","130,62",1139,"4,22","269,91",1918,"5,60","342,50"
611,"4,05","150,86",1361,"4,71","288,96",542,"4,17","129,98",1266,"4,68","270,51",921,"2,66","346,24"
802,"5,14","156,03",1024,"3,33","307,51",633,"5,13","123,39",1080,"4,29","251,75",1546,"4,33","357,04"
799,"4,77","167,51",1191,"4,15","286,99",633,"4,99","126,85",1321,"4,92","268,50",1086,"3,04","357,24"
567,"3,43","165,31",1291,"4,49","287,53",693,"5,63","123,09",1151,"4,60","250,22",2016,"5,70","353,68"
808,"5,07","159,37",1821,"6,06","300,50",570,"4,57","124,73",1214,"4,74","256,12",1698,"4,79","354,49"
965,"5,83","165,52",1116,"3,74","298,40",579,"4,75","121,89",1181,"4,43","266,59",1861,"5,40","344,63"
611,"3,68","166,03",1172,"4,01","292,27",596,"4,87","122,38",1066,"3,97","268,51",1214,"3,56","341,01"
955,"5,83","163,81",1163,"3,91","297,44",673,"5,33","126,27",1213,"4,62","262,55",1811,"5,20","348,27"
897,"5,66","158,48",1291,"4,42","292,08",677,"5,53","122,42",1349,"5,34","252,62",1717,"4,90","350,41"
742,"4,55","163,08",1642,"5,45","301,28",606,"4,93","122,92",1320,"4,89","269,94",1124,"3,21","350,16"
818,"5,08","161,02",1160,"4,06","285,71",552,"4,44","124,32",1175,"4,49","261,69",2099,"5,93","353,96"
903,"5,55","162,70",969,"3,36","288,39",614,"5,07","121,10",1263,"4,71","268,15",1877,"5,36","350,19"
772,"4,90","157,55",995,"3,43","290,09",600,"4,93","121,70",895,"3,49","256,45",1813,"5,11","354,79"
575,"3,70","155,41",1580,"5,36","294,78",405,"3,32","121,99",1091,"4,25","256,71",1956,"5,57","351,17"
871,"5,64","154,43",1392,"4,99","278,96",606,"4,97","121,93",1079,"4,34","248,62",1557,"4,40","353,86"
766,"4,93","155,38",935,"3,25","287,69",575,"4,71","122,08",1446,"5,58","259,14",1054,"3,06","344,44"
502,"3,16","158,86",1557,"5,24","297,14",492,"4,12","119,42",1314,"5,28","248,86",1672,"4,72","354,24"
826,"5,39","153,25",1109,"3,91","283,63",648,"5,16","125,58",1242,"4,96","250,40",1792,"5,01","357,68"
690,"4,45","155,06",1217,"4,17","291,85",663,"5,38","123,23",1157,"4,53","255,41",1549,"4,52","342,70"
402,"2,43","165,43",1358,"4,65","292,04",404,"3,44","117,44",579,"2,31","250,65",1243,"3,48","357,18"
909,"5,85","155,38",1403,"4,88","287,50",712,"5,89","120,88",1396,"5,18","269,50",1085,"3,09","351,13"
924,"5,77","160,14",1067,"3,57","298,88",714,"5,86","121,84",1062,"3,99","266,17",1692,"4,74","356,96"
592,"3,74","158,29",1573,"5,31","296,23",430,"3,55","121,13",819,"3,02","271,19",2031,"5,70","356,32"
926,"5,69","162,74",1471,"5,05","291,29",731,"5,84","125,17",1289,"4,83","266,87",1685,"4,99","337,68"
595,"3,93","151,40",1427,"4,83","295,45",583,"4,66","125,11",1421,"5,35","265,61",1651,"4,75","347,58"
697,"4,36","159,86",1539,"5,23","294,26",675,"5,57","121,18",958,"3,57","268,35",1412,"3,98","354,77"
857,"5,30","161,70",1149,"3,92","293,11",513,"4,24","120,99",1443,"5,66","254,95",1288,"3,84","335,42"
947,"5,96","158,89",1598,"5,48","291,61",677,"5,55","121,98",1345,"5,17","260,15",1807,"5,24","344,85"
705,"4,42","159,50",1267,"4,33","292,61",620,"4,78","129,71",1314,"5,16","254,65",1304,"3,73","349,60"
661,"4,09","161,61",1230,"4,21","292,16",565,"4,30","131,40",978,"3,68","265,76",1674,"4,86","344,44"
864,"5,44","158,82",1388,"4,57","303,72",636,"4,80","132,50",1275,"4,96","257,06",1271,"3,69","344,44"
754,"4,79","157,41",1037,"3,57","290,48",664,"5,09","130,45",1397,"5,48","254,93",1656,"4,85","341,44"
784,"5,03","155,86",1662,"5,62","295,73",535,"4,11","130,17",1132,"4,49","252,12",1516,"4,38","346,12"
660,"4,20","157,14",1520,"4,85","313,40",731,"5,58","131,00",1153,"4,53","254,53",1509,"4,30","350,93"
777,"4,91","158,25",1213,"4,27","284,07",715,"5,50","130,00",1252,"4,92","254,47",1305,"3,87","337,21"
548,"3,58","153,07",1709,"5,81","294,15",353,"2,72","129,78",1441,"5,38","267,84",1152,"3,40","338,82"
771,"4,90","157,35",1110,"3,68","301,63",731,"5,57","131,24",897,"3,57","251,26",1539,"4,60","334,57"
834,"5,30","157,36",1195,"4,06","294,33",769,"5,89","130,56",1297,"5,18","250,39",1662,"4,75","349,89"
645,"4,18","154,31",1069,"3,55","301,13",516,"3,90","132,31",943,"3,67","256,95",1601,"4,56","351,10"
628,"4,01","156,61",1511,"5,13","294,54",639,"4,81","132,85",837,"3,34","250,60",1619,"4,54","356,61"
789,"5,00","157,80",1442,"5,05","285,54",554,"4,25","130,35",1573,"5,92","265,71",1100,"3,14","350,32"
824,"5,35","154,02",1601,"5,25","304,95",392,"3,02","129,80",1076,"4,28","251,40",1213,"3,42","354,68"
854,"5,43","157,27",1174,"4,01","292,77",590,"4,60","128,26",1296,"5,24","247,33",1792,"5,12","350,00"
982,"6,15","159,67",1589,"5,38","295,35",770,"5,85","131,62",1015,"4,11","246,96",806,"2,31","348,92"
680,"4,43","153,50",1356,"4,68","289,74",757,"5,74","131,88",666,"2,79","238,71",2089,"5,87","355,88"
920,"5,71","161,12",1386,"5,12","270,70",661,"5,04","131,15",1237,"4,57","270,68",1837,"5,20","353,27"
797,"4,86","163,99",1322,"4,75","278,32",674,"5,19","129,87",966,"3,80","254,21",1084,"3,14","345,22"
715,"4,57","156,46",1177,"4,22","278,91",660,"5,02","131,47",855,"3,54","241,53",1609,"4,57","352,08"
894,"5,61","159,36",1030,"3,56","289,33",574,"4,35","131,95",1469,"5,73","256,37",1664,"4,76","349,58"
