secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
242,"3,28","73,78",296,"4,55","65,05",1014,"5,50","184,36"
484,"6,29","76,95",280,"4,37","64,07",854,"5,03","169,78"
429,"5,74","74,74",389,"5,96","65,27",747,"4,07","183,54"
301,"4,09","73,59",326,"4,97","65,59",1144,"6,12","186,93"
480,"6,40","75,00",357,"5,50","64,91",1036,"5,86","176,79"
437,"5,75","76,00",356,"5,35","66,54",992,"5,39","184,04"
368,"4,96","74,19",301,"4,54","66,30",1126,"6,19","181,91"
421,"5,83","72,21",364,"5,64","64,54",895,"5,10","175,49"
419,"5,65","74,16",299,"4,56","65,57",990,"5,90","167,80"
451,"6,07","74,30",345,"5,20","66,35",997,"5,42","183,95"
428,"5,71","74,96",316,"4,91","64,36",884,"5,09","173,67"
482,"6,35","75,91",268,"4,12","65,05",894,"5,24","170,61"
396,"5,25","75,43",356,"5,49","64,85",902,"5,31","169,87"
330,"4,36","75,69",386,"5,80","66,55",1077,"6,25","172,32"
486,"6,22","78,14",355,"5,51","64,43",580,"3,35","173,13"
429,"5,92","72,47",348,"5,31","65,54",985,"5,74","171,60"
324,"4,37","74,14",315,"4,87","64,68",994,"5,69","174,69"
408,"5,27","77,42",287,"4,49","63,92",788,"4,62","170,56"
421,"5,84","72,09",354,"5,22","67,82",1047,"5,91","177,16"
314,"4,14","75,85",373,"5,61","66,49",923,"5,31","173,82"
469,"6,41","73,17",344,"5,37","64,06",737,"4,40","167,50"
417,"5,78","72,15",274,"4,35","62,99",977,"5,56","175,72"
332,"4,41","75,28",364,"5,54","65,70",1237,"7,08","174,72"
378,"4,92","76,83",398,"5,95","66,89",779,"4,54","171,59"
457,"6,15","74,31",378,"5,71","66,20",964,"5,53","174,32"
407,"5,37","75,79",333,"5,24","63,55",971,"5,56","174,64"
435,"5,85","74,36",396,"5,96","66,44",977,"5,52","176,99"
427,"5,76","74,13",378,"5,74","65,85",1196,"6,72","177,98"
446,"5,90","75,59",306,"4,64","65,95",696,"4,00","174,00"
373,"4,92","75,81",353,"5,36","65,86",683,"3,92","174,23"
416,"5,60","74,29",332,"5,17","64,22",779,"4,51","172,73"
371,"5,01","74,05",387,"5,87","65,93",920,"5,18","177,61"
332,"4,39","75,63",396,"5,96","66,44",849,"4,85","175,05"
488,"6,52","74,85",359,"5,61","63,99",623,"3,51","177,49"
487,"6,37","76,45",353,"5,34","66,10",991,"5,63","176,02"
313,"4,22","74,17",394,"5,95","66,22",989,"5,73","172,60"
421,"5,79","72,71",375,"5,73","65,45",598,"3,43","174,34"
414,"5,50","75,27",259,"3,98","65,08",829,"4,82","171,99"
333,"4,30","77,44",345,"5,40","63,89",1041,"5,98","174,08"
466,"6,25","74,56",317,"5,10","62,16",694,"4,05","171,36"
479,"6,45","74,26",286,"4,77","59,96",922,"5,25","175,62"
375,"5,15","72,82",358,"5,78","61,94",1107,"6,00","184,50"
461,"6,24","73,88",308,"4,89","62,99",862,"4,96","173,79"
427,"5,88","72,62",343,"5,43","63,17",998,"5,80","172,07"
475,"6,18","76,86",327,"5,19","63,01",852,"4,98","171,08"
424,"5,78","73,36",332,"5,24","63,36",1098,"6,30","174,29"
471,"6,32","74,53",223,"3,65","61,10",1075,"6,17","174,23"
376,"4,96","75,81",319,"5,09","62,67",1089,"6,55","166,26"
443,"5,99","73,96",369,"5,85","63,08",744,"4,20","177,14"
403,"5,65","71,33",179,"2,88","62,15",840,"5,00","168,00"
