ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
1127;1717;855;1048;1207
1762;1114;923;1235;2101
1308;2079;1247;1246;2156
1864;1660;837;1778;991
1415;1285;1013;1591;2021
1148;2145;1259;2247;1534
1499;1484;987;2036;1803
1490;1674;1190;1821;1626
1609;1929;1827;1488;2718
2106;2386;917;1455;1601
1580;1274;955;1462;879
1779;1514;1345;1019;1470
831;820;1179;1321;1427
1833;1570;1115;979;1671
1386;2261;1193;600;1571
1206;1853;1135;2331;1391
1403;1421;960;1583;1433
1811;1247;1294;1328;1830
978;1686;1428;1425;1659
1637;1810;1069;1183;1413
1910;1290;886;1418;2520
1543;1304;1190;1781;1653
1692;1367;1195;2705;1800
1418;1575;1485;1185;2155
1723;1616;1029;1634;1653
1843;1662;1216;1826;1498
1633;572;760;2113;2130
1939;1571;1165;1640;1364
798;1433;1229;1387;1117
1551;2096;1480;1867;1159
2443;1080;954;1502;1228
2772;1009;1367;1562;2030
2758;1043;1268;1338;1643
1084;1728;1107;1666;2494
1559;1886;1540;783;767
2290;1856;1280;1817;1315
1686;1581;1319;2424;1806
1994;1105;1084;1090;1532
1946;1899;1306;1452;1749
1691;1556;1281;1348;1780
1982;1071;1096;1782;1914
1783;1368;1662;1776;2406
1151;1558;1182;1655;1648
2145;1064;975;1308;1219
1720;1000;907;1223;1779
1945;2337;1280;973;1290
1200;1596;1163;1136;1349
2229;1130;1052;675;1805
1302;2349;1448;2040;1474
1333;1102;1672;1306;1532
