secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
458;713;415;979;821
578;581;396;593;903
728;1225;396;791;611
443;957;440;1046;807
674;371;567;747;736
517;1266;342;1097;943
629;794;567;793;629
531;629;449;901;701
471;427;394;961;1055
594;905;560;795;810
572;823;564;759;646
751;490;556;452;832
488;720;549;1064;1335
595;786;579;879;794
455;856;576;1184;563
706;1518;460;932;653
569;654;639;487;856
464;801;368;724;788
659;718;531;871;954
529;892;366;788;1171
594;667;511;1084;1433
501;795;519;1082;711
603;929;585;959;963
621;562;432;706;620
747;973;412;962;574
573;938;546;408;1256
667;904;424;601;848
619;929;361;799;1073
624;713;621;903;733
453;581;450;484;1370
652;1225;250;702;933
581;957;519;947;878
720;371;433;721;1032
536;1266;453;838;787
516;794;551;525;878
604;629;530;440;1008
774;856;455;1004;996
331;1518;596;609;1026
610;654;618;645;910
635;801;378;1011;902
612;766;559;734;1287
521;702;721;655;595
560;811;518;619;975
562;1084;560;726;788
500;786;553;846;768
481;744;317;761;947
375;1085;412;618;1119
449;917;454;913;1024
486;594;384;805;498
445;608;323;757;1009
