ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
677,"0,71","953,52",291,"0,25","1164,00",892,"2,33","382,83",979,"1,02","959,80",706,"0,65","1086,15"
547,"0,60","911,67",1013,"0,86","1177,91",508,"1,37","370,80",281,"0,29","968,97",552,"0,51","1082,35"
780,"0,76","1026,32",806,"0,70","1151,43",457,"1,15","397,39",552,"0,61","904,92",584,"0,52","1123,08"
755,"0,74","1020,27",522,"0,45","1160,00",733,"1,84","398,37",454,"0,48","945,83",511,"0,47","1087,23"
535,"0,54","990,74",738,"0,61","1209,84",587,"1,50","391,33",1167,"1,21","964,46",865,"0,79","1094,94"
1102,"1,10","1001,82",716,"0,60","1193,33",397,"1,00","397,00",511,"0,58","881,03",622,"0,55","1130,91"
1408,"1,39","1012,95",762,"0,63","1209,52",520,"1,38","376,81",757,"0,82","923,17",1036,"0,92","1126,09"
624,"0,66","945,45",766,"0,65","1178,46",627,"1,65","380,00",692,"0,74","935,14",709,"0,62","1143,55"
971,"0,99","980,81",984,"0,84","1171,43",230,"0,60","383,33",974,"1,02","954,90",1353,"1,23","1100,00"
1066,"1,09","977,98",545,"0,46","1184,78",561,"1,50","374,00",762,"0,81","940,74",307,"0,27","1137,04"
539,"0,54","998,15",911,"0,76","1198,68",635,"1,61","394,41",806,"0,86","937,21",860,"0,82","1048,78"
1281,"1,25","1024,80",944,"0,81","1165,43",728,"1,81","402,21",438,"0,46","952,17",664,"0,59","1125,42"
677,"0,68","995,59",811,"0,73","1110,96",907,"2,26","401,33",670,"0,71","943,66",1107,"0,95","1165,26"
814,"0,81","1004,94",862,"0,72","1197,22",205,"0,61","336,07",918,"0,97","946,39",290,"0,28","1035,71"
928,"0,92","1008,70",836,"0,69","1211,59",254,"0,76","334,21",881,"0,92","957,61",678,"0,63","1076,19"
921,"0,94","979,79",621,"0,53","1171,70",632,"1,75","361,14",718,"0,74","970,27",1012,"0,94","1076,60"
666,"0,67","994,03",1096,"0,92","1191,30",593,"1,63","363,80",1307,"1,43","913,99",284,"0,25","1136,00"
1254,"1,24","1011,29",1000,"0,86","1162,79",600,"1,69","355,03",830,"0,89","932,58",806,"0,74","1089,19"
624,"0,63","990,48",658,"0,57","1154,39",517,"1,44","359,03",890,"0,94","946,81",482,"0,44","1095,45"
737,"0,74","995,95",1000,"0,87","1149,43",309,"0,85","363,53",700,"0,76","921,05",360,"0,32","1125,00"
447,"0,46","971,74",778,"0,65","1196,92",546,"1,63","334,97",835,"0,87","959,77",602,"0,55","1094,55"
699,"0,69","1013,04",895,"0,82","1091,46",594,"1,62","366,67",640,"0,70","914,29",783,"0,71","1102,82"
785,"0,76","1032,89",754,"0,66","1142,42",1002,"2,80","357,86",676,"0,77","877,92",710,"0,64","1109,38"
819,"0,79","1036,71",748,"0,62","1206,45",709,"2,17","326,73",983,"1,03","954,37",784,"0,71","1104,23"
791,"0,80","988,75",479,"0,40","1197,50",787,"2,16","364,35",910,"0,99","919,19",1033,"0,91","1135,16"
524,"0,51","1027,45",752,"0,66","1139,39",720,"1,98","363,64",1072,"1,15","932,17",834,"0,74","1127,03"
601,"0,61","985,25",794,"0,67","1185,07",412,"1,08","381,48",890,"0,96","927,08",1198,"1,09","1099,08"
1112,"1,08","1029,63",556,"0,50","1112,00",540,"1,46","369,86",930,"1,01","920,79",687,"0,62","1108,06"
789,"0,79","998,73",521,"0,45","1157,78",592,"1,51","392,05",1223,"1,32","926,52",826,"0,79","1045,57"
489,"0,50","978,00",1287,"1,10","1170,00",628,"1,73","363,01",844,"0,90","937,78",677,"0,60","1128,33"
1158,"1,17","989,74",738,"0,63","1171,43",448,"1,16","386,21",657,"0,77","853,25",628,"0,58","1082,76"
743,"0,74","1004,05",691,"0,59","1171,19",820,"2,17","377,88",680,"0,72","944,44",638,"0,59","1081,36"
695,"0,73","952,05",687,"0,58","1184,48",710,"1,97","360,41",663,"0,70","947,14",735,"0,68","1080,88"
663,"0,67","989,55",887,"0,75","1182,67",563,"1,45","388,28",313,"0,33","948,48",667,"0,60","1111,67"
811,"0,80","1013,75",683,"0,57","1198,25",471,"1,29","365,12",885,"0,97","912,37",521,"0,47","1108,51"
712,"0,72","988,89",791,"0,67","1180,60",692,"1,77","390,96",594,"0,66","900,00",777,"0,74","1050,00"
932,"0,92","1013,04",621,"0,53","1171,70",734,"2,03","361,58",965,"1,02","946,08",1056,"0,97","1088,66"
607,"0,60","1011,67",553,"0,52","1063,46",682,"1,77","385,31",588,"0,66","890,91",590,"0,50","1180,00"
346,"0,40","865,00",690,"0,58","1189,66",492,"1,28","384,38",1146,"1,26","909,52",478,"0,42","1138,10"
657,"0,64","1026,56",971,"0,82","1184,15",732,"1,90","385,26",514,"0,54","951,85",778,"0,67","1161,19"
