secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
236;263;573
313;320;357
298;168;419
266;206;486
262;149;298
263;148;516
240;221;288
232;268;384
295;180;317
260;252;446
291;208;541
263;230;302
240;186;444
232;270;298
295;172;459
260;247;325
291;216;382
316;119;558
292;244;372
263;246;371
287;158;375
369;201;367
344;238;347
250;281;477
297;280;459
208;233;408
370;250;372
260;235;390
281;251;303
168;257;612
309;184;305
229;129;493
140;264;596
383;216;400
297;168;289
123;250;534
329;158;331
349;194;402
234;242;318
253;232;296
179;250;376
219;287;458
320;259;269
253;246;261
325;195;480
189;196;591
174;271;224
202;209;414
241;225;427
235;254;414
