ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
191;292;209;545;487
132;227;275;368;256
367;297;443;392;372
352;356;230;428;725
488;264;258;336;247
296;199;262;337;489
352;463;298;132;376
470;584;393;319;251
342;317;234;285;246
433;333;266;411;235
403;249;376;273;243
325;280;240;364;391
630;592;379;264;435
340;263;423;472;172
195;174;431;317;482
285;451;384;420;292
242;258;241;504;393
322;368;318;343;362
555;256;434;626;437
271;347;271;350;308
256;278;372;520;360
227;393;259;455;243
359;230;394;297;437
209;558;494;721;419
330;395;189;303;507
373;367;325;344;316
375;314;157;440;440
135;393;349;548;607
390;662;286;351;309
392;331;359;286;343
268;270;284;575;331
365;422;235;242;558
196;369;427;244;363
274;323;448;436;420
310;342;262;312;273
649;469;350;268;331
134;494;302;374;470
395;456;186;332;228
277;475;376;503;429
485;472;358;281;451
255;554;446;376;331
330;437;538;387;491
420;381;263;205;574
283;459;164;364;719
286;376;345;214;284
401;743;387;281;591
399;354;247;269;301
354;324;364;643;317
358;344;454;332;493
786;368;151;342;409
