secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
356,"2,65","134,34",329,"1,27","259,06",277,"2,61","106,13",434,"1,79","242,46",319,"1,01","315,84"
400,"2,81","142,35",436,"1,54","283,12",221,"2,18","101,38",258,"1,69","152,66",372,"1,20","310,00"
239,"1,55","154,19",283,"1,22","231,97",191,"1,65","115,76",245,"1,48","165,54",241,"0,76","317,11"
210,"2,03","103,45",432,"1,66","260,24",359,"3,12","115,06",332,"2,12","156,60",495,"1,51","327,81"
203,"1,33","152,63",292,"1,04","280,77",272,"2,58","105,43",247,"1,57","157,32",357,"1,10","324,55"
174,"1,61","108,07",222,"1,24","179,03",193,"1,76","109,66",279,"1,74","160,34",232,"0,71","326,76"
394,"2,55","154,51",394,"1,51","260,93",400,"3,44","116,28",235,"1,14","206,14",231,"1,13","204,42"
196,"1,45","135,17",395,"1,75","225,71",330,"2,88","114,58",434,"2,66","163,16",418,"1,91","218,85"
224,"1,46","153,42",200,"0,71","281,69",186,"1,70","109,41",634,"2,85","222,46",317,"1,00","317,00"
266,"1,77","150,28",156,"0,55","283,64",270,"3,40","79,41",455,"2,59","175,68",293,"0,88","332,95"
332,"3,36","98,81",412,"1,75","235,43",162,"2,18","74,31",258,"1,65","156,36",654,"2,04","320,59"
294,"2,02","145,54",315,"1,23","256,10",208,"2,41","86,31",312,"1,85","168,65",244,"0,78","312,82"
311,"2,56","121,48",321,"1,23","260,98",274,"3,61","75,90",324,"1,99","162,81",344,"1,04","330,77"
450,"3,35","134,33",418,"1,43","292,31",220,"2,91","75,60",300,"1,89","158,73",318,"1,07","297,20"
309,"2,19","141,10",258,"1,21","213,22",161,"1,93","83,42",374,"2,15","173,95",245,"1,15","213,04"
229,"2,17","105,53",212,"1,12","189,29",167,"2,24","74,55",401,"1,65","243,03",381,"1,17","325,64"
148,"0,99","149,49",373,"1,33","280,45",238,"3,17","75,08",324,"1,33","243,61",458,"1,42","322,54"
143,"1,43","100,00",423,"2,29","184,72",182,"1,88","96,81",142,"0,60","236,67",212,"1,02","207,84"
303,"2,51","120,72",358,"1,31","273,28",156,"1,76","88,64",250,"1,55","161,29",517,"2,57","201,17"
228,"1,61","141,61",202,"0,80","252,50",191,"2,34","81,62",230,"1,47","156,46",405,"1,92","210,94"
375,"2,53","148,22",404,"2,19","184,47",227,"2,74","82,85",396,"2,51","157,77",509,"2,26","225,22"
186,"1,24","150,00",286,"1,23","232,52",130,"1,66","78,31",299,"1,91","156,54",247,"1,14","216,67"
318,"2,42","131,40",284,"1,01","281,19",273,"3,15","86,67",323,"2,04","158,33",300,"1,37","218,98"
294,"2,33","126,18",265,"0,97","273,20",146,"1,92","76,04",246,"1,60","153,75",412,"1,49","276,51"
364,"2,53","143,87",524,"1,80","291,11",212,"2,75","77,09",355,"2,35","151,06",305,"1,14","267,54"
325,"2,20","147,73",406,"1,41","287,94",208,"2,62","79,39",280,"1,61","173,91",375,"1,47","255,10"
392,"2,56","153,12",340,"1,90","178,95",181,"2,26","80,09",410,"2,60","157,69",429,"1,58","271,52"
375,"2,85","131,58",321,"1,14","281,58",295,"3,91","75,45",353,"2,22","159,01",352,"1,69","208,28"
205,"1,55","132,26",286,"1,61","177,64",309,"3,41","90,62",287,"1,86","154,30",263,"1,23","213,82"
335,"2,59","129,34",269,"1,24","216,94",303,"4,12","73,54",222,"1,42","156,34",360,"1,77","203,39"
293,"2,03","144,33",220,"0,91","241,76",204,"2,68","76,12",282,"1,84","153,26",205,"0,91","225,27"
199,"1,35","147,41",333,"1,30","256,15",252,"2,17","116,13",295,"1,85","159,46",308,"1,16","265,52"
281,"1,89","148,68",469,"1,78","263,48",318,"2,79","113,98",352,"1,59","221,38",463,"2,10","220,48"
184,"1,31","140,46",400,"2,26","176,99",140,"1,82","76,92",331,"2,07","159,90",482,"1,68","286,90"
236,"1,67","141,32",145,"0,75","193,33",191,"1,87","102,14",217,"1,42","152,82",236,"0,78","302,56"
342,"2,80","122,14",503,"2,68","187,69",211,"2,04","103,43",395,"2,53","156,13",467,"1,78","262,36"
160,"1,57","101,91",323,"1,26","256,35",311,"2,79","111,47",196,"0,81","241,98",384,"1,84","208,70"
236,"2,36","100,00",242,"0,84","288,10",283,"3,06","92,48",279,"1,24","225,00",428,"1,31","326,72"
213,"1,43","148,95",327,"1,86","175,81",266,"2,32","114,66",396,"2,42","163,64",448,"1,79","250,28"
278,"2,83","98,23",243,"1,34","181,34",195,"2,08","93,75",283,"1,56","181,41",324,"1,18","274,58"
320,"2,16","148,15",266,"1,00","266,00",227,"2,49","91,16",360,"1,62","222,22",393,"1,72","228,49"
278,"2,85","97,54",268,"1,09","245,87",108,"1,37","78,83",344,"2,17","158,53",509,"1,78","285,96"
