secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
356;329;277;434;319
400;436;221;258;372
239;283;191;245;241
210;432;359;332;495
203;292;272;247;357
174;222;193;279;232
394;394;400;235;231
196;395;330;434;418
224;200;186;634;317
266;156;270;455;293
332;412;162;258;654
294;315;208;312;244
311;321;274;324;344
450;418;220;300;318
309;258;161;374;245
229;212;167;401;381
148;373;238;324;458
143;423;182;142;212
303;358;156;250;517
228;202;191;230;405
375;404;227;396;509
186;286;130;299;247
318;284;273;323;300
294;265;146;246;412
364;524;212;355;305
325;406;208;280;375
392;340;181;410;429
375;321;295;353;352
205;286;309;287;263
335;269;303;222;360
293;220;204;282;205
199;333;252;295;308
281;469;318;352;463
184;400;140;331;482
236;145;191;217;236
342;503;211;395;467
160;323;311;196;384
236;242;283;279;428
213;327;266;396;448
278;243;195;283;324
320;266;227;360;393
278;268;108;344;509
365;316;225;387;346
197;277;260;201;253
228;255;221;206;410
160;328;229;248;384
216;358;204;460;232
81;329;181;300;277
311;229;142;464;388
353;310;219;257;371
