secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
121,"2,55","47,45",210,"3,41","61,58",393,"2,34","167,95"
213,"3,32","64,16",265,"4,15","63,86",438,"2,57","170,43"
148,"3,17","46,69",124,"2,04","60,78",210,"1,85","113,51"
135,"2,79","48,39",179,"2,78","64,39",107,"0,81","132,10"
80,"1,61","49,69",163,"3,97","41,06",206,"1,84","111,96"
219,"4,40","49,77",182,"2,80","65,00",164,"1,47","111,56"
162,"3,29","49,24",144,"2,40","60,00",232,"1,89","122,75"
183,"3,83","47,78",190,"3,03","62,71",313,"2,82","110,99"
225,"4,15","54,22",132,"3,17","41,64",248,"2,21","112,22"
239,"3,99","59,90",191,"3,05","62,62",308,"2,74","112,41"
223,"3,90","57,18",256,"4,02","63,68",359,"3,07","116,94"
205,"4,13","49,64",193,"3,05","63,28",145,"1,35","107,41"
141,"2,89","48,79",194,"3,22","60,25",297,"2,64","112,50"
137,"2,84","48,24",186,"2,91","63,92",286,"2,45","116,73"
175,"2,73","64,10",156,"2,86","54,55",255,"2,10","121,43"
183,"3,24","56,48",210,"3,25","64,62",314,"2,86","109,79"
230,"4,84","47,52",130,"3,16","41,14",444,"3,80","116,84"
242,"4,80","50,42",133,"2,17","61,29",166,"1,40","118,57"
133,"2,86","46,50",190,"3,43","55,39",325,"3,01","107,97"
202,"3,85","52,47",153,"2,43","62,96",378,"3,08","122,73"
204,"3,93","51,91",122,"2,85","42,81",286,"2,26","126,55"
195,"3,59","54,32",94,"2,23","42,15",308,"2,84","108,45"
236,"4,11","57,42",186,"3,93","47,33",227,"2,03","111,82"
160,"3,17","50,47",183,"4,23","43,26",244,"2,24","108,93"
125,"2,47","50,61",153,"2,42","63,22",311,"2,85","109,12"
223,"4,04","55,20",149,"2,45","60,82",149,"0,89","167,42"
256,"4,28","59,81",168,"2,89","58,13",342,"3,01","113,62"
75,"1,48","50,68",118,"2,98","39,60",199,"1,82","109,34"
184,"3,58","51,40",173,"3,25","53,23",208,"1,91","108,90"
173,"2,53","68,38",253,"4,02","62,94",408,"3,41","119,65"
150,"2,06","72,82",141,"2,80","50,36",259,"2,38","108,82"
192,"4,01","47,88",162,"4,04","40,10",196,"1,77","110,73"
158,"3,12","50,64",195,"3,07","63,52",251,"2,25","111,56"
136,"2,60","52,31",202,"3,25","62,15",140,"1,33","105,26"
186,"4,04","46,04",159,"3,73","42,63",396,"3,41","116,13"
230,"4,36","52,75",204,"4,21","48,46",273,"2,45","111,43"
99,"2,02","49,01",127,"2,06","61,65",168,"1,51","111,26"
169,"3,46","48,84",140,"3,43","40,82",168,"1,55","108,39"
231,"3,32","69,58",165,"4,08","40,44",207,"1,98","104,55"
143,"3,16","45,25",143,"3,31","43,20",262,"1,54","170,13"
154,"3,31","46,53",162,"3,74","43,32",351,"2,57","136,58"
103,"2,19","47,03",113,"2,61","43,30",319,"2,83","112,72"
166,"3,31","50,15",216,"5,10","42,35",332,"2,91","114,09"
191,"3,94","48,48",142,"3,46","41,04",159,"1,47","108,16"
235,"4,77","49,27",148,"3,58","41,34",302,"2,94","102,72"
177,"3,69","47,97",175,"3,04","57,57",356,"3,30","107,88"
162,"2,29","70,74",185,"3,03","61,06",219,"1,98","110,61"
156,"2,48","62,90",166,"3,71","44,74",480,"3,24","148,15"
133,"1,83","72,68",221,"3,77","58,62",175,"1,52","115,13"
336,"4,80","70,00",112,"2,58","43,41",436,"2,63","165,78"
