p521_mldsa87,p521_mlkem1024,,p521_falcon1024,p521_mlkem1024,,p521_falcon1024,mlkem1024,,p521_sphincssha2256fsimple,p521_mlkem1024,,p521_sphincssha2256fsimple,mlkem1024,,p521_sphincssha2256ssimple,p521_mlkem1024,,p521_sphincssha2256ssimple,mlkem1024,,p521_mldsa87,mlkem1024,,p521_mayo5,p521_mlkem1024,,p521_mayo5,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
379,"6,29","60,25",401,"6,39","62,75",1008,"6,18","163,11",149,"3,06","48,69",182,"1,83","99,45",27,"0,48","56,25",25,"0,22","113,64",1424,"8,54","166,74",371,"5,81","63,86",980,"6,07","161,45"
392,"6,69","58,59",394,"6,73","58,54",1022,"6,16","165,91",136,"2,89","47,06",194,"2,00","97,00",25,"0,48","52,08",26,"0,22","118,18",1599,"9,32","171,57",376,"6,07","61,94",1034,"6,43","160,81"
265,"4,53","58,50",331,"5,41","61,18",1031,"6,15","167,64",154,"3,27","47,09",197,"1,96","100,51",18,"0,36","50,00",27,"0,23","117,39",1530,"9,21","166,12",391,"6,15","63,58",1029,"6,43","160,03"
388,"6,70","57,91",390,"6,34","61,51",1004,"6,15","163,25",154,"3,21","47,98",197,"1,99","98,99",27,"0,56","48,21",27,"0,23","117,39",1553,"9,26","167,71",391,"6,10","64,10",972,"6,35","153,07"
394,"6,69","58,89",402,"6,70","60,00",990,"6,10","162,30",152,"3,06","49,67",195,"2,03","96,06",27,"0,55","49,09",26,"0,23","113,04",1591,"9,36","169,98",375,"6,11","61,37",969,"6,48","149,54"
268,"4,61","58,13",398,"6,52","61,04",1037,"6,19","167,53",149,"3,00","49,67",194,"1,95","99,49",26,"0,52","50,00",27,"0,23","117,39",1556,"9,25","168,22",372,"6,08","61,18",957,"6,35","150,71"
390,"6,70","58,21",407,"6,53","62,33",1033,"6,15","167,97",159,"3,41","46,63",199,"2,03","98,03",26,"0,51","50,98",26,"0,23","113,04",1575,"9,20","171,20",371,"6,06","61,22",979,"6,41","152,73"
403,"6,71","60,06",400,"6,72","59,52",982,"6,24","157,37",156,"3,40","45,88",197,"1,97","100,00",27,"0,52","51,92",27,"0,22","122,73",1513,"9,21","164,28",377,"6,14","61,40",979,"6,36","153,93"
367,"6,30","58,25",396,"6,47","61,21",984,"6,13","160,52",109,"2,31","47,19",201,"2,00","100,50",25,"0,49","51,02",27,"0,23","117,39",1558,"9,27","168,07",373,"6,09","61,25",960,"6,38","150,47"
391,"6,63","58,97",400,"6,53","61,26",994,"6,13","162,15",155,"3,25","47,69",200,"1,97","101,52",27,"0,55","49,09",26,"0,23","113,04",1551,"9,36","165,71",369,"6,09","60,59",981,"6,39","153,52"
401,"6,63","60,48",421,"6,64","63,40",993,"6,11","162,52",162,"3,31","48,94",199,"1,97","101,02",27,"0,53","50,94",26,"0,23","113,04",1577,"9,32","169,21",372,"6,07","61,29",980,"6,37","153,85"
