p521_mldsa87 - p521_mlkem1024;p521_falcon1024 - p521_mlkem1024;p521_falcon1024 - mlkem1024;p521_sphincssha2256fsimple - p521_mlkem1024;p521_sphincssha2256fsimple - mlkem1024;p521_sphincssha2256ssimple - p521_mlkem1024;p521_sphincssha2256ssimple - mlkem1024;p521_mldsa87 - mlkem1024;p521_mayo5 - p521_mlkem1024;p521_mayo5 - mlkem1024
379;401;1008;149;182;27;25;1424;371;980
392;394;1022;136;194;25;26;1599;376;1034
265;331;1031;154;197;18;27;1530;391;1029
388;390;1004;154;197;27;27;1553;391;972
394;402;990;152;195;27;26;1591;375;969
268;398;1037;149;194;26;27;1556;372;957
390;407;1033;159;199;26;26;1575;371;979
403;400;982;156;197;27;27;1513;377;979
367;396;984;109;201;25;27;1558;373;960
391;400;994;155;200;27;26;1551;369;981
401;421;993;162;199;27;26;1577;372;980
373;373;985;110;200;24;27;1588;378;956
362;417;995;160;200;26;27;1576;365;992
398;413;1005;162;199;26;26;1550;369;971
398;381;979;104;197;27;27;1566;374;955
264;369;994;155;202;26;26;1575;393;967
394;398;1007;159;200;26;27;1578;379;976
393;405;977;129;196;26;27;1587;376;966
275;278;1013;156;202;26;26;1597;366;961
399;407;999;160;194;26;27;1508;379;967
398;413;982;150;199;26;27;1560;373;1000
273;278;1016;153;199;26;26;1587;367;952
393;416;1004;164;199;28;27;1550;363;953
397;409;985;149;196;25;26;1582;372;963
318;282;985;149;200;27;27;1581;372;942
386;416;989;155;197;26;27;1581;368;960
413;411;973;156;196;24;26;1577;377;1035
383;318;991;110;199;26;27;1563;376;948
393;413;1007;160;199;27;26;1573;367;979
403;404;985;164;196;26;27;1602;370;978
386;393;1005;105;198;26;27;1598;366;991
368;402;1028;157;200;27;26;1577;369;972
413;387;967;158;195;26;27;1524;370;989
394;386;1001;103;194;26;27;1585;369;971
279;375;1005;160;194;27;26;1438;367;985
413;416;987;163;195;25;27;1589;371;989
402;408;987;126;194;27;27;1539;373;957
278;275;979;158;198;27;26;1575;369;1006
386;403;981;163;198;26;27;1572;372;951
391;408;1000;155;197;27;26;1589;370;962
269;278;1007;164;199;27;27;1569;376;973
408;412;1025;162;198;26;27;1582;376;966
399;397;1019;149;197;27;26;1575;373;943
315;283;1028;160;197;27;27;1578;372;958
377;410;981;161;198;25;26;1558;384;988
402;415;980;149;195;27;27;1592;373;975
387;312;992;147;200;26;27;1587;391;944
395;412;987;153;199;25;26;1564;395;959
405;402;1013;166;197;28;27;1538;391;993
375;376;1013;150;198;26;26;1560;392;964
370;407;1004;160;198;25;27;1544;394;982
403;391;996;157;197;24;27;1533;377;972
399;375;983;152;198;27;27;1531;394;949
262;353;979;165;197;25;26;1564;395;991
396;397;975;153;195;26;27;1567;395;990
389;402;1021;160;195;27;26;1571;396;982
275;277;994;160;199;25;27;1568;394;983
405;397;1008;150;195;27;26;1588;369;985
405;400;989;153;197;26;27;1594;380;956
274;270;992;164;200;25;27;1583;373;974
409;417;989;150;196;28;26;1590;393;984
405;401;995;159;197;27;27;1568;398;954
321;282;993;159;196;26;27;1559;395;971
394;389;971;141;197;28;26;1593;399;971
405;404;973;147;198;27;27;1538;378;965
394;323;1001;162;199;25;26;1558;392;990
401;409;996;160;198;26;27;1589;398;981
401;407;991;148;198;27;26;1592;389;968
389;391;989;162;200;26;27;1576;365;968
368;386;990;157;202;26;26;1584;398;985
397;381;961;149;196;26;27;1533;394;959
419;382;987;160;200;26;26;1602;395;1004
263;356;1006;154;199;25;26;1555;390;977
406;394;974;158;198;27;27;1598;386;1003
412;383;994;160;198;26;27;1582;393;975
280;275;1016;153;198;28;26;1579;387;963
411;406;980;159;196;26;27;1562;396;965
408;415;1045;165;199;26;26;1574;395;959
278;278;977;147;197;27;27;1553;376;985
410;407;1050;144;193;26;27;1573;397;977
402;399;989;163;198;25;26;1578;398;966
327;282;1056;158;197;24;27;1570;395;990
395;401;1034;104;192;27;27;1565;393;967
412;412;1030;159;195;28;26;1580;396;966
397;317;1010;158;200;26;27;1571;385;1032
409;404;1055;106;197;27;26;1590;397;1038
398;405;1049;156;200;26;26;1588;393;1020
375;397;1047;162;198;26;27;1566;390;1039
348;410;1051;109;197;27;26;1595;395;1035
393;403;1044;158;198;25;27;1597;393;965
402;387;1053;163;201;27;26;1513;369;1030
271;385;1018;124;197;26;27;1549;395;1024
399;401;1043;158;200;26;27;1535;384;994
394;414;1053;158;198;27;26;1571;365;1004
266;267;1058;152;197;26;27;1542;369;1023
404;406;1039;157;197;25;27;1526;373;1027
393;410;1049;160;198;28;26;1481;366;1030
267;279;1056;146;197;26;27;1576;380;1007
401;405;1040;142;195;25;26;1583;378;1009
401;413;1047;160;199;25;27;1597;366;1007
