falcon512,p256_mlkem512,,falcon512,x25519_mlkem512,,falcon512,mlkem512,,sphincssha2128fsimple,p256_mlkem512,,sphincssha2128fsimple,x25519_mlkem512,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,p256_mlkem512,,sphincssha2128ssimple,x25519_mlkem512,,sphincssha2128ssimple,mlkem512,,mayo1,p256_mlkem512,,mayo1,x25519_mlkem512,,mayo1,mlkem512,,CROSSrsdpg128balanced,p256_mlkem512,,CROSSrsdpg128balanced,x25519_mlkem512,,CROSSrsdpg128balanced,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1822,"5,26","346,39",5166,"5,14","1005,06",6221,"4,95","1256,77",352,"2,07","170,05",610,"2,50","244,00",632,"2,33","271,24",31,"0,15","206,67",42,"0,09","466,67",42,"0,10","420,00",2654,"6,25","424,64",6284,"6,09","1031,86",5478,"4,18","1310,53",1888,"7,54","250,40",3871,"8,65","447,51",4285,"8,66","494,80"
2032,"5,91","343,82",4847,"4,72","1026,91",6551,"5,26","1245,44",553,"3,52","157,10",464,"1,84","252,17",654,"2,52","259,52",41,"0,18","227,78",45,"0,12","375,00",44,"0,10","440,00",2516,"6,18","407,12",6481,"6,39","1014,24",8759,"6,32","1385,92",1685,"6,93","243,15",3722,"8,91","417,73",3084,"6,15","501,46"
2071,"6,27","330,30",5365,"5,24","1023,85",5447,"4,34","1255,07",557,"3,49","159,60",618,"2,41","256,43",570,"2,18","261,47",44,"0,21","209,52",34,"0,07","485,71",33,"0,09","366,67",2615,"6,21","421,10",4491,"4,30","1044,42",8786,"6,33","1387,99",1910,"7,82","244,25",3185,"7,38","431,57",4193,"9,12","459,76"
2102,"5,91","355,67",5508,"5,41","1018,11",6041,"4,78","1263,81",396,"2,32","170,69",650,"2,63","247,15",665,"2,60","255,77",44,"0,20","220,00",44,"0,11","400,00",43,"0,11","390,91",2830,"6,63","426,85",6727,"6,39","1052,74",8547,"6,14","1392,02",1859,"7,94","234,13",3621,"8,27","437,85",4516,"9,00","501,78"
2131,"6,10","349,34",5189,"5,19","999,81",6678,"5,26","1269,58",553,"3,46","159,83",630,"2,59","243,24",655,"2,45","267,35",42,"0,18","233,33",44,"0,13","338,46",44,"0,11","400,00",2768,"6,56","421,95",6494,"6,35","1022,68",9018,"6,39","1411,27",1783,"7,39","241,27",3750,"8,82","425,17",2961,"6,00","493,50"
2039,"6,19","329,40",5153,"4,91","1049,49",6611,"5,35","1235,70",580,"3,47","167,15",652,"2,68","243,28",606,"2,40","252,50",45,"0,21","214,29",41,"0,12","341,67",45,"0,11","409,09",2719,"6,38","426,18",4503,"4,39","1025,74",8791,"6,38","1377,90",1707,"7,11","240,08",3886,"8,89","437,12",4259,"9,02","472,17"
2057,"5,90","348,64",5494,"5,33","1030,77",6114,"4,98","1227,71",397,"2,36","168,22",638,"2,64","241,67",615,"2,34","262,82",43,"0,22","195,45",45,"0,12","375,00",41,"0,12","341,67",2837,"6,70","423,43",6385,"6,14","1039,90",8465,"5,95","1422,69",1837,"7,82","234,91",2551,"6,14","415,47",4492,"9,09","494,17"
2130,"6,27","339,71",5797,"5,44","1065,62",6483,"5,20","1246,73",551,"3,40","162,06",588,"2,43","241,98",669,"2,57","260,31",43,"0,18","238,89",43,"0,12","358,33",45,"0,11","409,09",2510,"6,45","389,15",6727,"6,41","1049,45",8270,"5,97","1385,26",2007,"7,96","252,14",3832,"8,87","432,02",3141,"6,27","500,96"
2060,"6,14","335,50",3794,"3,68","1030,98",6336,"5,35","1184,30",553,"3,34","165,57",586,"2,49","235,34",663,"2,60","255,00",44,"0,21","209,52",42,"0,13","323,08",43,"0,12","358,33",2771,"6,50","426,31",6208,"5,94","1045,12",8859,"6,39","1386,38",1255,"5,25","239,05",3831,"8,89","430,93",4035,"8,73","462,20"
