falcon512 - p256_mlkem512;falcon512 - x25519_mlkem512;falcon512 - mlkem512;sphincssha2128fsimple - p256_mlkem512;sphincssha2128fsimple - x25519_mlkem512;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - p256_mlkem512;sphincssha2128ssimple - x25519_mlkem512;sphincssha2128ssimple - mlkem512;mayo1 - p256_mlkem512;mayo1 - x25519_mlkem512;mayo1 - mlkem512;CROSSrsdpg128balanced - p256_mlkem512;CROSSrsdpg128balanced - x25519_mlkem512;CROSSrsdpg128balanced - mlkem512
1822;5166;6221;352;610;632;31;42;42;2654;6284;5478;1888;3871;4285
2032;4847;6551;553;464;654;41;45;44;2516;6481;8759;1685;3722;3084
2071;5365;5447;557;618;570;44;34;33;2615;4491;8786;1910;3185;4193
2102;5508;6041;396;650;665;44;44;43;2830;6727;8547;1859;3621;4516
2131;5189;6678;553;630;655;42;44;44;2768;6494;9018;1783;3750;2961
2039;5153;6611;580;652;606;45;41;45;2719;4503;8791;1707;3886;4259
2057;5494;6114;397;638;615;43;45;41;2837;6385;8465;1837;2551;4492
2130;5797;6483;551;588;669;43;43;45;2510;6727;8270;2007;3832;3141
2060;3794;6336;553;586;663;44;42;43;2771;6208;8859;1255;3831;4035
2003;5437;6214;533;628;445;43;41;43;2653;6636;9018;1841;2563;4513
1914;5606;6431;544;650;667;43;44;44;2551;6574;6048;1876;3719;4202
2079;3827;6458;570;420;649;45;45;44;2730;6148;8844;1216;3830;4370
2153;5344;6217;537;651;436;42;42;42;2714;5990;9063;1812;2570;4333
1498;5576;6630;490;648;683;44;45;45;2462;6622;6077;1882;3687;4168
2090;3818;6393;554;430;638;42;45;43;2677;6779;8898;1260;3759;4008
2246;5411;6382;572;643;441;42;40;43;2451;4690;8962;1835;2885;4413
1449;5447;6631;374;647;678;44;44;43;2513;6756;5930;1921;3624;4495
2072;4261;6079;598;429;653;43;44;42;2408;6939;8787;1490;3667;2960
2131;5116;6085;547;657;510;41;43;41;2403;4689;8877;1823;3688;4482
1549;5385;6375;374;650;658;41;44;44;2411;6897;7138;1842;3473;4242
2040;5034;6729;555;519;632;44;43;44;1713;6778;8375;1783;3794;2761
2178;5277;4311;560;630;632;44;42;30;2520;4614;8550;1853;3962;4091
1702;5431;6356;385;659;641;42;44;45;2500;6918;8244;1867;2549;4165
2084;5054;6706;563;624;668;44;40;45;1730;6866;8279;1745;3841;2838
2122;4812;4340;563;641;629;44;44;27;2589;5443;8794;1708;3809;4078
2031;5522;6685;426;663;629;42;44;45;2447;6520;8215;1924;2608;4222
2139;5274;6700;544;608;667;44;42;45;1714;6676;8062;1878;3839;3330
2204;3546;4352;579;597;654;44;40;30;2596;6267;8661;1202;3714;4145
2034;5312;6641;532;668;478;43;44;45;2508;6525;8855;1861;2540;4199
1659;5292;6456;533;637;697;45;45;45;2026;6550;5776;1860;3862;3958
2154;3521;5099;582;436;665;42;41;35;2551;6340;8560;1254;3813;4062
2018;5333;6442;528;652;480;44;44;43;2480;6176;8702;1853;3059;4331
1345;5353;6407;522;625;715;44;45;44;2374;6654;5989;1888;3765;3858
2089;3624;6369;549;436;676;42;41;41;2632;6685;8373;1246;3880;3844
2034;5377;6434;564;671;482;45;45;45;2498;4534;8867;1895;3610;4306
1470;5237;6668;382;648;680;43;43;45;2341;6363;5863;1904;3751;4063
2090;4256;6053;571;451;701;41;43;41;2413;6627;8567;1501;3682;2959
2169;5160;6012;535;649;537;45;44;44;2547;4405;8437;1794;3720;4161
1455;5403;6580;397;634;682;44;43;44;2593;6396;6779;1992;3514;4179
2183;5136;6363;550;516;679;41;43;40;1725;6722;8435;1962;3803;2788
2206;5277;4530;567;640;682;41;44;42;2579;4529;8590;1936;3789;4282
1755;5423;6699;375;637;667;45;42;45;2767;6780;8393;1981;2553;4065
2000;4898;6674;574;638;661;44;43;43;1916;6951;8380;1802;3781;2807
2252;4802;4406;558;623;635;42;45;42;2666;5516;8554;1799;3694;4149
2100;5409;6690;429;646;654;44;41;44;2712;6746;8159;2045;2645;4236
