mldsa65,p384_mlkem768,,mldsa65,x448_mlkem768,,mldsa65,mlkem768,,sphincssha2192fsimple,p384_mlkem768,,sphincssha2192fsimple,mlkem768,,sphincssha2192fsimple,x448_mlkem768,,sphincssha2192ssimple,p384_mlkem768,,sphincssha2192ssimple,x448_mlkem768,,sphincssha2192ssimple,mlkem768,,mayo3,p384_mlkem768,,mayo3,x448_mlkem768,,mayo3,mlkem768,,CROSSrsdpg192balanced,p384_mlkem768,,CROSSrsdpg192balanced,x448_mlkem768,,CROSSrsdpg192balanced,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
772,"4,69","164,61",3203,"6,12","523,37",8034,"6,37","1261,22",222,"2,24","99,11",434,"2,18","199,08",401,"2,39","167,78",18,"0,16","112,50",18,"0,07","257,14",26,"0,07","371,43",886,"5,48","161,68",2688,"5,26","511,03",6260,"5,87","1066,44",804,"6,37","126,22",2161,"8,32","259,74",1857,"5,67","327,51"
868,"5,65","153,63",2952,"5,61","526,20",8385,"6,47","1295,98",331,"3,70","89,46",474,"2,24","211,61",299,"1,73","172,83",25,"0,22","113,64",27,"0,11","245,45",27,"0,08","337,50",973,"5,88","165,48",2918,"6,09","479,15",6541,"6,39","1023,63",635,"5,62","112,99",2089,"8,41","248,39",2985,"9,12","327,30"
930,"5,91","157,36",3413,"6,39","534,12",7059,"5,67","1244,97",349,"3,55","98,31",398,"1,80","221,11",429,"2,67","160,67",27,"0,24","112,50",27,"0,10","270,00",20,"0,06","333,33",859,"5,03","170,78",3445,"6,64","518,83",4416,"4,15","1064,10",735,"6,22","118,17",1733,"6,79","255,23",2873,"9,01","318,87"
895,"5,76","155,38",3353,"6,45","519,84",7577,"6,20","1222,10",233,"2,35","99,15",448,"2,21","202,71",427,"2,59","164,86",26,"0,23","113,04",26,"0,11","236,36",26,"0,07","371,43",908,"5,85","155,21",3511,"6,75","520,15",6522,"6,46","1009,60",788,"6,73","117,09",2053,"7,97","257,59",2144,"6,31","339,78"
889,"5,66","157,07",3237,"5,87","551,45",8533,"6,56","1300,76",333,"3,55","93,80",470,"2,24","209,82",298,"1,72","173,26",18,"0,16","112,50",26,"0,10","260,00",26,"0,07","371,43",969,"5,96","162,58",2186,"4,44","492,34",6598,"6,30","1047,30",786,"6,72","116,96",1924,"8,31","231,53",2941,"8,72","337,27"
980,"5,76","170,14",3116,"5,83","534,48",8155,"6,75","1208,15",333,"3,69","90,24",439,"2,05","214,15",432,"2,54","170,08",27,"0,26","103,85",27,"0,12","225,00",26,"0,08","325,00",915,"5,53","165,46",3479,"6,65","523,16",4311,"4,25","1014,35",503,"4,46","112,78",2112,"8,32","253,85",2924,"8,88","329,28"
877,"5,58","157,17",3380,"6,30","536,51",8119,"6,29","1290,78",247,"2,48","99,60",425,"2,15","197,67",429,"2,63","163,12",26,"0,23","113,04",25,"0,11","227,27",26,"0,07","371,43",861,"5,34","161,24",3396,"6,80","499,41",6467,"6,41","1008,89",774,"6,58","117,63",2122,"8,19","259,10",2907,"8,61","337,63"
910,"5,74","158,54",3409,"6,46","527,71",8319,"6,60","1260,45",333,"3,59","92,76",458,"2,17","211,06",390,"2,43","160,49",17,"0,16","106,25",27,"0,12","225,00",26,"0,07","371,43",968,"5,91","163,79",2206,"4,54","485,90",6580,"6,20","1061,29",759,"6,61","114,83",2058,"8,36","246,17",2950,"8,82","334,47"
937,"5,71","164,10",2337,"4,35","537,24",8264,"6,48","1275,31",342,"3,56","96,07",455,"2,29","198,69",423,"2,59","163,32",26,"0,26","100,00",28,"0,11","254,55",27,"0,07","385,71",899,"5,93","151,60",3218,"6,70","480,30",4493,"4,35","1032,87",530,"4,50","117,78",2107,"8,14","258,85",2921,"8,94","326,73"
863,"5,39","160,11",3478,"6,36","546,86",7799,"6,56","1188,87",333,"3,52","94,60",308,"1,51","203,97",417,"2,50","166,80",27,"0,24","112,50",24,"0,08","300,00",27,"0,08","337,50",655,"3,99","164,16",3483,"6,69","520,63",6472,"6,14","1054,07",755,"6,71","112,52",2156,"8,33","258,82",2831,"8,39","337,43"
834,"5,41","154,16",3361,"6,51","516,28",8301,"6,75","1229,78",341,"3,49","97,71",466,"2,34","199,15",415,"2,35","176,60",18,"0,17","105,88",26,"0,10","260,00",27,"0,07","385,71",946,"5,98","158,19",2242,"4,50","498,22",6579,"6,25","1052,64",773,"6,55","118,02",2055,"8,36","245,81",2787,"8,33","334,57"
910,"5,85","155,56",2335,"4,29","544,29",7984,"6,37","1253,38",334,"3,54","94,35",449,"2,27","197,80",394,"2,41","163,49",27,"0,25","108,00",27,"0,10","270,00",27,"0,08","337,50",953,"5,87","162,35",3481,"6,78","513,42",6222,"6,07","1025,04",541,"4,38","123,52",1994,"8,10","246,17",2971,"9,13","325,41"
924,"5,79","159,59",3480,"6,45","539,53",7859,"6,40","1227,97",334,"3,27","102,14",316,"1,58","200,00",432,"2,60","166,15",25,"0,22","113,64",27,"0,12","225,00",27,"0,09","300,00",653,"3,98","164,07",3431,"6,70","512,09",6462,"6,26","1032,27",756,"6,74","112,17",2097,"8,43","248,75",3091,"9,01","343,06"
619,"3,93","157,51",3484,"6,36","547,80",8212,"6,59","1246,13",322,"3,31","97,28",466,"2,29","203,49",426,"2,66","160,15",21,"0,19","110,53",25,"0,09","277,78",27,"0,09","300,00",935,"5,84","160,10",2629,"5,31","495,10",6556,"6,38","1027,59",794,"6,61","120,12",2142,"8,45","253,49",1957,"5,93","330,02"
920,"5,91","155,67",2336,"4,45","524,94",7869,"6,31","1247,07",318,"3,66","86,89",453,"2,20","205,91",299,"1,75","170,86",26,"0,23","113,04",27,"0,12","225,00",25,"0,08","312,50",930,"5,88","158,16",3292,"6,56","501,83",6073,"5,84","1039,90",612,"5,10","120,00",1943,"7,81","248,78",2998,"9,03","332,00"
888,"5,68","156,34",3450,"6,40","539,06",8498,"6,68","1272,16",346,"3,66","94,54",311,"1,46","213,01",417,"2,53","164,82",26,"0,25","104,00",27,"0,11","245,45",27,"0,08","337,50",613,"3,95","155,19",3459,"6,67","518,59",6098,"5,88","1037,07",786,"6,63","118,55",1947,"7,56","257,54",2994,"8,93","335,27"
643,"3,90","164,87",3389,"6,46","524,61",8353,"6,75","1237,48",221,"2,43","90,95",440,"2,13","206,57",438,"2,69","162,83",25,"0,23","108,70",26,"0,11","236,36",27,"0,08","337,50",933,"5,89","158,40",3159,"6,33","499,05",6684,"6,33","1055,92",770,"6,65","115,79",2027,"8,38","241,89",1990,"6,06","328,38"
878,"5,93","148,06",2772,"5,10","543,53",7851,"6,19","1268,34",340,"3,66","92,90",464,"2,20","210,91",298,"1,81","164,64",26,"0,25","104,00",27,"0,12","225,00",26,"0,08","325,00",941,"5,91","159,22",3338,"6,65","501,95",6524,"6,27","1040,51",776,"6,31","122,98",2064,"8,47","243,68",2895,"8,89","325,65"
885,"5,83","151,80",3373,"6,42","525,39",7691,"6,11","1258,76",337,"3,60","93,61",366,"1,75","209,14",408,"2,52","161,90",27,"0,23","117,39",26,"0,11","236,36",27,"0,07","385,71",748,"4,58","163,32",3405,"6,67","510,49",4377,"4,30","1017,91",789,"6,63","119,00",1418,"5,61","252,76",3019,"9,09","332,12"
