mldsa65 - p384_mlkem768;mldsa65 - x448_mlkem768;mldsa65 - mlkem768;sphincssha2192fsimple - p384_mlkem768;sphincssha2192fsimple - mlkem768;sphincssha2192fsimple - x448_mlkem768;sphincssha2192ssimple - p384_mlkem768;sphincssha2192ssimple - x448_mlkem768;sphincssha2192ssimple - mlkem768;mayo3 - p384_mlkem768;mayo3 - x448_mlkem768;mayo3 - mlkem768;CROSSrsdpg192balanced - p384_mlkem768;CROSSrsdpg192balanced - x448_mlkem768;CROSSrsdpg192balanced - mlkem768
772;3203;8034;222;434;401;18;18;26;886;2688;6260;804;2161;1857
868;2952;8385;331;474;299;25;27;27;973;2918;6541;635;2089;2985
930;3413;7059;349;398;429;27;27;20;859;3445;4416;735;1733;2873
895;3353;7577;233;448;427;26;26;26;908;3511;6522;788;2053;2144
889;3237;8533;333;470;298;18;26;26;969;2186;6598;786;1924;2941
980;3116;8155;333;439;432;27;27;26;915;3479;4311;503;2112;2924
877;3380;8119;247;425;429;26;25;26;861;3396;6467;774;2122;2907
910;3409;8319;333;458;390;17;27;26;968;2206;6580;759;2058;2950
937;2337;8264;342;455;423;26;28;27;899;3218;4493;530;2107;2921
863;3478;7799;333;308;417;27;24;27;655;3483;6472;755;2156;2831
834;3361;8301;341;466;415;18;26;27;946;2242;6579;773;2055;2787
910;2335;7984;334;449;394;27;27;27;953;3481;6222;541;1994;2971
924;3480;7859;334;316;432;25;27;27;653;3431;6462;756;2097;3091
619;3484;8212;322;466;426;21;25;27;935;2629;6556;794;2142;1957
920;2336;7869;318;453;299;26;27;25;930;3292;6073;612;1943;2998
888;3450;8498;346;311;417;26;27;27;613;3459;6098;786;1947;2994
643;3389;8353;221;440;438;25;26;27;933;3159;6684;770;2027;1990
878;2772;7851;340;464;298;26;27;26;941;3338;6524;776;2064;2895
885;3373;7691;337;366;408;27;26;27;748;3405;4377;789;1418;3019
597;3425;8218;233;460;444;24;27;27;914;3049;6521;741;2073;2149
899;3096;8318;343;465;282;25;28;25;912;3147;6529;782;2079;3150
906;3404;5563;335;425;412;27;26;26;909;3396;4482;755;1382;3129
689;3343;8287;237;470;440;26;27;27;919;3219;6510;760;2076;2503
866;3163;8481;338;452;325;25;26;28;930;2216;6420;747;2074;2951
912;3107;5717;348;440;427;26;26;25;884;3421;4309;514;1377;3234
810;3427;8031;249;401;427;26;28;28;862;3211;6504;775;2019;3072
927;3367;8319;325;465;431;25;27;27;933;2231;6403;737;2173;3027
921;2354;5781;336;460;422;27;25;26;936;3407;5278;559;1685;3140
813;3454;8342;310;308;438;27;26;27;622;3343;6446;791;2021;3007
842;3342;8256;340;463;396;26;26;27;958;2290;6467;757;2067;2731
906;2359;6423;321;452;393;27;27;27;949;3374;6219;573;2012;3020
888;3356;8260;336;311;435;26;26;27;622;3280;6409;746;2034;3254
627;3354;7998;306;446;446;26;26;27;946;2649;6377;769;2070;2129
919;2244;8163;343;462;295;27;28;27;924;3324;6239;607;1975;3133
946;3422;8089;338;294;434;26;26;27;623;3309;5912;756;1940;3104
602;3404;8215;226;465;460;26;27;26;923;3178;6520;793;2066;2081
887;2758;7740;321;467;296;27;27;27;925;3372;6579;721;2081;3003
894;3315;7542;351;360;435;25;27;27;734;3333;4426;786;1463;2860
603;3441;7973;223;456;453;25;27;25;947;3216;6421;753;2085;1999
873;3381;8534;320;479;307;26;27;25;918;3019;6596;734;2116;3046
889;3556;5339;345;425;446;27;27;28;869;3407;4323;718;1460;2899
727;3355;8278;211;481;455;26;27;27;946;3416;6546;761;2091;2231
894;3274;8557;340;464;340;26;26;26;942;2278;6540;804;2087;2810
914;3154;5530;323;433;432;27;27;27;892;3300;4443;526;1434;2984
897;3403;8400;281;423;444;26;27;27;838;3371;6455;793;2146;2739
923;3454;8480;328;482;396;27;25;25;946;2380;6582;808;2106;2966
895;2258;5737;341;459;448;26;27;28;927;3322;5072;580;1646;2995
831;3383;8402;314;320;420;26;27;26;627;3354;6364;826;2021;2751
838;3493;8369;335;462;418;25;25;26;930;2292;6489;789;2175;2786
875;2349;6609;330;456;408;26;25;27;917;3439;6250;570;1943;2954
895;3443;8022;327;320;433;26;27;25;631;3281;6435;842;2055;2925
