mldsa87,p521_mlkem1024,,mldsa87,mlkem1024,,falcon1024,p521_mlkem1024,,falcon1024,mlkem1024,,sphincssha2256fsimple,p521_mlkem1024,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,p521_mlkem1024,,sphincssha2256ssimple,mlkem1024,,mayo5,p521_mlkem1024,,mayo5,mlkem1024,,CROSSrsdpg256balanced,p521_mlkem1024,,CROSSrsdpg256balanced,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
501,"5,14","97,47",7643,"6,87","1112,52",441,"4,82","91,49",4717,"4,50","1048,22",120,"1,85","64,86",246,"1,16","212,07",27,"0,36","75,00",29,"0,11","263,64",496,"5,35","92,71",4414,"5,76","766,32",410,"6,03","67,99",1137,"5,53","205,61"
420,"4,90","85,71",8131,"7,40","1098,78",455,"5,26","86,50",5179,"4,81","1076,72",183,"2,89","63,32",231,"1,01","228,71",28,"0,41","68,29",30,"0,13","230,77",418,"4,81","86,90",4569,"5,89","775,72",421,"6,24","67,47",2014,"9,01","223,53"
500,"5,50","90,91",6920,"6,46","1071,21",483,"5,48","88,14",3249,"3,16","1028,16",193,"2,86","67,48",267,"1,24","215,32",21,"0,30","70,00",21,"0,08","262,50",502,"5,59","89,80",3961,"5,00","792,20",363,"5,21","69,67",2028,"9,10","222,86"
497,"5,36","92,72",7335,"6,75","1086,67",500,"5,65","88,50",5099,"4,74","1075,74",174,"2,67","65,17",262,"1,25","209,60",27,"0,40","67,50",29,"0,12","241,67",492,"5,82","84,54",4275,"5,60","763,39",422,"5,96","70,81",1372,"6,15","223,09"
482,"5,30","90,94",8052,"7,40","1088,11",321,"3,83","83,81",5021,"4,93","1018,46",184,"2,86","64,34",250,"1,13","221,24",29,"0,43","67,44",29,"0,11","263,64",469,"5,42","86,53",4717,"6,09","774,55",432,"6,27","68,90",2110,"9,20","229,35"
482,"5,48","87,96",8029,"7,47","1074,83",501,"5,60","89,46",3466,"3,43","1010,50",188,"2,87","65,51",245,"1,13","216,81",28,"0,40","70,00",29,"0,10","290,00",468,"5,21","89,83",4709,"5,93","794,10",472,"6,41","73,63",2101,"9,04","232,41"
505,"5,61","90,02",5280,"5,09","1037,33",500,"5,56","89,93",4853,"4,73","1026,00",175,"2,78","62,95",263,"1,25","210,40",27,"0,39","69,23",28,"0,11","254,55",505,"5,57","90,66",3017,"3,99","756,14",429,"6,04","71,03",1364,"6,28","217,20"
484,"5,19","93,26",7899,"7,67","1029,86",333,"3,79","87,86",4944,"4,79","1032,15",182,"2,76","65,94",267,"1,24","215,32",28,"0,42","66,67",29,"0,12","241,67",511,"5,78","88,41",4679,"5,82","803,95",441,"6,41","68,80",2008,"8,89","225,87"
438,"5,11","85,71",8028,"7,38","1087,80",508,"5,54","91,70",4688,"4,67","1003,85",189,"2,95","64,07",181,"0,81","223,46",28,"0,40","70,00",28,"0,11","254,55",335,"3,81","87,93",4584,"5,96","769,13",445,"6,26","71,09",2097,"9,09","230,69"
516,"5,60","92,14",5325,"4,97","1071,43",504,"5,79","87,05",5008,"4,64","1079,31",173,"2,65","65,28",264,"1,33","198,50",27,"0,39","69,23",30,"0,12","250,00",498,"5,68","87,68",3071,"4,05","758,27",433,"6,18","70,06",1836,"8,67","211,76"
511,"5,55","92,07",8023,"7,44","1078,36",334,"3,75","89,07",4979,"4,83","1030,85",173,"2,74","63,14",264,"1,21","218,18",29,"0,42","69,05",30,"0,13","230,77",513,"5,68","90,32",4535,"5,93","764,76",458,"6,37","71,90",2079,"9,01","230,74"
333,"3,67","90,74",8025,"7,63","1051,77",498,"5,61","88,77",4662,"4,50","1036,00",187,"2,87","65,16",180,"0,81","222,22",27,"0,36","75,00",27,"0,10","270,00",340,"3,80","89,47",4610,"6,11","754,50",447,"6,23","71,75",2114,"9,05","233,59"
