secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024;secp521r1 - p521_hqc256;secp521r1 - hqc256
293;239;879;67;35
336;335;907;79;64
360;319;966;63;84
344;324;976;75;88
357;303;959;65;88
334;311;884;68;83
366;320;862;75;87
342;320;748;71;84
379;325;372;75;44
341;323;659;76;75
323;281;912;75;86
368;314;939;78;92
382;310;781;75;87
378;320;940;70;99
388;336;815;75;92
386;315;927;77;93
349;312;928;73;91
354;326;942;77;90
368;305;958;75;94
362;313;990;74;95
390;301;934;69;96
325;299;903;74;91
353;312;955;75;95
346;323;937;74;96
365;327;945;77;93
355;327;929;78;93
361;325;966;77;95
334;309;916;73;91
374;302;969;76;96
406;327;911;75;95
386;327;979;77;95
364;315;998;77;96
339;296;921;74;91
362;326;1002;78;95
395;324;919;76;92
388;326;937;77;93
346;309;947;78;88
372;311;941;70;94
339;307;880;72;92
346;326;1025;75;95
343;330;986;78;95
371;312;996;75;95
323;315;962;70;95
334;309;969;73;90
333;322;1030;76;93
344;328;933;77;93
328;313;898;74;95
291;318;700;75;95
363;327;583;75;93
149;311;596;71;94
