rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
2666;2567;1912;7779;5932;5136;6166;5337;5127;611;382;588;42;32;39
1694;2689;2885;6918;6466;7941;4514;5589;5924;620;658;557;44;41;44
2812;1817;2914;7988;4868;7978;6232;4671;6326;440;657;653;32;43;32
3000;2763;2021;8337;5693;5433;6653;5210;6232;648;439;637;40;41;43
2296;2675;2847;7731;6581;8003;6313;5561;4296;664;642;617;43;43;44
2406;1853;2964;7450;6467;7873;6492;5646;6488;428;662;597;43;42;40
2692;2704;2561;7981;6629;5684;6484;3867;6319;652;593;643;41;42;41
2650;2875;2951;8214;6871;7752;6197;5498;4378;662;652;650;44;43;44
2550;1862;2974;5631;6471;7739;5972;5646;6295;431;657;444;42;43;42
2773;2688;2709;8199;6560;7783;6505;3824;6509;634;570;648;42;41;42
2547;2847;2601;8152;6839;7876;6520;5671;4332;659;595;652;44;43;43
2522;2437;2932;5624;6636;7808;4373;5531;6450;619;656;432;42;43;42
2831;2785;2921;8158;6605;7572;6555;3802;6377;655;628;652;42;40;42
2713;2862;2017;8189;6845;7332;6490;5774;5033;673;409;655;43;40;43
2770;2629;2926;5561;6327;8044;4392;5663;6252;614;655;437;40;43;42
2978;2595;2909;8263;6753;8171;6611;4276;6377;562;644;656;42;43;43
2535;2883;2005;8451;6517;5382;6751;5541;6096;667;429;643;44;42;43
2627;2766;2963;6072;6444;8120;4310;5704;6336;645;649;508;40;42;41
2758;1959;2878;8040;6334;7974;6391;5454;6196;436;640;627;39;43;39
2456;2955;2068;8219;6623;5616;6645;5612;5929;649;426;640;42;41;44
2431;2836;2979;7742;6860;8021;5202;5585;5881;649;642;620;43;42;42
2664;1941;2903;7994;4658;7786;6266;5393;6441;448;654;650;28;42;39
2779;2985;2359;8201;6795;5483;6657;5731;6410;631;497;645;43;43;43
1800;2895;2817;7763;6482;7752;6323;5617;4280;662;623;622;43;42;43
2691;1992;2800;7307;4563;8055;6567;5339;6431;436;655;601;28;42;41
2823;2914;2848;8179;6863;6341;6583;5426;6481;629;610;623;43;42;43
1910;2836;2942;7863;6665;7627;6126;5494;4233;663;638;657;43;42;42
2718;2216;2880;5336;4354;7933;5882;5648;6308;506;660;447;28;42;41
2936;2732;2835;8372;6719;7824;6685;3830;6360;627;592;649;43;44;43
1823;2804;2734;7939;6643;7932;6455;5537;4388;661;603;664;44;43;42
2641;2691;2910;5393;5253;8135;4366;5667;6318;622;630;450;34;40;41
2709;2868;2875;8178;6594;7515;6663;3784;6355;653;631;658;42;40;43
2160;2739;1930;8110;6832;7408;6504;5693;5053;650;444;651;43;42;41
2723;2574;2888;5482;6361;8100;4447;5757;6307;605;649;430;41;44;43
2703;2621;2992;8155;6818;8062;6586;3621;6288;600;631;654;43;41;44
2639;2775;1969;8217;6579;5292;6618;5670;6157;651;445;644;43;43;40
2713;2799;2894;6442;6469;8141;4483;5744;6358;653;632;512;40;43;43
2802;1865;2899;7874;6200;8167;6556;4411;6402;445;634;634;43;41;44
2586;2839;2039;8117;6588;5463;6660;5608;6108;651;432;645;42;43;39
2561;2698;2859;7902;6648;8226;5126;5633;5826;654;661;626;37;43;40
2794;1909;2867;8154;4630;8076;6432;5357;6390;447;647;651;40;43;44
2854;2742;2333;8346;6824;5587;6570;5854;6410;641;505;628;44;43;43
1886;2827;2887;7598;6500;7998;6293;5588;4304;651;644;617;43;41;40
2870;1832;2920;7507;4673;8180;6416;5283;6305;454;651;600;41;43;44
2931;2779;2841;8222;6733;6521;6636;5352;6550;660;608;637;44;43;42
1917;2844;2869;8139;6586;7796;6035;5641;4196;643;650;664;42;41;40
2822;2136;2948;5473;4354;8022;5897;5426;6448;511;644;434;41;42;44
2875;2672;2710;7995;6765;7947;6651;3896;6307;637;603;632;43;43;41
1879;2749;2676;8069;6747;8106;6583;5663;4255;654;587;658;41;40;43
2763;2732;3043;5438;5230;8139;4287;5641;6429;628;639;439;43;41;43
2865;2814;2997;8293;6779;7707;6683;3799;6377;645;636;645;43;43;41
2145;2839;1952;8248;6770;7489;6510;5673;5086;661;443;649;40;44;43
2623;2608;2884;5496;6429;8225;4490;5745;6343;613;653;445;44;40;42
2896;2585;2990;7921;6638;8172;6584;3814;6531;597;636;657;41;42;40
2682;2813;2019;8219;6664;5442;6542;5515;6019;665;421;647;39;44;43
2790;2729;2893;6391;6403;7866;4507;5685;6407;635;656;513;40;41;43
2860;1892;2917;7697;6398;7965;6649;4389;6272;431;627;631;43;43;40
2605;2789;2036;8293;6317;5423;6545;5388;6016;656;438;635;42;42;44
2652;2797;2951;7724;6831;7619;5309;5700;5855;671;651;615;30;42;42
2773;1856;2976;7974;4580;7964;6362;5350;6456;418;631;643;42;42;39
2793;2837;2397;8118;6920;5508;6589;5620;6554;669;506;654;43;41;42
1833;2788;2881;7649;6817;7891;6171;5691;4195;664;621;593;28;42;43
2838;1846;2924;7274;4532;8052;6386;5218;6405;423;638;584;45;43;43
2884;2885;2785;8265;6809;6428;6610;5204;6505;634;620;652;42;41;43
1890;2846;2852;8101;6659;7705;6080;5568;4250;659;641;647;29;41;43
2884;2153;2895;5481;4416;8265;6010;5507;6329;492;637;420;44;43;41
2802;2721;2759;8262;6915;7751;6663;3856;6430;639;605;646;43;40;43
1906;2860;2686;8061;6801;7842;6532;5703;4361;669;596;651;34;40;42
2813;2625;2873;5381;5335;8056;4422;5551;6330;597;637;434;42;43;39
2853;2826;2954;8407;6585;7619;6703;3834;6409;657;641;614;43;44;42
2075;2832;1948;8079;6814;7453;6662;5702;4994;668;440;645;41;40;43
2841;2593;2860;5392;6406;7987;4363;5723;6324;598;646;446;43;43;39
2880;2558;2925;8267;6648;8092;6514;3708;6341;593;638;608;43;43;43
2633;2705;1996;8039;6825;5423;6539;5713;6243;649;448;646;41;40;43
2729;2772;2758;6371;6466;7833;4471;5822;6343;647;645;519;43;43;40
2931;1904;2975;7847;6368;8157;6507;4397;6516;425;628;618;43;42;44
2687;2704;1987;7951;6712;5256;6475;5512;6180;666;442;614;41;42;42
2583;2743;2891;7957;6857;7974;5266;5772;6038;666;660;635;44;44;38
2861;1873;2991;8139;4687;7951;6265;5440;6294;419;629;614;43;42;42
2872;2798;2293;7909;6858;5294;6548;5622;6549;664;507;599;40;43;42
1939;2855;2891;7591;6657;7967;6103;5683;4456;661;630;605;41;42;42
2810;1817;2885;7494;4664;7995;6452;5286;6500;430;637;584;44;41;42
2740;2802;2848;8315;6947;6357;6485;5236;6530;652;608;642;42;43;44
1894;2745;2928;8086;6881;7898;6023;5623;4394;663;656;629;42;43;41
2886;2199;2954;5493;4473;7935;5962;5706;6498;500;626;433;44;40;43
2786;2804;2827;8318;6936;7583;6540;3898;6490;623;600;618;42;41;43
1949;2759;2693;8095;6670;7717;6603;5718;4345;659;596;642;42;43;41
2756;2627;2834;5309;5435;8022;4216;5387;6424;618;647;435;43;44;42
2935;2727;2952;8039;6750;7664;6520;3879;6466;651;634;625;41;40;43
2240;2707;1957;8017;6772;7365;6554;5744;5019;655;439;655;43;44;41
2666;2563;2880;5489;6427;7964;4350;5634;6396;607;649;434;43;42;43
2853;2614;3014;7774;6527;8100;6526;3800;6565;604;626;663;41;42;43
2606;2759;2010;7953;6786;5351;6512;5635;6032;655;442;645;44;43;38
2775;2746;2910;6475;6351;8025;4323;5671;6481;632;653;516;41;41;44
2865;1856;2938;7529;6228;8071;6500;4446;6570;438;623;626;40;42;44
2553;2797;1911;8048;6585;5493;6353;5389;5950;659;439;633;44;44;39
2503;2836;2931;7756;6577;8007;5259;5675;6081;638;649;625;42;40;41
2949;1886;2982;8445;4506;8062;6381;5361;6609;435;637;612;39;41;43
2830;2741;2207;7304;6814;5227;6521;5550;6403;666;502;662;41;44;43
1864;2793;2771;6829;6607;8236;6132;5759;4480;644;640;609;43;38;40
