sphincssha2128fsimple;X25519;;sphincssha2128fsimple;P-256;;sphincssha2128fsimple;kyber512;;sphincssha2128ssimple;X25519;;sphincssha2128ssimple;P-256;;sphincssha2128ssimple;kyber512;;sphincssha2192fsimple;P-384;;sphincssha2192fsimple;kyber768;;sphincssha2192ssimple;P-384;;sphincssha2192ssimple;kyber768;;sphincssha2256fsimple;P-521;;sphincssha2256fsimple;kyber1024;;sphincssha2256ssimple;P-521;;sphincssha2256ssimple;kyber1024;;sphincsshake128fsimple;X25519;;sphincsshake128fsimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake128ssimple;X25519;;sphincsshake128ssimple;P-256;;sphincsshake128fsimple;kyber512;;sphincsshake192fsimple;P-384;;sphincsshake192fsimple;kyber768;;sphincsshake192ssimple;P-384;;sphincsshake192ssimple;kyber768;;sphincsshake256fsimple;P-521;;sphincsshake256fsimple;kyber1024;;sphincsshake256ssimple;P-521;;sphincsshake256ssimple;kyber1024;
Group 1 Connections;Time (s);Connections/User Sec;Group 2 Connections;Time (s);Connections/User Sec;Group 3 Connections;Time (s);Connections/User Sec;Group 4 Connections;Time (s);Connections/User Sec;Group 5 Connections;Time (s);Connections/User Sec;Group 6 Connections;Time (s);Connections/User Sec;Group 7 Connections;Time (s);Connections/User Sec;Group 8 Connections;Time (s);Connections/User Sec;Group 9 Connections;Time (s);Connections/User Sec;Group 10 Connections;Time (s);Connections/User Sec;Group 11 Connections;Time (s);Connections/User Sec;Group 12 Connections;Time (s);Connections/User Sec;Group 13 Connections;Time (s);Connections/User Sec;Group 14 Connections;Time (s);Connections/User Sec;Group 15 Connections;Time (s);Connections/User Sec;Group 16 Connections;Time (s);Connections/User Sec;Group 17 Connections;Time (s);Connections/User Sec;Group 18 Connections;Time (s);Connections/User Sec;Group 19 Connections;Time (s);Connections/User Sec;Group 20 Connections;Time (s);Connections/User Sec;Group 21 Connections;Time (s);Connections/User Sec;Group 22 Connections;Time (s);Connections/User Sec;Group 23 Connections;Time (s);Connections/User Sec;Group 24 Connections;Time (s);Connections/User Sec;Group 25 Connections;Time (s);Connections/User Sec;Group 26 Connections;Time (s);Connections/User Sec;Group 27 Connections;Time (s);Connections/User Sec;Group 28 Connections;Time (s);Connections/User Sec
520;2,12;245,28;574;2,14;268,22;536;1,96;273,47;35;0,07;500;38;0,09;422,22;37;0,07;528,57;352;2,73;128,94;371;1,59;233,33;22;0,13;169,23;23;0,05;460;178;2,21;80,54;221;1;221;24;0,27;88,89;23;0,06;383,33;396;1,51;262,25;362;1,45;249,66;368;1,49;246,98;22;0,05;440;22;0,05;440;359;1,43;251,05;229;2,08;110,1;247;1,35;182,96;13;0,08;162,5;13;0,04;325;114;1,57;72,61;131;0,87;150,57;14;0,19;73,68;16;0,06;266,67
504;2,1;240;575;2,15;267,44;585;2,11;277,25;38;0,08;475;38;0,08;475;38;0,07;542,86;358;2,72;131,62;412;1,73;238,15;23;0,13;176,92;20;0,05;400;159;2,37;67,09;225;1,01;222,77;24;0,26;92,31;25;0,08;312,5;403;1,51;266,89;401;1,65;243,03;407;1,59;255,97;24;0,05;480;24;0,05;480;405;1,66;243,98;233;2,28;102,19;251;1,36;184,56;14;0,09;155,56;14;0,03;466,67;121;1,78;67,98;138;0,82;168,29;16;0,19;84,21;16;0,05;320
545;2,13;255,87;579;2,13;271,83;586;2,07;283,09;37;0,08;462,5;38;0,07;542,86;39;0,08;487,5;356;2,79;127,6;415;1,75;237,14;23;0,13;176,92;23;0,06;383,33;154;2,41;63,9;225;1,01;222,77;25;0,27;92,59;26;0,08;325;403;1,55;260;399;1,6;249,38;381;1,58;241,14;24;0,06;400;24;0,05;480;385;1,61;239,13;235;2,09;112,44;263;1,42;185,21;14;0,08;175;14;0,04;350;120;1,68;71,43;135;0,79;170,89;16;0,19;84,21;16;0,06;266,67
550;2,05;268,29;574;2,16;265,74;587;2,07;283,57;38;0,08;475;38;0,08;475;38;0,07;542,86;356;2,75;129,45;418;1,77;236,16;21;0,14;150;23;0,05;460;184;2,37;77,64;224;1,02;219,61;25;0,29;86,21;25;0,07;357,14;406;1,55;261,94;400;1,62;246,91;389;1,59;244,65;24;0,05;480;23;0,07;328,57;391;1,59;245,91;234;2,13;109,86;261;1,4;186,43;14;0,09;155,56;14;0,05;280;121;1,63;74,23;138;0,79;174,68;16;0,18;88,89;16;0,06;266,67
548;2,08;263,46;568;2,14;265,42;584;2,15;271,63;38;0,06;633,33;38;0,08;475;38;0,07;542,86;358;2,83;126,5;421;1,75;240,57;23;0,14;164,29;23;0,06;383,33;183;2,25;81,33;226;1,01;223,76;25;0,28;89,29;26;0,08;325;387;1,55;249,68;401;1,59;252,2;383;1,57;243,95;24;0,05;480;24;0,05;480;406;1,59;255,35;235;2,12;110,85;250;1,36;183,82;14;0,08;175;14;0,04;350;122;1,72;70,93;138;0,79;174,68;14;0,17;82,35;16;0,06;266,67
571;2,08;274,52;577;2,09;276,08;591;2,07;285,51;36;0,08;450;39;0,09;433,33;38;0,07;542,86;356;2,81;126,69;420;1,74;241,38;24;0,15;160;23;0,06;383,33;186;2,32;80,17;226;1,03;219,42;24;0,27;88,89;25;0,07;357,14;402;1,55;259,35;403;1,71;235,67;390;1,7;229,41;24;0,05;480;24;0,05;480;404;1,65;244,85;236;2,13;110,8;253;1,39;182,01;14;0,08;175;14;0,04;350;121;1,68;72,02;137;0,93;147,31;14;0,18;77,78;16;0,06;266,67
526;2,06;255,34;582;2,13;273,24;586;2,09;280,38;38;0,07;542,86;38;0,08;475;38;0,07;542,86;358;2,76;129,71;422;1,77;238,42;23;0,14;164,29;24;0,06;400;184;2,27;81,06;225;1,01;222,77;25;0,28;89,29;26;0,09;288,89;406;1,56;260,26;404;1,64;246,34;404;1,57;257,32;24;0,05;480;24;0,05;480;408;1,64;248,78;234;2,06;113,59;261;1,37;190,51;13;0,08;162,5;14;0,04;350;121;1,65;73,33;129;0,78;165,38;15;0,21;71,43;16;0,06;266,67
480;2,14;224,3;576;2,15;267,91;588;2,08;282,69;38;0,07;542,86;38;0,08;475;38;0,07;542,86;358;2,75;130,18;417;1,73;241,04;23;0,14;164,29;19;0,05;380;185;2,36;78,39;156;1,02;152,94;25;0,29;86,21;25;0,08;312,5;406;1,6;253,75;402;1,58;254,43;406;1,59;255,35;24;0,05;480;24;0,13;184,62;404;1,61;250,93;235;2,1;111,9;263;1,4;187,86;14;0,08;175;14;0,04;350;121;1,66;72,89;138;0,8;172,5;14;0,19;73,68;16;0,06;266,67
500;2,16;231,48;579;2,15;269,3;589;2,06;285,92;38;0,13;292,31;38;0,09;422,22;39;0,08;487,5;354;2,76;128,26;419;1,73;242,2;23;0,13;176,92;19;0,07;271,43;184;2,31;79,65;224;1,08;207,41;24;0,27;88,89;25;0,1;250;405;1,54;262,99;401;1,61;249,07;406;1,59;255,35;24;0,05;480;23;0,05;460;407;1,59;255,97;225;2,16;104,17;261;1,41;185,11;14;0,08;175;14;0,03;466,67;122;1,67;73,05;138;0,8;172,5;14;0,19;73,68;17;0,05;340
