SIG_ALG;KEM_ALG;Read Bytes;Written Bytes
sphincssha2128fsimple;X25519;34771;509
sphincssha2128fsimple;P-256;34804;542
sphincssha2128fsimple;P-384;34836;574
sphincssha2128fsimple;P-521;34872;610
sphincssha2128ssimple;X25519;16263;509
sphincssha2128ssimple;P-256;16296;542
sphincssha2128ssimple;P-384;16328;574
sphincssha2128ssimple;P-521;16364;610
sphincssha2192fsimple;X25519;71983;509
sphincssha2192fsimple;P-256;72016;542
sphincssha2192fsimple;P-384;72048;574
sphincssha2192fsimple;P-521;72084;610
sphincssha2192ssimple;X25519;33037;509
sphincssha2192ssimple;P-256;33070;542
sphincssha2192ssimple;P-384;33102;574
sphincssha2192ssimple;P-521;33138;610
sphincssha2256fsimple;X25519;100428;509
sphincssha2256fsimple;P-256;100461;542
sphincssha2256fsimple;P-384;100493;574
sphincssha2256fsimple;P-521;100529;610
sphincssha2256ssimple;X25519;60212;509
sphincssha2256ssimple;P-256;60245;542
sphincssha2256ssimple;P-384;60277;574
sphincssha2256ssimple;P-521;60313;610
sphincsshake128fsimple;X25519;34771;509
sphincsshake128fsimple;P-256;34804;542
sphincsshake128fsimple;P-384;34836;574
sphincsshake128fsimple;P-521;34872;610
sphincsshake128ssimple;X25519;16263;509
sphincsshake128ssimple;P-256;16296;542
sphincsshake128ssimple;P-384;16328;574
sphincsshake128ssimple;P-521;16364;610
sphincsshake192fsimple;X25519;71983;509
sphincsshake192fsimple;P-256;72016;542
sphincsshake192fsimple;P-384;72048;574
sphincsshake192fsimple;P-521;72084;610
sphincsshake192ssimple;X25519;33037;509
sphincsshake192ssimple;P-256;33070;542
sphincsshake192ssimple;P-384;33102;574
sphincsshake192ssimple;P-521;33138;610
sphincsshake256fsimple;X25519;100428;509
sphincsshake256fsimple;P-256;100461;542
sphincsshake256fsimple;P-384;100493;574
sphincsshake256fsimple;P-521;100529;610
sphincsshake256ssimple;X25519;60212;509
sphincsshake256ssimple;P-256;60245;542
sphincsshake256ssimple;P-384;60277;574
sphincsshake256ssimple;P-521;60313;610
