SIG_ALG;KEM_ALG;Read Bytes;Written Bytes
sphincssha2128fsimple;kyber512;35507;1269
sphincssha2128fsimple;kyber768;35827;1653
sphincssha2128fsimple;kyber1024;36307;2037
sphincssha2128ssimple;kyber512;16999;1269
sphincssha2128ssimple;kyber768;17319;1653
sphincssha2128ssimple;kyber1024;17798;2037
sphincssha2192fsimple;kyber512;72719;1269
sphincssha2192fsimple;kyber768;73039;1653
sphincssha2192fsimple;kyber1024;73519;2037
sphincssha2192ssimple;kyber512;33773;1269
sphincssha2192ssimple;kyber768;34093;1653
sphincssha2192ssimple;kyber1024;34573;2037
sphincssha2256fsimple;kyber512;101164;1269
sphincssha2256fsimple;kyber768;101484;1653
sphincssha2256fsimple;kyber1024;101964;2037
sphincssha2256ssimple;kyber512;60948;1269
sphincssha2256ssimple;kyber768;61268;1653
sphincssha2256ssimple;kyber1024;61748;2037
sphincsshake128fsimple;kyber512;35507;1269
sphincsshake128fsimple;kyber768;35827;1653
sphincsshake128fsimple;kyber1024;36307;2037
sphincsshake128ssimple;kyber512;16999;1269
sphincsshake128ssimple;kyber768;17319;1653
sphincsshake128ssimple;kyber1024;17799;2037
sphincsshake192fsimple;kyber512;72719;1269
sphincsshake192fsimple;kyber768;73039;1653
sphincsshake192fsimple;kyber1024;73519;2037
sphincsshake192ssimple;kyber512;33773;1269
sphincsshake192ssimple;kyber768;34093;1653
sphincsshake192ssimple;kyber1024;34573;2037
sphincsshake256fsimple;kyber512;101164;1269
sphincsshake256fsimple;kyber768;101484;1653
sphincsshake256fsimple;kyber1024;101964;2037
sphincsshake256ssimple;kyber512;60948;1269
sphincsshake256ssimple;kyber768;61268;1653
sphincsshake256ssimple;kyber1024;61748;2037
