ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
117;119;118;132;79;77;21;13
119;127;100;102;86;83;20;22
90;102;115;133;57;89;14;21
118;123;122;133;86;88;20;21
118;128;122;124;85;84;19;22
111;123;117;123;59;89;20;21
109;125;123;133;85;86;21;20
118;127;119;133;85;86;22;21
118;122;119;90;81;88;19;21
80;127;122;133;85;86;19;20
118;127;118;133;86;87;21;22
118;118;121;89;79;89;21;21
80;118;122;134;79;84;20;19
118;127;116;133;86;88;20;21
118;128;123;89;86;89;21;21
80;86;123;133;81;83;19;20
119;127;115;134;85;81;22;20
119;128;112;104;86;89;20;21
93;86;122;131;81;88;20;20
117;127;123;133;86;60;21;20
118;128;83;126;83;89;20;21
112;86;122;133;83;88;21;21
118;128;122;133;85;60;20;20
119;128;82;124;83;89;20;21
110;99;123;123;84;88;20;20
110;125;123;133;86;60;21;21
118;128;83;133;81;89;19;22
118;121;123;90;85;88;20;20
80;127;123;133;86;70;22;21
118;128;96;133;80;87;21;22
118;119;120;90;86;88;21;19
81;118;122;133;86;85;21;21
119;128;117;133;79;88;21;21
118;128;122;90;80;89;21;20
81;120;122;133;86;83;21;21
119;128;114;133;85;89;21;22
117;126;114;104;82;88;21;20
92;122;122;131;86;82;21;21
116;128;123;133;83;83;20;22
118;125;82;126;83;88;22;20
113;124;123;133;86;89;21;21
118;128;122;133;82;84;20;21
118;122;83;125;84;89;22;21
111;126;122;123;86;86;21;21
109;127;123;133;81;86;19;21
119;122;83;133;86;89;20;20
119;127;122;90;86;85;21;20
112;128;123;133;80;87;21;21
119;119;96;133;79;89;20;22
118;117;120;90;85;84;22;20
