rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
655,"0,64","1023,44",671,"0,75","894,67",910,"0,93","978,49",1072,"1,06","1011,32",1030,"1,31","786,26",1064,"1,18","901,69",1038,"0,95","1092,63",969,"1,11","872,97",677,"0,67","1010,45",351,"1,44","243,75",418,"1,65","253,33",415,"1,71","242,69",42,"0,09","466,67",41,"0,11","372,73",41,"0,11","372,73"
859,"0,83","1034,94",892,"0,98","910,20",617,"0,60","1028,33",1046,"1,04","1005,77",949,"1,14","832,46",1124,"1,19","944,54",1103,"1,02","1081,37",1062,"1,16","915,52",1094,"1,03","1062,14",442,"1,81","244,20",298,"1,23","242,28",406,"1,63","249,08",32,"0,08","400,00",43,"0,10","430,00",35,"0,09","388,89"
924,"0,88","1050,00",886,"0,98","904,08",921,"0,91","1012,09",1051,"1,09","964,22",1100,"1,28","859,38",755,"0,83","909,64",910,"0,84","1083,33",913,"1,02","895,10",1100,"1,00","1100,00",437,"1,81","241,44",445,"1,78","250,00",426,"1,62","262,96",44,"0,11","400,00",33,"0,07","471,43",41,"0,10","410,00"
921,"0,88","1046,59",844,"0,91","927,47",905,"0,96","942,71",1129,"1,17","964,96",1088,"1,38","788,41",1136,"1,18","962,71",1021,"0,95","1074,74",1048,"1,17","895,73",726,"0,76","955,26",404,"1,60","252,50",449,"1,85","242,70",452,"1,74","259,77",42,"0,11","381,82",43,"0,10","430,00",43,"0,10","430,00"
871,"0,83","1049,40",834,"0,98","851,02",610,"0,61","1000,00",1133,"1,18","960,17",1031,"1,23","838,21",1140,"1,16","982,76",1107,"0,94","1177,66",1054,"1,19","885,71",1093,"1,01","1082,18",419,"1,61","260,25",304,"1,17","259,83",446,"1,70","262,35",41,"0,09","455,56",44,"0,11","400,00",42,"0,10","420,00"
934,"0,82","1139,02",886,"1,07","828,04",916,"0,88","1040,91",1071,"1,08","991,67",1003,"1,21","828,93",777,"0,93","835,48",1101,"0,97","1135,05",1000,"1,08","925,93",1090,"1,07","1018,69",449,"1,68","267,26",440,"1,81","243,09",423,"1,66","254,82",44,"0,09","488,89",40,"0,10","400,00",42,"0,11","381,82"
907,"0,85","1067,06",896,"0,98","914,29",916,"0,93","984,95",1127,"1,17","963,25",1084,"1,37","791,24",1111,"1,09","1019,27",1037,"0,96","1080,21",974,"1,05","927,62",757,"0,73","1036,99",448,"1,65","271,52",445,"1,80","247,22",448,"1,67","268,26",43,"0,11","390,91",43,"0,09","477,78",44,"0,11","400,00"
890,"0,80","1112,50",601,"0,70","858,57",791,"0,79","1001,27",1120,"1,17","957,26",1088,"1,30","836,92",1118,"1,21","923,97",1106,"0,93","1189,25",1064,"1,13","941,59",1055,"1,02","1034,31",294,"1,26","233,33",415,"1,69","245,56",442,"1,66","266,27",40,"0,09","444,44",44,"0,12","366,67",40,"0,10","400,00"
917,"0,86","1066,28",895,"1,04","860,58",911,"0,88","1035,23",1079,"1,15","938,26",733,"0,91","805,49",1065,"1,19","894,96",1091,"0,95","1148,42",1044,"1,29","809,30",1077,"1,09","988,07",441,"1,78","247,75",453,"1,78","254,49",429,"1,67","256,89",40,"0,10","400,00",41,"0,11","372,73",43,"0,11","390,91"
