ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
338,"4,43","76,30",620,"3,55","174,65",423,"3,79","111,61",1068,"1,20","890,00",285,"2,55","111,76",985,"1,16","849,14",166,"2,05","80,98",196,"1,00","196,00",27,"0,31","87,10",20,"0,07","285,71"
361,"4,81","75,05",631,"3,88","162,63",466,"4,10","113,66",1126,"1,30","866,15",432,"3,80","113,68",712,"0,77","924,68",156,"1,87","83,42",212,"1,12","189,29",28,"0,32","87,50",30,"0,11","272,73"
363,"4,75","76,42",656,"3,71","176,82",322,"2,99","107,69",955,"1,01","945,54",454,"3,89","116,71",1034,"1,24","833,87",179,"2,23","80,27",139,"0,73","190,41",20,"0,20","100,00",30,"0,10","300,00"
358,"4,75","75,37",654,"3,74","174,87",444,"3,97","111,84",1057,"1,12","943,75",427,"3,81","112,07",1039,"1,21","858,68",180,"2,28","78,95",208,"1,09","190,83",27,"0,30","90,00",27,"0,09","300,00"
365,"4,66","78,33",646,"3,78","170,90",461,"4,09","112,71",1122,"1,29","869,77",446,"3,91","114,07",704,"0,76","926,32",167,"2,07","80,68",211,"1,12","188,39",28,"0,32","87,50",30,"0,11","272,73"
361,"4,78","75,52",655,"3,76","174,20",437,"3,97","110,08",1139,"1,19","957,14",454,"3,90","116,41",1029,"1,25","823,20",166,"2,16","76,85",141,"0,76","185,53",28,"0,31","90,32",29,"0,10","290,00"
358,"4,79","74,74",658,"3,72","176,88",447,"4,07","109,83",768,"0,82","936,59",421,"3,68","114,40",1038,"1,26","823,81",181,"2,31","78,35",207,"1,04","199,04",27,"0,30","90,00",27,"0,11","245,45"
366,"4,74","77,22",654,"3,73","175,34",478,"4,04","118,32",1129,"1,27","888,98",417,"3,61","115,51",728,"0,86","846,51",180,"2,23","80,72",207,"1,03","200,97",28,"0,31","90,32",28,"0,10","280,00"
363,"4,78","75,94",652,"3,76","173,40",440,"3,90","112,82",1136,"1,23","923,58",445,"3,94","112,94",1005,"1,21","830,58",123,"1,50","82,00",195,"0,99","196,97",28,"0,31","90,32",29,"0,11","263,64"
361,"4,86","74,28",645,"3,85","167,53",464,"4,02","115,42",762,"0,83","918,07",446,"3,88","114,95",1037,"1,21","857,02",172,"2,22","77,48",207,"1,03","200,97",27,"0,32","84,38",30,"0,11","272,73"
359,"4,81","74,64",646,"3,80","170,00",460,"4,08","112,75",1135,"1,16","978,45",289,"2,76","104,71",1004,"1,12","896,43",176,"2,22","79,28",211,"1,04","202,88",29,"0,35","82,86",28,"0,09","311,11"
356,"4,70","75,74",640,"3,80","168,42",437,"3,77","115,92",1134,"1,23","921,95",454,"3,91","116,11",1026,"1,25","820,80",119,"1,57","75,80",194,"0,97","200,00",27,"0,31","87,10",29,"0,11","263,64"
364,"4,73","76,96",612,"3,86","158,55",427,"3,77","113,26",758,"0,82","924,39",449,"3,97","113,10",1047,"1,20","872,50",176,"2,37","74,26",193,"0,97","198,97",27,"0,31","87,10",29,"0,10","290,00"
363,"4,82","75,31",616,"3,90","157,95",462,"4,11","112,41",1122,"1,27","883,46",309,"2,61","118,39",975,"1,17","833,33",175,"2,26","77,43",209,"1,05","199,05",29,"0,33","87,88",29,"0,11","263,64"
361,"4,81","75,05",615,"3,89","158,10",457,"4,05","112,84",1125,"1,26","892,86",448,"4,00","112,00",948,"1,09","869,72",119,"1,52","78,29",205,"1,04","197,12",26,"0,30","86,67",29,"0,11","263,64"
366,"4,73","77,38",628,"3,82","164,40",311,"2,70","115,19",881,"0,98","898,98",446,"4,00","111,50",1051,"1,17","898,29",174,"2,23","78,03",140,"0,68","205,88",28,"0,32","87,50",28,"0,10","280,00"
365,"4,77","76,52",614,"3,85","159,48",462,"4,11","112,41",1103,"1,27","868,50",298,"2,68","111,19",1041,"1,23","846,34",175,"2,29","76,42",206,"1,01","203,96",28,"0,30","93,33",29,"0,10","290,00"
360,"4,86","74,07",628,"3,85","163,12",454,"4,15","109,40",1122,"1,26","890,48",437,"4,00","109,25",696,"0,81","859,26",138,"1,75","78,86",205,"1,05","195,24",27,"0,32","84,38",30,"0,10","300,00"
357,"4,90","72,86",605,"3,94","153,55",319,"2,74","116,42",1055,"1,21","871,90",438,"3,98","110,05",1040,"1,25","832,00",176,"2,22","79,28",141,"0,72","195,83",29,"0,33","87,88",28,"0,10","280,00"
372,"4,76","78,15",627,"3,84","163,28",467,"4,06","115,02",1012,"1,22","829,51",357,"3,15","113,33",1046,"1,20","871,67",178,"2,24","79,46",205,"1,09","188,07",28,"0,31","90,32",30,"0,11","272,73"
