ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
49,"0,39","125,64",49,"0,19","257,89",44,"0,23","191,30",39,"0,05","780,00",34,"0,32","106,25",28,"0,15","186,67",16,"0,11","145,45",17,"0,06","283,33"
39,"0,29","134,48",54,"0,19","284,21",51,"0,28","182,14",51,"0,07","728,57",30,"0,28","107,14",35,"0,19","184,21",12,"0,08","150,00",17,"0,06","283,33"
48,"0,35","137,14",45,"0,18","250,00",53,"0,27","196,30",54,"0,07","771,43",33,"0,30","110,00",37,"0,21","176,19",17,"0,11","154,55",11,"0,03","366,67"
51,"0,35","145,71",54,"0,19","284,21",50,"0,26","192,31",54,"0,08","675,00",36,"0,33","109,09",34,"0,18","188,89",17,"0,12","141,67",18,"0,06","300,00"
52,"0,37","140,54",53,"0,18","294,44",52,"0,29","179,31",52,"0,06","866,67",35,"0,33","106,06",36,"0,18","200,00",16,"0,11","145,45",17,"0,05","340,00"
49,"0,37","132,43",49,"0,19","257,89",52,"0,27","192,59",54,"0,08","675,00",24,"0,20","120,00",36,"0,19","189,47",15,"0,11","136,36",16,"0,05","320,00"
51,"0,37","137,84",50,"0,20","250,00",50,"0,24","208,33",53,"0,07","757,14",36,"0,33","109,09",34,"0,18","188,89",17,"0,14","121,43",16,"0,05","320,00"
52,"0,38","136,84",53,"0,19","278,95",53,"0,27","196,30",53,"0,08","662,50",36,"0,33","109,09",37,"0,20","185,00",17,"0,12","141,67",17,"0,05","340,00"
49,"0,36","136,11",53,"0,19","278,95",52,"0,25","208,00",54,"0,08","675,00",24,"0,22","109,09",36,"0,20","180,00",17,"0,13","130,77",17,"0,05","340,00"
52,"0,38","136,84",51,"0,18","283,33",49,"0,26","188,46",52,"0,08","650,00",35,"0,32","109,38",33,"0,18","183,33",17,"0,12","141,67",17,"0,05","340,00"
50,"0,37","135,14",53,"0,19","278,95",48,"0,25","192,00",54,"0,08","675,00",36,"0,34","105,88",34,"0,19","178,95",16,"0,11","145,45",17,"0,06","283,33"
50,"0,38","131,58",53,"0,20","265,00",53,"0,28","189,29",54,"0,08","675,00",24,"0,23","104,35",36,"0,19","189,47",17,"0,12","141,67",16,"0,05","320,00"
51,"0,40","127,50",51,"0,20","255,00",52,"0,25","208,00",51,"0,07","728,57",35,"0,31","112,90",36,"0,19","189,47",17,"0,13","130,77",17,"0,06","283,33"
50,"0,36","138,89",53,"0,19","278,95",36,"0,20","180,00",54,"0,08","675,00",36,"0,34","105,88",34,"0,19","178,95",15,"0,11","136,36",17,"0,06","283,33"
51,"0,37","137,84",52,"0,19","273,68",52,"0,27","192,59",55,"0,07","785,71",28,"0,27","103,70",36,"0,20","180,00",17,"0,12","141,67",16,"0,05","320,00"
52,"0,38","136,84",52,"0,20","260,00",53,"0,27","196,30",50,"0,07","714,29",35,"0,31","112,90",36,"0,20","180,00",17,"0,12","141,67",18,"0,05","360,00"
49,"0,35","140,00",53,"0,19","278,95",35,"0,18","194,44",50,"0,07","714,29",35,"0,32","109,38",35,"0,18","194,44",16,"0,11","145,45",17,"0,06","283,33"
51,"0,38","134,21",51,"0,19","268,42",53,"0,27","196,30",55,"0,08","687,50",34,"0,32","106,25",36,"0,20","180,00",16,"0,12","133,33",16,"0,05","320,00"
52,"0,38","136,84",53,"0,19","278,95",52,"0,29","179,31",54,"0,07","771,43",36,"0,35","102,86",35,"0,19","184,21",17,"0,12","141,67",18,"0,07","257,14"
48,"0,37","129,73",53,"0,20","265,00",35,"0,18","194,44",51,"0,07","728,57",35,"0,33","106,06",35,"0,20","175,00",17,"0,12","141,67",17,"0,05","340,00"
