mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
32;51;48;51;25;24;17;18
51;54;34;54;36;36;13;18
50;42;51;44;34;37;18;13
42;54;50;51;33;31;18;17
47;54;34;54;35;36;15;18
50;51;50;53;35;36;18;17
51;54;50;52;32;34;17;17
48;55;43;54;33;36;17;17
50;50;50;52;35;36;17;18
50;50;50;53;35;34;18;17
49;54;48;54;33;36;17;17
50;55;50;52;35;37;18;17
49;51;51;53;34;33;17;17
49;54;46;54;34;34;17;18
50;53;47;51;35;36;18;17
48;53;50;55;34;35;18;19
50;54;50;53;34;35;16;17
51;52;48;50;35;36;17;16
47;53;50;51;33;35;18;17
51;54;50;54;35;35;18;18
50;52;48;54;35;37;18;18
47;54;50;51;32;34;17;18
47;54;49;54;33;36;18;19
50;51;49;53;35;36;17;18
50;55;51;52;34;34;18;17
48;54;48;54;24;36;17;19
51;50;50;52;35;36;18;17
49;50;50;53;35;34;18;18
49;55;47;54;23;34;17;19
50;54;46;52;35;36;18;17
49;51;50;53;35;36;18;18
49;54;51;54;24;34;16;19
50;53;47;51;35;36;16;17
48;53;50;55;35;36;18;18
50;54;50;54;27;35;18;18
51;52;48;50;35;36;17;17
47;53;50;50;35;35;18;19
47;54;50;54;32;35;17;18
50;52;48;54;32;36;17;17
50;54;50;51;35;35;17;17
34;54;49;54;35;35;16;18
51;51;49;53;24;37;17;17
50;50;50;52;35;34;18;19
34;54;48;54;35;36;17;19
51;54;50;53;23;36;17;16
50;37;50;52;35;33;18;18
34;54;47;54;35;34;16;18
50;54;46;52;24;36;18;17
51;37;50;53;35;36;18;18
40;54;51;54;35;34;16;19
