rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
452;445;450;311;428;404;460;453;457;275;280;267;40;28;38
312;446;454;498;458;493;325;444;422;291;292;290;40;39;30
443;300;340;500;491;499;484;450;482;199;241;249;27;40;38
451;446;418;346;488;465;486;483;488;287;272;284;38;36;39
428;447;452;490;467;462;344;485;456;293;294;279;39;36;37
450;300;450;498;491;498;474;455;445;202;289;278;39;40;40
450;441;301;475;482;498;485;477;484;285;277;292;37;37;38
424;445;452;497;475;336;466;477;488;293;295;288;39;38;36
415;300;449;500;493;499;486;459;330;280;286;275;38;39;36
451;446;306;468;478;499;489;483;486;287;279;271;39;36;39
454;445;452;457;481;337;456;469;487;287;294;291;40;38;39
303;382;451;500;491;496;448;467;328;268;287;292;38;38;36
451;446;306;501;469;498;491;482;485;266;284;198;40;37;40
453;444;457;336;488;335;485;456;486;297;285;290;40;40;36
304;418;449;498;491;497;324;480;328;297;270;290;37;38;38
453;410;357;499;460;499;488;477;487;195;285;196;40;35;38
451;445;446;336;450;394;487;448;484;294;281;291;40;38;36
303;442;453;498;489;487;325;441;382;290;271;289;36;38;37
451;302;428;500;491;498;486;482;475;193;261;197;36;37;40
455;443;454;335;330;473;488;477;485;290;288;291;40;34;37
352;448;453;500;492;494;331;324;464;287;291;283;38;39;38
441;301;425;498;492;498;487;477;483;199;196;225;38;39;38
452;445;417;390;331;469;486;480;486;291;288;288;38;37;37
428;446;457;489;490;461;385;326;457;294;289;288;39;37;39
452;302;451;500;492;499;476;484;444;235;196;280;38;39;38
450;445;307;477;333;499;485;480;482;278;288;292;40;37;35
420;445;450;499;490;336;466;324;485;295;287;288;39;36;37
416;352;450;499;489;498;483;482;329;279;191;270;38;37;39
452;436;305;468;388;498;490;483;484;290;292;267;41;36;40
454;448;453;458;478;335;455;378;483;291;284;287;37;38;36
303;430;453;502;493;499;445;469;328;274;231;292;40;38;40
454;442;306;499;470;500;487;479;483;268;283;193;41;38;40
452;445;455;339;487;334;487;455;487;296;288;289;36;38;38
304;417;455;503;491;497;328;475;326;294;281;292;40;38;40
452;411;357;502;462;497;485;480;487;198;278;197;41;39;36
451;447;446;337;451;390;487;453;486;294;295;287;35;39;37
305;449;452;503;493;486;326;442;384;295;272;286;38;36;39
454;298;430;502;491;495;484;481;473;195;267;195;39;37;36
449;448;450;335;330;475;486;475;485;297;284;289;39;39;40
352;450;449;501;493;494;329;320;463;294;289;290;37;39;39
444;298;421;499;490;498;484;482;478;195;192;230;39;38;37
451;450;417;392;332;463;486;478;489;287;284;283;39;39;40
429;452;448;489;492;452;385;322;454;293;276;294;38;38;39
453;299;451;501;491;494;474;483;437;232;195;276;39;37;37
453;449;305;475;331;493;487;482;482;277;290;289;36;39;37
421;447;450;497;490;334;466;324;483;287;287;287;39;38;39
416;351;450;501;491;498;482;486;325;283;197;274;40;38;38
452;439;304;470;387;493;487;481;483;292;282;270;37;38;36
452;447;450;458;479;330;456;382;484;293;283;293;39;38;39
305;422;454;503;492;493;446;467;329;275;227;290;38;37;38
