rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1240;1646;1126;2084;2341;3291;2752;2467;2602;621;488;519;39;38;39
1388;894;2094;3341;2247;3029;2378;2664;2622;288;383;429;32;37;32
1142;1557;1777;2334;4099;2736;2389;2283;2655;505;543;567;41;32;39
2081;1088;1887;2896;2893;3560;1621;1472;2338;582;609;512;41;40;40
1234;1468;1412;2602;2190;2844;1813;2106;2597;444;516;444;38;37;37
1182;2207;1931;1654;2547;1748;2598;1881;2568;522;576;498;39;38;40
2064;1367;1493;2630;1945;2962;2293;2325;2615;428;531;551;41;38;43
1658;1332;1509;1792;2418;2889;1842;1328;2662;518;558;467;43;42;40
1784;1958;2036;1654;2746;2215;2469;1836;2941;539;399;554;40;40;38
1818;1785;1718;2469;2270;2612;3348;3413;3223;546;500;566;38;27;41
2047;1528;1610;1559;1849;3845;2877;1174;3742;577;456;398;41;42;39
1355;1477;1899;2183;2707;3256;3368;1883;2882;556;396;524;39;41;38
1686;1911;1588;3296;2133;3324;2242;1823;1794;543;548;594;42;27;42
1762;1805;2040;2614;2015;2618;2607;1941;1814;589;524;490;40;37;41
868;1744;1763;2970;2708;3861;2328;2182;2309;584;402;549;42;40;38
1078;1610;1967;2244;2206;2851;1996;2223;2674;484;493;537;40;28;42
1502;1524;1708;1899;2753;2454;2906;2132;1405;417;420;603;40;36;41
1302;1361;1377;2105;2402;2023;2242;2116;2653;497;360;378;40;42;35
920;1331;1699;742;1910;3158;2011;2223;2179;563;494;513;41;32;42
1669;1568;1872;2752;2011;2574;3284;2387;3644;452;619;406;40;40;40
1534;850;2427;3123;2755;3448;2686;1404;2307;514;456;410;39;43;41
1487;1498;1276;1682;2229;2398;1941;2992;3488;538;549;474;42;38;41
2260;1499;1793;2433;2404;3080;3165;2249;2289;520;534;580;42;41;40
1515;1360;1773;2421;3026;2697;3898;1855;1737;350;575;415;40;42;41
893;1746;1637;2170;2625;3076;3951;2647;1918;488;572;489;41;37;41
1793;1568;1767;1758;2866;2391;2963;2234;2637;601;574;545;41;43;40
1215;945;1869;2976;1955;3449;1973;1358;2143;279;551;418;39;42;41
1622;1664;1812;1780;2650;2627;1730;1589;1847;601;549;524;43;39;39
1501;1577;1798;2490;2805;1974;1648;2728;2447;547;597;625;42;40;37
1383;930;1826;2784;3575;2856;2249;2166;975;288;549;588;39;42;38
1942;1667;1769;2249;2260;4012;2368;2532;2575;520;314;588;38;42;38
2031;1627;1571;3095;2246;2047;2403;1924;2129;472;563;533;38;37;43
1450;1077;1880;4199;1983;2688;2462;1358;1957;361;454;506;40;42;39
1382;1508;1924;3496;2242;4178;2615;2324;2370;512;285;385;42;40;40
1619;1982;1441;2888;3013;2131;2702;2279;2511;606;568;514;37;38;41
1499;1986;1912;2228;2032;2869;2879;2152;1595;594;542;401;40;42;39
1684;1106;1523;2933;2216;2597;2340;1995;2496;480;342;368;38;37;42
1146;1528;2059;3653;2984;2234;1772;1621;2838;557;582;554;37;37;35
1535;1634;1059;2756;2223;3115;2092;2088;2523;509;457;601;39;42;41
2439;1504;1869;2452;2265;3937;2048;1998;2450;333;350;390;41;40;40
1576;1757;1604;2713;2052;2058;2549;2763;3043;537;458;542;40;43;40
1787;1774;2026;2563;2499;2879;2043;2297;2544;393;626;554;39;42;40
2075;1429;1665;3527;3049;3189;1639;2258;1810;397;519;418;42;38;42
1369;880;1539;2901;2884;1159;3199;1756;2979;549;566;618;40;36;37
1115;2318;1349;2495;2332;2978;3271;2143;2364;590;583;470;39;41;42
1292;2362;2094;2891;3331;3559;2669;2352;917;294;509;348;39;37;41
1464;1800;1099;2569;3283;2472;3634;3271;2615;532;524;491;41;38;38
2125;1616;1714;2473;3106;3749;2592;2482;2587;456;543;597;38;38;38
1808;1606;833;2415;2306;3216;2301;2566;2509;358;370;481;43;39;35
1849;1740;1163;2421;2744;3231;2040;2783;2259;613;496;585;39;38;37
