ecdsa-secp384,P-521,,ecdsa-secp384,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
389,"5,55","70,09",771,"4,53","170,20",376,"3,65","103,01",2532,"2,46","1029,27",481,"4,27","112,65",2072,"2,11","981,99",175,"2,34","74,79",205,"1,04","197,12",15,"0,19","78,95",25,"0,09","277,78"
386,"5,59","69,05",471,"2,79","168,82",581,"5,35","108,60",1376,"1,34","1026,87",626,"5,67","110,41",1900,"1,84","1032,61",190,"2,61","72,80",251,"1,24","202,42",28,"0,33","84,85",22,"0,08","275,00"
452,"6,43","70,30",834,"4,94","168,83",537,"4,99","107,62",2943,"2,87","1025,44",547,"5,26","103,99",2494,"2,62","951,91",153,"2,01","76,12",210,"1,06","198,11",27,"0,33","81,82",29,"0,11","263,64"
395,"5,74","68,82",874,"5,18","168,73",298,"2,70","110,37",3139,"3,16","993,35",456,"4,38","104,11",1982,"2,00","991,00",178,"2,46","72,36",212,"1,10","192,73",19,"0,22","86,36",25,"0,08","312,50"
366,"5,41","67,65",805,"4,93","163,29",473,"4,53","104,42",2530,"2,39","1058,58",499,"4,73","105,50",2482,"2,52","984,92",182,"2,38","76,47",252,"1,28","196,88",27,"0,32","84,38",25,"0,11","227,27"
429,"5,83","73,58",731,"4,52","161,73",534,"5,29","100,95",3213,"3,07","1046,58",635,"5,66","112,19",2552,"2,64","966,67",202,"2,58","78,29",213,"1,22","174,59",26,"0,32","81,25",26,"0,10","260,00"
361,"5,23","69,02",884,"5,69","155,36",576,"5,62","102,49",3456,"3,27","1056,88",554,"5,30","104,53",2396,"2,52","950,79",143,"1,87","76,47",225,"1,15","195,65",18,"0,22","81,82",28,"0,10","280,00"
358,"5,16","69,38",1054,"6,14","171,66",579,"5,73","101,05",2071,"2,02","1025,25",466,"4,45","104,72",1694,"1,65","1026,67",194,"2,63","73,76",245,"1,26","194,44",27,"0,31","87,10",28,"0,11","254,55"
321,"4,64","69,18",758,"4,54","166,96",596,"6,23","95,67",2761,"2,62","1053,82",529,"5,05","104,75",2608,"2,63","991,63",201,"2,55","78,82",243,"1,28","189,84",27,"0,32","84,38",25,"0,11","227,27"
470,"6,36","73,90",1005,"6,15","163,41",523,"5,35","97,76",3140,"3,05","1029,51",587,"5,69","103,16",2612,"2,68","974,63",183,"2,55","71,76",161,"0,85","189,41",24,"0,29","82,76",29,"0,11","263,64"
374,"5,15","72,62",905,"5,69","159,05",586,"5,75","101,91",2807,"2,76","1017,03",416,"3,82","108,90",1781,"1,80","989,44",183,"2,44","75,00",249,"1,28","194,53",27,"0,33","81,82",27,"0,10","270,00"
311,"4,35","71,49",813,"4,80","169,38",663,"6,16","107,63",1867,"1,87","998,40",465,"4,15","112,05",2235,"2,32","963,36",199,"2,55","78,04",224,"1,19","188,24",26,"0,31","83,87",28,"0,10","280,00"
