ecdsa-secp384 - P-384;ecdsa-secp384 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
497;881;626;1281;239;276;24;16
549;1170;642;783;282;390;25;25
705;737;840;1115;223;305;19;24
311;737;580;1028;328;276;25;23
613;911;622;751;260;296;24;25
648;533;511;1042;312;314;21;26
389;1308;616;1909;258;383;24;23
560;783;1017;763;280;227;20;26
614;770;506;1195;316;270;22;24
555;639;585;947;279;351;23;24
526;954;578;1196;245;357;23;26
615;981;719;1238;187;282;21;24
504;705;501;666;270;221;21;22
478;1119;862;1082;281;340;25;24
463;1039;538;950;174;410;21;27
590;1002;807;1218;288;409;22;24
552;983;681;988;313;292;23;25
800;1007;352;955;83;374;24;26
577;795;679;1928;298;348;22;25
611;844;799;908;280;351;24;25
537;1120;363;750;190;342;23;25
500;994;770;764;283;247;24;25
575;736;661;1250;284;256;26;24
759;606;486;1858;197;298;23;26
442;618;744;1229;278;427;24;23
571;1074;699;703;313;355;25;27
600;954;621;1109;291;313;22;24
580;558;601;883;258;346;23;22
520;879;566;1543;247;264;19;26
561;1268;404;1666;299;381;23;23
515;1175;480;892;249;228;23;23
549;1007;773;782;264;354;24;26
611;869;576;1418;232;426;22;25
467;1151;795;1336;306;307;22;23
616;909;711;1647;284;279;25;25
370;821;528;1191;279;382;23;25
512;1066;778;917;254;277;23;26
665;1017;687;965;259;350;24;25
599;541;434;928;305;318;22;26
499;1074;519;679;299;375;23;24
511;825;648;1238;279;296;25;26
580;909;684;893;286;347;23;26
508;1478;683;1364;313;349;23;24
614;868;538;1209;306;252;24;26
416;562;616;395;294;363;25;27
648;598;689;1160;334;255;21;23
610;943;776;1801;286;252;24;24
581;723;994;1301;283;352;23;25
630;591;495;1160;255;315;23;26
393;839;877;1448;345;225;26;25
