rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
706,"0,75","941,33",430,"0,42","1023,81",279,"0,29","962,07",825,"0,73","1130,14",982,"1,01","972,28",468,"0,46","1017,39",498,"0,42","1185,71",760,"0,83","915,66",369,"0,35","1054,29",409,"1,80","227,22",188,"0,88","213,64",222,"0,76","292,11",37,"0,10","370,00",32,"0,09","355,56",34,"0,09","377,78"
297,"0,32","928,12",635,"0,87","729,89",580,"0,50","1160,00",305,"0,30","1016,67",916,"0,92","995,65",587,"0,64","917,19",803,"0,66","1216,67",603,"0,58","1039,66",772,"0,64","1206,25",308,"1,17","263,25",373,"1,80","207,22",377,"1,29","292,25",40,"0,10","400,00",34,"0,10","340,00",31,"0,07","442,86"
699,"0,69","1013,04",586,"0,65","901,54",678,"0,58","1168,97",1051,"0,90","1167,78",616,"0,64","962,50",1217,"1,16","1049,14",682,"0,60","1136,67",354,"0,39","907,69",710,"0,70","1014,29",389,"1,73","224,86",345,"1,48","233,11",349,"1,37","254,74",26,"0,07","371,43",40,"0,12","333,33",39,"0,10","390,00"
1067,"0,96","1111,46",822,"0,97","847,42",677,"0,58","1167,24",624,"0,51","1223,53",546,"0,59","925,42",666,"0,73","912,33",1018,"0,87","1170,11",600,"0,68","882,35",458,"0,41","1117,07",461,"1,97","234,01",266,"1,26","211,11",219,"0,93","235,48",39,"0,11","354,55",38,"0,11","345,45",41,"0,11","372,73"
493,"0,45","1095,56",549,"0,64","857,81",635,"0,58","1094,83",492,"0,43","1144,19",846,"0,93","909,68",996,"0,99","1006,06",599,"0,51","1174,51",1169,"1,27","920,47",527,"0,46","1145,65",264,"1,11","237,84",327,"1,51","216,56",436,"1,70","256,47",32,"0,08","400,00",39,"0,10","390,00",36,"0,10","360,00"
714,"0,76","939,47",330,"0,42","785,71",617,"0,50","1234,00",1039,"0,86","1208,14",784,"0,81","967,90",763,"0,72","1059,72",784,"0,64","1225,00",444,"0,42","1057,14",1005,"1,00","1005,00",365,"1,46","250,00",426,"1,52","280,26",392,"1,35","290,37",25,"0,07","357,14",41,"0,10","410,00",32,"0,09","355,56"
766,"0,62","1235,48",589,"0,76","775,00",826,"0,72","1147,22",1079,"0,92","1172,83",761,"0,80","951,25",686,"0,67","1023,88",496,"0,43","1153,49",1145,"1,22","938,52",732,"0,61","1200,00",292,"1,13","258,41",460,"1,88","244,68",193,"0,76","253,95",38,"0,10","380,00",39,"0,11","354,55",39,"0,09","433,33"
721,"0,58","1243,10",873,"1,07","815,89",228,"0,18","1266,67",765,"0,66","1159,09",800,"0,80","1000,00",602,"0,57","1056,14",964,"0,83","1161,45",782,"0,85","920,00",1043,"0,93","1121,51",396,"1,67","237,13",420,"1,70","247,06",314,"1,26","249,21",33,"0,09","366,67",35,"0,10","350,00",29,"0,08","362,50"
479,"0,52","921,15",850,"1,09","779,82",748,"0,64","1168,75",569,"0,48","1185,42",886,"0,89","995,51",703,"0,68","1033,82",871,"0,73","1193,15",715,"0,76","940,79",1136,"1,08","1051,85",252,"1,07","235,51",381,"1,53","249,02",387,"1,59","243,40",35,"0,09","388,89",42,"0,11","381,82",39,"0,10","390,00"
625,"0,64","976,56",918,"1,22","752,46",489,"0,46","1063,04",574,"0,48","1195,83",607,"0,60","1011,67",682,"0,62","1100,00",719,"0,67","1073,13",463,"0,53","873,58",377,"0,37","1018,92",232,"1,04","223,08",411,"1,73","237,57",407,"1,38","294,93",40,"0,11","363,64",38,"0,11","345,45",37,"0,10","370,00"
842,"0,69","1220,29",863,"1,03","837,86",946,"0,84","1126,19",703,"0,62","1133,87",505,"0,50","1010,00",780,"0,83","939,76",527,"0,51","1033,33",925,"0,98","943,88",768,"0,66","1163,64",399,"1,53","260,78",339,"1,36","249,26",309,"1,21","255,37",40,"0,10","400,00",36,"0,10","360,00",36,"0,09","400,00"
