ecdsa-secp384,P-384,,ecdsa-secp384,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
500,"3,54","141,24",476,"1,51","315,23",579,"2,55","227,06",1305,"1,13","1154,87",155,"1,43","108,39",287,"1,28","224,22",22,"0,15","146,67",23,"0,06","383,33"
371,"2,68","138,43",699,"2,14","326,64",409,"1,68","243,45",908,"0,83","1093,98",226,"2,02","111,88",165,"0,76","217,11",14,"0,10","140,00",22,"0,07","314,29"
430,"2,99","143,81",392,"1,20","326,67",431,"1,82","236,81",285,"0,26","1096,15",285,"2,55","111,76",217,"0,96","226,04",23,"0,17","135,29",18,"0,06","300,00"
338,"2,36","143,22",603,"1,87","322,46",653,"2,71","240,96",829,"0,77","1076,62",161,"1,51","106,62",273,"1,21","225,62",22,"0,15","146,67",26,"0,08","325,00"
452,"3,14","143,95",588,"1,74","337,93",502,"2,23","225,11",566,"0,53","1067,92",218,"1,86","117,20",331,"1,46","226,71",16,"0,11","145,45",25,"0,08","312,50"
280,"1,98","141,41",711,"2,16","329,17",503,"2,26","222,57",535,"0,51","1049,02",237,"2,03","116,75",152,"0,69","220,29",21,"0,14","150,00",18,"0,05","360,00"
455,"3,13","145,37",733,"2,15","340,93",512,"2,22","230,63",949,"0,85","1116,47",175,"1,54","113,64",332,"1,48","224,32",25,"0,17","147,06",26,"0,08","325,00"
396,"2,97","133,33",664,"1,97","337,06",366,"1,63","224,54",1045,"0,97","1077,32",263,"2,30","114,35",294,"1,35","217,78",22,"0,14","157,14",26,"0,08","325,00"
372,"2,56","145,31",903,"2,70","334,44",434,"1,91","227,23",1011,"0,95","1064,21",279,"2,60","107,31",303,"1,32","229,55",26,"0,17","152,94",17,"0,05","340,00"
198,"1,49","132,89",409,"1,26","324,60",645,"2,88","223,96",1089,"0,98","1111,22",157,"1,55","101,29",405,"1,84","220,11",25,"0,16","156,25",25,"0,07","357,14"
398,"2,73","145,79",410,"1,34","305,97",405,"1,82","222,53",621,"0,57","1089,47",151,"1,50","100,67",239,"1,06","225,47",21,"0,14","150,00",25,"0,07","357,14"
