ecdsa-secp384 - P-521;ecdsa-secp384 - mlkem1024;mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
274;187;320;396;178;509;185;174;28;28
198;282;195;538;316;449;179;102;21;28
270;481;285;623;299;455;112;153;26;19
291;261;389;383;182;257;185;239;28;28
331;521;264;472;255;603;97;181;26;28
313;449;268;768;314;569;87;131;26;27
297;381;309;377;169;380;167;192;26;26
283;434;275;533;381;457;164;140;24;28
271;600;374;605;212;394;112;142;27;25
167;306;221;377;294;291;157;213;28;28
147;615;302;650;240;536;170;165;28;29
279;366;285;741;362;262;167;191;25;28
248;287;258;423;309;856;175;232;26;27
298;419;267;652;297;487;155;157;24;29
249;580;392;545;329;333;130;122;25;28
354;348;307;188;288;629;139;194;29;28
363;332;367;611;301;251;121;187;26;29
332;367;290;507;189;700;193;128;29;27
300;432;268;405;358;462;199;155;25;28
346;395;410;651;364;394;168;198;26;26
406;706;397;973;308;230;178;131;24;27
298;290;330;328;303;976;167;238;29;27
168;322;253;610;467;586;162;211;28;24
308;344;428;526;328;617;138;91;26;26
272;362;384;345;343;550;152;197;27;20
128;438;340;476;320;652;127;193;24;28
307;408;278;596;320;513;151;160;25;29
249;504;321;435;241;490;90;232;28;20
180;331;292;343;330;760;160;152;27;26
328;364;316;410;244;278;141;94;25;26
249;367;307;669;264;689;126;186;26;16
246;500;346;279;341;538;148;184;27;26
244;420;390;417;336;386;157;159;28;29
363;606;307;849;272;814;104;148;28;23
265;325;253;574;285;711;153;206;26;28
195;395;248;320;269;532;157;204;25;24
275;594;338;385;313;572;134;153;28;28
221;116;331;582;308;703;153;228;26;28
239;319;352;300;171;482;168;218;27;29
171;587;289;670;268;600;182;112;25;24
293;367;350;615;405;705;190;215;28;28
270;295;363;616;370;423;185;185;27;30
170;453;316;386;174;526;137;119;26;24
206;283;254;527;309;567;154;157;27;29
205;446;349;876;266;763;174;183;25;26
232;565;134;367;224;560;173;198;28;27
241;267;237;128;325;585;171;136;26;27
346;349;411;409;406;430;157;188;28;30
262;556;335;681;238;580;110;140;28;27
184;275;331;151;194;524;160;186;27;25
