rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1466,"5,85","250,60",910,"3,74","243,32",1517,"5,84","259,76",4338,"5,57","778,82",3423,"4,85","705,77",4712,"5,84","806,85",2387,"3,77","633,16",3358,"5,72","587,06",3484,"5,55","627,75",182,"3,93","46,31",288,"5,88","48,98",285,"5,69","50,09",14,"4,07","3,44",21,"6,04","3,48",20,"5,89","3,40"
1525,"5,75","265,22",1524,"6,04","252,32",1091,"4,08","267,40",4713,"6,10","772,62",3941,"5,59","705,01",4969,"6,19","802,75",3978,"5,89","675,38",3183,"5,24","607,44",3967,"5,92","670,10",315,"6,36","49,53",224,"4,46","50,22",314,"6,28","50,00",21,"6,32","3,32",22,"6,24","3,53",16,"4,62","3,46"
1202,"4,39","273,80",1479,"6,16","240,10",1546,"6,00","257,67",4041,"5,18","780,12",4331,"6,07","713,51",3348,"4,14","808,70",3857,"5,99","643,91",3534,"6,00","589,00",3310,"4,90","675,51",307,"6,54","46,94",313,"6,24","50,16",257,"5,40","47,59",21,"6,04","3,48",14,"3,99","3,51",20,"5,93","3,37"
1467,"5,53","265,28",1000,"4,02","248,76",1564,"5,90","265,08",4919,"5,98","822,58",4312,"6,12","704,58",5050,"6,17","818,48",2683,"4,18","641,87",3646,"6,13","594,78",3484,"5,48","635,77",214,"4,24","50,47",306,"6,47","47,30",294,"6,48","45,37",20,"5,61","3,57",21,"6,08","3,45",20,"5,99","3,34"
1608,"5,94","270,71",1470,"5,76","255,21",1410,"5,11","275,93",4735,"5,97","793,13",2866,"4,12","695,63",4930,"6,04","816,23",3855,"5,88","655,61",3489,"5,69","613,18",3888,"5,97","651,26",314,"6,37","49,29",306,"6,01","50,92",309,"6,14","50,33",20,"5,73","3,49",21,"6,02","3,49",21,"6,12","3,43"
1572,"5,98","262,88",1508,"6,04","249,67",1514,"5,94","254,88",4542,"5,78","785,81",4336,"6,22","697,11",3310,"4,16","795,67",3921,"6,01","652,41",3300,"5,54","595,67",3964,"5,96","665,10",320,"6,46","49,54",317,"6,26","50,64",295,"6,00","49,17",21,"6,19","3,39",20,"5,89","3,40",20,"5,73","3,49"
1514,"5,70","265,61",1058,"4,01","263,84",1536,"5,96","257,72",4539,"5,67","800,53",4450,"6,08","731,91",5029,"6,09","825,78",3765,"5,61","671,12",3601,"6,00","600,17",3632,"5,64","643,97",219,"4,42","49,55",310,"6,45","48,06",284,"5,79","49,05",22,"6,33","3,48",21,"6,27","3,35",21,"6,17","3,40"
1604,"5,92","270,95",1581,"5,91","267,51",1513,"5,70","265,44",4795,"6,14","780,94",2889,"4,21","686,22",4916,"6,12","803,27",3930,"5,92","663,85",3719,"6,04","615,73",3926,"6,03","651,08",308,"6,26","49,20",299,"5,98","50,00",311,"6,28","49,52",19,"5,62","3,38",20,"5,82","3,44",21,"5,98","3,51"
1580,"5,92","266,89",1544,"6,02","256,48",1374,"5,50","249,82",4741,"5,99","791,49",4351,"6,09","714,45",3439,"4,38","785,16",3923,"6,04","649,50",2386,"4,10","581,95",3939,"5,93","664,25",316,"6,42","49,22",297,"5,81","51,12",319,"6,36","50,16",22,"6,15","3,58",20,"5,77","3,47",21,"5,92","3,55"
