rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
1053,75;940,29;1202,52;1162,78;904,27;1106,90;1292,66;1104,97;1232,45;264,50;220,81;243,98;420,00;400,00;433,33
1014,37;933,68;1158,63;1098,10;930,36;1104,45;1267,98;1060,53;1208,98;249,00;243,70;253,18;440,00;455,56;440,00
1098,44;966,49;1138,28;1114,09;866,19;1091,38;1264,10;1028,85;1221,24;255,81;249,81;273,22;400,00;358,33;457,14
1234,57;997,47;1188,82;1164,39;902,22;1084,43;1276,97;1094,54;1143,49;250,19;227,46;248,83;444,44;410,00;430,00
1153,77;962,23;1147,98;1143,64;957,93;1078,57;1275,35;1049,25;1206,74;259,38;245,04;252,87;390,91;390,91;488,89
1019,49;1018,13;1122,73;1111,94;922,54;1077,02;1283,00;1067,30;1210,45;248,84;248,87;249,79;430,00;381,82;444,44
1055,69;945,45;1202,35;1120,93;999,85;1093,08;1266,41;1108,02;1219,88;249,81;228,08;249,22;455,56;381,82;410,00
1019,23;1049,27;1126,34;1163,46;974,61;1101,14;1272,48;1043,26;1196,17;257,59;243,28;255,91;440,00;390,91;440,00
1020,00;1040,22;1199,19;1156,26;939,19;1027,76;1257,26;1055,33;1174,44;236,81;251,72;261,18;466,67;358,33;381,82
1100,40;991,88;1162,66;1145,11;968,98;1073,52;1278,00;1095,70;1251,73;254,62;228,00;249,23;381,82;372,73;466,67
991,05;1050,55;1171,62;1132,22;984,03;1104,63;1261,12;1072,02;1216,85;263,60;236,11;256,69;440,00;358,33;390,91
985,16;1059,57;1158,89;1157,20;961,74;1078,45;1274,93;1049,53;1210,13;260,08;245,69;248,28;420,00;390,91;381,82
1165,02;1020,15;1187,40;1134,63;965,64;1081,71;1290,35;1062,01;1191,96;250,00;233,46;256,69;420,00;400,00;420,00
1154,47;1063,94;1200,60;1159,92;979,26;1070,36;1260,19;1118,99;1209,86;264,96;227,22;259,92;390,91;363,64;430,00
1163,87;1022,96;1170,40;1132,59;954,30;1087,03;1265,71;1060,49;1213,98;257,98;249,05;255,56;500,00;358,33;466,67
1167,84;1059,18;1158,96;1139,72;970,26;1095,31;1298,82;1025,42;1200,94;238,14;237,64;255,25;381,82;358,33;390,91
1060,67;1048,36;1179,41;1172,12;924,40;1074,25;1328,94;1092,90;1207,13;265,74;242,37;251,17;400,00;381,82;430,00
1010,38;1047,73;1152,92;1074,69;986,83;1113,85;1227,92;1072,18;1190,98;250,00;240,37;255,28;444,44;420,00;410,00
