secp384r1,P-384,,secp384r1,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
576,"5,34","107,87",1025,"6,10","168,03",853,"4,33","197,00",5109,"6,73","759,14",202,"6,44","31,37",179,"5,10","35,10",13,"6,44","2,02",14,"6,50","2,15"
706,"6,75","104,59",960,"5,46","175,82",1313,"6,53","201,07",4262,"5,41","787,80",222,"6,93","32,03",216,"6,07","35,58",12,"5,59","2,15",12,"5,63","2,13"
740,"6,91","107,09",1012,"6,05","167,27",1270,"6,41","198,13",5201,"6,71","775,11",221,"6,95","31,80",238,"6,54","36,39",13,"6,09","2,13",9,"4,35","2,07"
726,"6,56","110,67",1125,"6,52","172,55",1026,"5,33","192,50",5650,"7,31","772,91",221,"6,86","32,22",230,"6,55","35,11",13,"6,27","2,07",12,"5,84","2,05"
728,"6,84","106,43",1143,"6,54","174,77",1212,"6,28","192,99",5776,"7,13","810,10",215,"6,92","31,07",158,"4,46","35,43",12,"5,69","2,11",12,"6,09","1,97"
744,"6,86","108,45",751,"4,40","170,68",1353,"6,58","205,62",3842,"4,89","785,69",218,"6,87","31,73",234,"6,56","35,67",13,"6,25","2,08",11,"5,41","2,03"
717,"6,45","111,16",1123,"6,52","172,24",1315,"6,55","200,76",5627,"7,32","768,72",213,"6,83","31,19",230,"6,65","34,59",12,"5,72","2,10",13,"6,14","2,12"
674,"6,30","106,98",1138,"6,58","172,95",1213,"6,21","195,33",5812,"7,06","823,23",211,"6,93","30,45",159,"4,41","36,05",13,"5,99","2,17",13,"6,14","2,12"
745,"6,82","109,24",747,"4,39","170,16",1304,"6,60","197,58",3778,"4,89","772,60",212,"6,86","30,90",239,"6,61","36,16",13,"5,98","2,17",12,"5,52","2,17"
772,"6,88","112,21",1084,"6,54","165,75",1268,"6,29","201,59",5894,"7,03","838,41",209,"6,93","30,16",229,"6,63","34,54",13,"6,22","2,09",13,"6,28","2,07"
497,"4,62","107,58",1147,"6,57","174,58",1307,"6,52","200,46",5559,"7,30","761,51",212,"6,93","30,59",158,"4,43","35,67",13,"6,16","2,11",13,"6,20","2,10"
735,"6,87","106,99",777,"4,41","176,19",1306,"6,65","196,39",3863,"4,86","794,86",214,"6,92","30,92",232,"6,60","35,15",13,"6,08","2,14",11,"5,66","1,94"
762,"6,86","111,08",1021,"6,50","157,08",1206,"6,38","189,03",5707,"7,25","787,17",224,"6,83","32,80",230,"6,54","35,17",12,"5,72","2,10",13,"6,20","2,10"
500,"4,60","108,70",1023,"6,46","158,36",1325,"6,37","208,01",5606,"7,10","789,58",220,"6,94","31,70",184,"5,21","35,32",13,"6,02","2,16",13,"6,04","2,15"
732,"6,83","107,17",805,"5,05","159,41",1309,"6,74","194,21",4355,"5,63","773,53",221,"6,83","32,36",231,"6,43","35,93",13,"5,99","2,17",12,"5,59","2,15"
757,"6,92","109,39",1002,"6,38","157,05",1200,"6,09","197,04",5600,"7,00","800,00",220,"6,89","31,93",222,"6,60","33,64",13,"6,19","2,10",13,"6,14","2,12"
494,"4,68","105,56",1060,"6,45","164,34",1198,"5,80","206,55",5631,"7,24","777,76",220,"6,93","31,75",219,"6,15","35,61",12,"5,48","2,19",12,"5,86","2,05"
725,"6,83","106,15",995,"6,18","161,00",1319,"6,54","201,68",5426,"6,93","782,97",223,"6,96","32,04",233,"6,57","35,46",14,"6,43","2,18",12,"5,90","2,03"
733,"6,83","107,32",1039,"6,45","161,09",1354,"6,53","207,35",5588,"7,23","772,89",214,"6,91","30,97",224,"6,60","33,94",13,"6,29","2,07",13,"6,27","2,07"
594,"5,39","110,20",1102,"6,58","167,48",880,"4,26","206,57",5602,"7,36","761,14",213,"6,86","31,05",209,"6,42","32,55",12,"5,61","2,14",13,"6,14","2,12"
731,"6,72","108,78",953,"6,32","150,79",1319,"6,73","195,99",5389,"6,72","801,93",215,"6,87","31,30",216,"6,09","35,47",14,"6,47","2,16",12,"5,89","2,04"
744,"6,80","109,41",997,"5,91","168,70",1337,"6,72","198,96",5184,"6,55","791,45",215,"6,94","30,98",228,"6,55","34,81",12,"5,67","2,12",12,"6,36","1,89"
706,"6,64","106,33",1077,"6,48","166,20",883,"4,39","201,14",5557,"7,31","760,19",212,"6,89","30,77",227,"6,54","34,71",12,"5,68","2,11",12,"5,71","2,10"
718,"6,92","103,76",1102,"6,49","169,80",1337,"6,52","205,06",5617,"6,90","814,06",207,"6,90","30,00",152,"4,35","34,94",13,"6,18","2,10",12,"5,80","2,07"
745,"6,97","106,89",701,"4,41","158,96",1289,"6,51","198,00",3795,"4,88","777,66",220,"6,95","31,65",223,"6,52","34,20",12,"5,93","2,02",12,"5,95","2,02"
712,"6,43","110,73",1059,"6,51","162,67",931,"4,49","207,35",5261,"7,17","733,75",208,"6,99","29,76",228,"6,50","35,08",13,"6,19","2,10",13,"6,45","2,02"
667,"6,27","106,38",1073,"6,52","164,57",1319,"6,57","200,76",5502,"7,08","777,12",213,"6,90","30,87",158,"4,42","35,75",14,"6,56","2,13",11,"5,30","2,08"
751,"6,93","108,37",684,"4,34","157,60",1327,"6,50","204,15",3610,"4,70","768,09",217,"6,99","31,04",225,"6,50","34,62",12,"5,72","2,10",12,"6,06","1,98"
737,"6,83","107,91",1044,"6,53","159,88",1053,"5,03","209,34",5429,"6,97","778,91",220,"6,95","31,65",224,"6,56","34,15",13,"6,21","2,09",12,"5,82","2,06"
492,"4,65","105,81",1067,"6,59","161,91",1285,"6,35","202,36",5436,"7,12","763,48",218,"6,91","31,55",156,"4,31","36,19",13,"6,32","2,06",13,"6,40","2,03"
