secp384r1 - P-384;secp384r1 - mlkem768;mldsa65 - P-384;mldsa65 - mlkem768;sphincssha2192fsimple - P-384;sphincssha2192fsimple - mlkem768;sphincssha2192ssimple - P-384;sphincssha2192ssimple - mlkem768
576;1025;853;5109;202;179;13;14
706;960;1313;4262;222;216;12;12
740;1012;1270;5201;221;238;13;9
726;1125;1026;5650;221;230;13;12
728;1143;1212;5776;215;158;12;12
744;751;1353;3842;218;234;13;11
717;1123;1315;5627;213;230;12;13
674;1138;1213;5812;211;159;13;13
745;747;1304;3778;212;239;13;12
772;1084;1268;5894;209;229;13;13
497;1147;1307;5559;212;158;13;13
735;777;1306;3863;214;232;13;11
762;1021;1206;5707;224;230;12;13
500;1023;1325;5606;220;184;13;13
732;805;1309;4355;221;231;13;12
757;1002;1200;5600;220;222;13;13
494;1060;1198;5631;220;219;12;12
725;995;1319;5426;223;233;14;12
733;1039;1354;5588;214;224;13;13
594;1102;880;5602;213;209;12;13
731;953;1319;5389;215;216;14;12
744;997;1337;5184;215;228;12;12
706;1077;883;5557;212;227;12;12
718;1102;1337;5617;207;152;13;12
745;701;1289;3795;220;223;12;12
712;1059;931;5261;208;228;13;13
667;1073;1319;5502;213;158;14;11
751;684;1327;3610;217;225;12;12
737;1044;1053;5429;220;224;13;12
492;1067;1285;5436;218;156;13;13
745;704;1267;3699;216;231;7;13
758;1049;1244;5609;223;217;13;12
509;1060;1279;5598;223;184;13;12
731;882;1336;4580;217;224;8;13
755;979;1191;5771;222;225;13;12
494;1051;1217;5859;218;217;13;12
731;986;1287;5401;211;228;12;14
756;1024;1326;5738;222;228;13;12
603;1092;895;5656;225;210;13;11
702;1032;1253;5562;217;217;12;13
744;945;1399;5261;104;227;13;13
728;1080;913;5895;222;227;14;12
732;1085;1397;5756;212;157;11;12
763;729;1443;3942;198;223;12;13
706;1050;968;5682;202;234;13;12
675;1109;1437;5923;213;161;13;13
741;781;1446;3806;200;237;12;13
751;1083;1139;5696;146;228;13;11
481;1128;1390;5929;206;161;12;12
744;774;1453;3732;201;236;13;13
757;1115;1373;5704;136;226;13;13
518;1133;1393;5821;212;185;12;12
725;895;1451;4494;206;233;12;13
761;1081;1331;5619;143;235;13;12
525;1152;1275;5808;209;219;12;13
732;1111;1433;5592;210;239;13;13
761;1091;1437;5639;170;230;13;12
612;1152;944;5754;215;216;11;13
687;1100;1438;5459;220;219;12;13
750;1004;1423;5082;206;232;13;12
688;1141;947;5710;212;229;13;13
692;1152;1402;5814;220;160;13;13
731;712;1414;3879;204;237;13;12
704;1081;976;5723;205;227;12;13
640;1152;1457;5852;218;162;13;13
718;782;1487;3793;219;233;13;13
735;1084;1060;5781;145;231;13;13
475;1156;1365;5814;223;157;12;13
697;785;1377;3907;217;240;14;12
719;1118;1246;5810;145;231;12;13
471;1132;1390;5888;226;183;13;13
714;888;1499;4553;213;232;13;13
728;1089;1308;5511;142;230;12;14
485;1148;1243;5740;218;222;13;13
686;1088;1329;5473;206;232;14;11
718;1092;1413;5800;162;233;11;14
594;1135;873;5947;209;222;13;13
679;1086;1352;5298;208;220;13;12
730;1018;1388;5330;205;233;12;12
664;1127;922;5755;220;238;13;13
711;1153;1393;5652;211;153;13;11
742;703;1385;4029;196;234;12;12
696;1105;896;5721;190;235;13;13
641;1097;1360;5888;217;161;13;13
707;709;1400;3833;215;235;12;13
738;1103;1071;5798;153;231;13;12
462;1060;1354;5738;221;162;13;12
702;745;1429;3966;216;234;12;12
735;1044;1345;5534;147;228;13;13
496;1102;1431;5775;222;186;13;12
691;859;1323;4500;216;232;12;12
734;1051;1243;5657;150;226;13;13
473;1104;1207;5921;223;225;13;11
709;1045;1367;5562;212;235;12;13
740;1096;1385;5848;171;231;14;13
591;1137;946;5607;219;216;12;11
698;1014;1334;5349;221;214;12;13
771;955;1343;5407;207;231;13;14
711;1134;920;5705;220;236;13;12
727;1095;1333;5880;212;156;11;12
