secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
329,"6,48","50,77",519,"6,30","82,38",534,"5,30","100,75",4758,"7,49","635,25",369,"3,80","97,11",2497,"5,85","426,84",105,"6,02","17,44",94,"4,70","20,00",14,"6,01","2,33",14,"5,91","2,37"
286,"5,78","49,48",574,"6,65","86,32",676,"6,36","106,29",4341,"6,42","676,17",622,"6,35","97,95",1775,"4,31","411,83",99,"5,74","17,25",113,"5,71","19,79",14,"6,06","2,31",10,"4,26","2,35"
331,"6,65","49,77",386,"4,71","81,95",679,"6,40","106,09",4543,"7,26","625,76",597,"6,22","95,98",2712,"6,28","431,85",114,"6,51","17,51",125,"6,16","20,29",10,"4,36","2,29",14,"6,20","2,26"
357,"6,95","51,37",540,"6,61","81,69",624,"6,17","101,13",4949,"7,69","643,56",409,"4,20","97,38",2692,"6,26","430,03",112,"6,57","17,05",122,"6,14","19,87",14,"5,93","2,36",14,"6,10","2,30"
353,"6,91","51,09",557,"6,67","83,51",607,"5,85","103,76",5048,"7,62","662,47",613,"6,26","97,92",1929,"4,35","443,45",106,"6,23","17,01",114,"5,80","19,66",14,"6,04","2,32",13,"5,55","2,34"
334,"6,79","49,19",540,"6,39","84,51",683,"6,43","106,22",3434,"5,31","646,70",616,"6,31","97,62",2675,"6,12","437,09",105,"5,94","17,68",126,"6,25","20,16",12,"5,41","2,22",15,"6,33","2,37"
354,"6,85","51,68",547,"6,67","82,01",674,"6,56","102,74",4947,"7,86","629,39",417,"4,39","94,99",2711,"6,26","433,07",115,"6,72","17,11",124,"5,98","20,74",14,"6,25","2,24",14,"5,97","2,35"
348,"6,76","51,48",567,"6,64","85,39",459,"4,32","106,25",5264,"7,92","664,65",605,"6,19","97,74",2579,"5,82","443,13",114,"6,66","17,12",112,"5,78","19,38",14,"6,17","2,27",13,"5,53","2,35"
338,"6,91","48,91",520,"6,27","82,93",672,"6,43","104,51",3351,"5,14","651,95",623,"6,29","99,05",2428,"5,74","423,00",79,"4,53","17,44",123,"6,36","19,34",13,"5,60","2,32",14,"5,88","2,38"
358,"7,05","50,78",509,"6,27","81,18",649,"6,16","105,36",5016,"7,52","667,02",575,"6,07","94,73",2723,"6,24","436,38",115,"6,58","17,48",118,"5,93","19,90",14,"6,51","2,15",14,"5,89","2,38"
