secp384r1,P-384,,secp384r1,mlkem768,,mldsa65,P-384,,mldsa65,mlkem768,,sphincssha2192fsimple,P-384,,sphincssha2192fsimple,mlkem768,,sphincssha2192ssimple,P-384,,sphincssha2192ssimple,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
917,"5,95","154,12",1711,"5,78","296,02",1254,"5,79","216,58",7647,"6,45","1185,58",373,"3,09","120,71",427,"2,02","211,39",18,"0,12","150,00",19,"0,06","316,67"
881,"5,77","152,69",2321,"7,10","326,90",941,"4,17","225,66",5992,"5,22","1147,89",259,"2,18","118,81",446,"2,20","202,73",25,"0,16","156,25",26,"0,07","371,43"
978,"6,33","154,50",2277,"7,13","319,35",1386,"6,21","223,19",7331,"6,60","1110,76",384,"3,15","121,90",384,"1,85","207,57",27,"0,17","158,82",25,"0,08","312,50"
1009,"6,53","154,52",2090,"6,66","313,81",1346,"6,18","217,80",7818,"6,58","1188,15",388,"3,26","119,02",462,"2,19","210,96",24,"0,15","160,00",26,"0,08","325,00"
966,"6,18","156,31",2159,"6,56","329,12",1149,"5,25","218,86",7438,"6,28","1184,39",259,"2,21","117,19",446,"2,23","200,00",27,"0,17","158,82",25,"0,07","357,14"
995,"6,50","153,08",2321,"7,23","321,02",1258,"5,76","218,40",7403,"6,58","1125,08",382,"3,24","117,90",419,"2,08","201,44",26,"0,18","144,44",27,"0,07","385,71"
989,"6,53","151,45",2162,"7,22","299,45",1383,"6,29","219,87",7866,"6,65","1182,86",388,"3,31","117,22",429,"2,09","205,26",23,"0,15","153,33",25,"0,08","312,50"
965,"6,21","155,39",1532,"4,79","319,83",1430,"6,25","228,80",7208,"6,27","1149,60",371,"3,03","122,44",454,"2,31","196,54",25,"0,16","156,25",26,"0,08","325,00"
1004,"6,48","154,94",2382,"7,18","331,75",925,"4,24","218,16",7059,"6,29","1122,26",387,"3,30","117,27",442,"2,24","197,32",26,"0,16","162,50",26,"0,08","325,00"
983,"6,48","151,70",2228,"7,19","309,87",1406,"6,18","227,51",7921,"6,64","1192,92",385,"3,20","120,31",312,"1,46","213,70",26,"0,16","162,50",25,"0,07","357,14"
953,"6,08","156,74",1560,"4,70","331,91",1365,"6,19","220,52",7778,"6,55","1187,48",362,"3,12","116,03",449,"2,24","200,45",25,"0,15","166,67",25,"0,08","312,50"
921,"6,13","150,24",2336,"7,13","327,63",908,"4,22","215,17",5085,"4,53","1122,52",349,"3,06","114,05",465,"2,26","205,75",26,"0,17","152,94",26,"0,07","371,43"
1012,"6,51","155,45",2248,"7,18","313,09",1406,"6,38","220,38",7882,"6,51","1210,75",388,"3,31","117,22",303,"1,54","196,75",25,"0,16","156,25",25,"0,07","357,14"
1019,"6,53","156,05",1552,"4,86","319,34",1392,"6,24","223,08",7896,"6,68","1182,04",389,"3,23","120,43",459,"2,15","213,49",25,"0,17","147,06",25,"0,08","312,50"
693,"4,42","156,79",2276,"7,20","316,11",934,"4,12","226,70",5163,"4,51","1144,79",268,"2,32","115,52",466,"2,17","214,75",26,"0,18","144,44",26,"0,08","325,00"
975,"6,48","150,46",2279,"7,17","317,85",1412,"6,27","225,20",7827,"6,73","1163,00",383,"3,36","113,99",293,"1,55","189,03",24,"0,16","150,00",27,"0,08","337,50"
